Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Penelitian Dan Pengembangan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,1482812838.000000,-1001412420.000000,481400418.000000,-119539546.000000,-7238366.000000,-112301180.000000,,-119539546.000000,361860872.000000,-1568936.000000,,,,,-1568936.000000,-1568936.000000,360291936.000000,-7416749.000000,,,-7416749.000000,-7416749.000000,352875187.000000,,352875187.000000,,,,352875187.000000,352875187.000000,352875187.000000,,352875187.000000,352875187.000000,352875187.000000,,352875187.000000
12M 2021,181842177291.000000,-114146851540.000000,67695325751.000000,-31327730376.000000,-8572521835.000000,-22755208541.000000,,-31327730376.000000,36367595375.000000,-4154936500.000000,,,,-1240209022.000000,-2914727478.000000,-4154936500.000000,32212658875.000000,-7167966706.000000,-7830810900.000000,662844194.000000,,-7167966706.000000,25044692169.000000,,25044692169.000000,,,,25044692169.000000,25044692169.000000,25044692169.000000,,25044692169.000000,25044692169.000000,25044692169.000000,,25044692169.000000
12M 2022,175093687358.000000,-83780878728.000000,91312808630.000000,-59431053517.000000,-28379608447.000000,-31051445070.000000,,-59431053517.000000,31881755113.000000,-1375613085.000000,,,,-928692392.000000,-446920693.000000,-1375613085.000000,30506142028.000000,-6838057507.000000,-6993560860.000000,155503353.000000,,-6838057507.000000,23668084521.000000,,23668084521.000000,15120300.000000,15120300.000000,15120300.000000,23683204821.000000,23668084521.000000,23668084521.000000,,23668084521.000000,23683204821.000000,23683204821.000000,,23683204821.000000
12M 2023,175134379072.000000,-70261318747.000000,104873060325.000000,-77237776689.000000,-30132768616.000000,-47105008073.000000,,-77237776689.000000,27635283636.000000,-6107486162.000000,,,,-4850598172.000000,-1256887990.000000,-6107486162.000000,21527797474.000000,-5015272902.000000,-5555195580.000000,539922678.000000,,-5015272902.000000,16512524572.000000,,16512524572.000000,-56684099.000000,-56684099.000000,-56684099.000000,16455840473.000000,16512524572.000000,16512524572.000000,,16512524572.000000,16455840473.000000,16455840473.000000,,16455840473.000000
12M 2024,191990818912.000000,-80582785818.000000,111408033094.000000,-91696907913.000000,-25499485427.000000,-66197422486.000000,,-91696907913.000000,19711125181.000000,-17931626739.000000,,,,-21887166829.000000,3955540090.000000,-17931626739.000000,1779498442.000000,-572525895.000000,-195220520.000000,-377305375.000000,,-572525895.000000,1206972547.000000,,1206972547.000000,-145957005.000000,-145957005.000000,-145957005.000000,1061015542.000000,1206972547.000000,1206972547.000000,,1206972547.000000,1061015542.000000,1061015542.000000,,1061015542.000000
