Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,352875.19,0.00,0.00,,10.86%,26.08%,53.50%,
12M 2021,0.00 B,25044692.17,0.00,0.00,36.85 B,22.92%,94.88%,258.74%,29.32
12M 2022,2.40 B,9.86,36.92,4.99,33.22 B,12.02%,14.52%,33.49%,34.33
12M 2023,2.40 B,6.88,29.07,2.74,32.59 B,5.07%,9.20%,13.68%,5.70
12M 2024,2.40 B,0.50,260.00,1.63,28.11 B,0.30%,0.67%,6.40%,0.90
