Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pendapatan Jasa Giro,Pembayaran Bunga Dan Provisi,Pembayaran Kas Untuk Pemasok Dan Karyawan,Penerimaan Tagihan Restitusi Pajak Penghasilan,Pembayaran Pajak Penghasilan,Pembayaran Untuk Beban Operasi Lainnya. Neto,Pembayaran Biaya Iklan. Pameran Dan Promosi,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Investasi Jangka Pendek,Penerimaan Hasil Penjualan Aset Keuangan Lancar Lainnya,Penerimaan Pendapatan Bunga,Penerimaan Hasil Penjualan Aset Tetap,Penerimaan Dividen Kas,Hasil Penjualan Investasi Jangka Panjang,Perolehan Aset Tetap,Penempatan Pada Aset Keuangan Lancar Lainnya,Pembayaran Uang Muka Pembelian Tanah,Penempatan Pada Aset Keuangan Tidak Lancar Lainnya,Perolehan Aset Hak Guna,Perolehan Saham Entitas Anak Dari Pihak Ketiga,Akusisi Entitas Anak,Penempatan Pada Investasi Jangka Pendek,Perolehan Aset Takberwujud,Penerimaan Dari ( Pembayaran Untuk ) Aktivitas Investasi Lainnya. Neto,Hasil Penjualan Investasi Pada Entitas Anak,Pembelian Dan Sewa Atas Lahan,Penempatan Investasi Pada Entitas Asosiasi,Pemberiam Pinjaman Pada Entitas Asosiasi,Pembelian Saham Entiitas Anak Dari Pihak Non-Pengendali,Penerimaan Uang Muka Penjualan Investasi Jangka Panjang,Penambahan Investasi Pada Anak Perusahaan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Kas Yang Dibatasi Penggunaannya,Penambahan Piutang Lain-Lain - Pihak Berelasi,Pembayaran Piutang Lain-Lain - Pihak Berelasi,Penambahan Utang Lain-Lain,Penambahan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Lain-Lain,Pembayaran Dana Syirkah Temporer,Penambahan Dana Syirkah Temporer,Pembayaran Utang Lembaga Keuangan,Penambahan Modal,Hasil Perolehan Konversi Waran,Pembayaran Biaya Emisi,Setoran Modal,Penurunan Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Ditambah :,Saldo Awal Tahun Kas Dan Setara Kas Milik Hale,Dikurangi Saldo Akhir Periode Kas Dan Setara Kas Dan Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2020,-631934848.000000,826778577.000000,92675.000000,,-1451389351.000000,,-7416749.000000,,,-631934848.000000,,,,,,,,,,,,,,,,,,,,,,,,,,871245232.000000,,-168754768.000000,40000000.000000,,,,,,,,,,,1000000000.000000,,871245232.000000,239310384.000000,,,,,,239310384.000000
12M 2021,6055318259.000000,140936494503.000000,18327769.000000,-1220209027.000000,-133559767665.000000,,-119527321.000000,,,6055318259.000000,-4826959676.000000,,,,,,,-1346959676.000000,,,,-3480000000.000000,,,,,,,,,,,,,-4826959676.000000,156575036.000000,,-1912653232.000000,38023000.000000,45004389000.000000,,,-42925889000.000000,,,-47294732.000000,,,,,,156575036.000000,1384933619.000000,,239310384.000000,,,,1624244003.000000
12M 2022,-36954451766.000000,162009382805.000000,84677027.000000,-545359054.000000,-189448804028.000000,,-9054348516.000000,,,-36954451766.000000,-6737949240.000000,,,,,,,-4594980765.000000,,,,-854391200.000000,,,,-1288577275.000000,,,,,,,,,-6737949240.000000,122133186950.000000,,1431317632.000000,,7992794001.000000,,,,,,-205247875.000000,122000000000.000000,,-5085676808.000000,,-4000000000.000000,122133186950.000000,78440785944.000000,,1624244003.000000,,,,80065029947.000000
12M 2023,-101221184767.000000,161206430159.000000,130793648.000000,-4850598172.000000,-247550141453.000000,,-10157668949.000000,,,-101221184767.000000,-33282272753.000000,,,,,,,-9374104448.000000,,-17828828830.000000,,-536179200.000000,,,,-5543160275.000000,,,,,,,,,-33282272753.000000,119253875848.000000,,572067368.000000,,-10000000000.000000,169000000000.000000,-99984662920.000000,,,60000000000.000000,-360200400.000000,,26671800.000000,,,,119253875848.000000,-15249581672.000000,,80065029947.000000,,,,64815448275.000000
12M 2024,-60677299280.000000,200965676221.000000,740759843.000000,-21887166829.000000,-233197934324.000000,,-7298634191.000000,,,-60677299280.000000,-63605390115.000000,,,,,,,-61916043615.000000,,,,-1296729000.000000,,,,-392617500.000000,,,,,,,,,-63605390115.000000,62902252570.000000,,,,,,-69015337080.000000,,-56705686550.000000,189000000000.000000,-413781000.000000,,37057200.000000,,,,62902252570.000000,-61380436825.000000,,64815448275.000000,,,,3435011450.000000
