Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Aset Dalam Pelaksanaan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,435457871.000000,,,,,704560304.000000,704560304.000000,,704560304.000000,5916766490.000000,7056784665.000000,,566256645.000000,27970208630.000000,,,81962960470.000000,110499425745.000000,117556210410.000000,,,1056324542.000000,,659331407.000000,,659331407.000000,,,,,23372962.000000,269000000.000000,104620173.000000,1056324542.000000,145938285767.000000,145938285767.000000,145938285767.000000,146994610309.000000,,58500000000.000000,,-102051977837.000000,,,-102051977837.000000,-46932863923.000000,61046441861.000000,-29438399899.000000,117556210410.000000,585000000.000000
12M 2016,,,5265163548.000000,,,,,931680917.000000,931680917.000000,,931680917.000000,68042978.000000,6264887443.000000,,458419533.000000,28370176333.000000,,,200076500.000000,29028672366.000000,35293559809.000000,,,956361674.000000,,486928462.000000,,486928462.000000,,,,,12857353.000000,130000000.000000,326575859.000000,956361674.000000,310537684.000000,310537684.000000,310537684.000000,1266899358.000000,,58500000000.000000,,-62404092821.000000,,,-62404092821.000000,-24758231464.000000,62688984736.000000,34026660451.000000,35293559809.000000,585000000.000000
12M 2017,,,1834720827.000000,654380141.000000,654380141.000000,,654380141.000000,1042564361.000000,1042564361.000000,,1042564361.000000,100379117.000000,3632044446.000000,,383891300.000000,28910988875.000000,,,200076500.000000,29494956675.000000,33127001121.000000,,,505863394.000000,,67951699.000000,,67951699.000000,,,,,13651947.000000,259800000.000000,164459748.000000,505863394.000000,310537684.000000,310537684.000000,310537684.000000,816401078.000000,,58500000000.000000,,-64096082091.000000,,,-64096082091.000000,-24782302602.000000,62688984736.000000,32310600043.000000,33127001121.000000,585000000.000000
12M 2018,,,1029733120.000000,23820448.000000,23820448.000000,,23820448.000000,58455182.000000,58455182.000000,,58455182.000000,67763865.000000,1179772615.000000,,334883900.000000,29548348055.000000,,,200076500.000000,30083308455.000000,31263081070.000000,,,715983289.000000,,67951699.000000,,67951699.000000,,,,,52394722.000000,141000000.000000,454636868.000000,715983289.000000,310537684.000000,310537684.000000,310537684.000000,1026520973.000000,,58500000000.000000,,-66149710037.000000,,,-66149710037.000000,-24802714602.000000,62688984736.000000,30236560097.000000,31263081070.000000,585000000.000000
