Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,,,,-104540586765.000000,-2432841445.000000,-35365800.000000,-102072379520.000000,-104540586765.000000,-104540586765.000000,4428694.000000,4428694.000000,,,,4428694.000000,-104536158071.000000,17062467093.000000,-87473690978.000000,-87302671923.000000,-174776362901.000000,,-174776362901.000000,-174776362900.000000,-111185017748.000000,-63591345152.000000,-174776362900.000000,-174776362900.000000,-111185017748.000000,-63591345152.000000,-174776362900.000000
12M 2016,,,,39112553788.000000,-2151231092.000000,-20429800.000000,41284214680.000000,39112553788.000000,39112553788.000000,4414761.000000,4414761.000000,,,,4414761.000000,39116968549.000000,399967703.000000,39516936252.000000,,39516936252.000000,,39516936252.000000,39516936252.000000,39647885016.000000,-130948764.000000,39516936252.000000,39516936252.000000,39647885016.000000,-130948764.000000,39516936252.000000
12M 2017,2010677444.000000,-2003297795.000000,7379649.000000,-2381909912.000000,-2392612849.000000,,10702937.000000,-2381909912.000000,-2374530263.000000,117657314.000000,121439649.000000,,-3782335.000000,,117657314.000000,-2256872949.000000,540812542.000000,-1716060407.000000,,-1716060407.000000,,-1716060407.000000,-1716060408.000000,-1691989270.000000,-24071138.000000,-1716060408.000000,-1716060408.000000,-1691989270.000000,-24071138.000000,-1716060408.000000
12M 2018,4255450727.000000,-4234173474.000000,21277253.000000,-3169347547.000000,-3169347547.000000,,,-3169347547.000000,-3148070294.000000,436671168.000000,5599996.000000,,37221293.000000,393849879.000000,436671168.000000,-2711399126.000000,637359180.000000,-2074039946.000000,,-2074039946.000000,,-2074039946.000000,-2074039946.000000,-2053627946.000000,-20412000.000000,-2074039946.000000,-2074039946.000000,-2053627946.000000,-20412000.000000,-2074039946.000000
