Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pemasok Dan Beban Operasi,Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan Bunga,Penerimaan (Pembayaran) Untuk Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembayaran Atas Akuisisi Entitas Anak Baru,Penerimaan Dari Penjualan Aset Tetap,Penjualan Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Dari Akuisisi Entitas Anak Baru,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2015,-357069989.000000,2359777163.000000,-2107052722.000000,,,-2107052722.000000,4428696.000000,-614223126.000000,-357069989.000000,,,,,,,,,-357069989.000000,,792527860.000000,435457871.000000
12M 2016,4828455677.000000,,968873134.000000,,,968873134.000000,4428696.000000,3855153847.000000,4828455677.000000,1250000.000000,1050000.000000,,,200000.000000,1250000.000000,,,4829705677.000000,,435457871.000000,5265163548.000000
12M 2017,-3430442721.000000,1356297303.000000,-3476450104.000000,,,-3476450104.000000,121439649.000000,-1431729569.000000,-3430442721.000000,,,,,,,,,-3430442721.000000,,5265163548.000000,1834720827.000000
12M 2018,-1079987707.000000,4886010419.000000,-6402669294.000000,,,-6402669294.000000,5599996.000000,431071172.000000,-1079987707.000000,275000000.000000,,,275000000.000000,,275000000.000000,,,-804987707.000000,,1834720827.000000,1029733120.000000
