Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Untuk :,Pemasok,Karyawan,Penerimaan Bunga,Beban Keuangan,Total Pembayaran Untuk :,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Piutang Non-Usaha Pihak Berelasi,Penerimaan Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Aset Hak Guna,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal,Penurunan Piutang Non-Usaha Pihak Berelasi,Kenaikan Piutang Non-Usaha Pihak Berelasi,Penerimaan Sehubungan Dengan Konversi Waran,Penambahan Modal Saham Melalui Konversi Waran,Penambahan Uang Muka Pembelian Aset Tetap,Penerimaan (Pembayaran) Untuk Utang Non-Usaha Pihak Berelasi,Pembayaran Liabilitas Sewa,Pembayaran Utang Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan/(Penurunan) Neto Kas Dan Setara Kas,Kas Dan Setara Kas Awal Tahun,Kas Dan Setara Kas Akhir Tahun
12M 2021,3214076813.000000,6499639323.000000,,-1620680810.000000,-1252771000.000000,,-322012974.000000,-3195464784.000000,-90097726.000000,3214076813.000000,180000000.000000,,180000000.000000,,,,180000000.000000,-2938216376.000000,,73997100.000000,-898246611.000000,,,,-120000000.000000,,-1993966865.000000,-2938216376.000000,455860437.000000,88183032.000000,544043469.000000
12M 2022,-2646801738.000000,8480392012.000000,,-8609345065.000000,-1900876050.000000,,-471000553.000000,-10981221668.000000,-145972082.000000,-2646801738.000000,-2252254000.000000,,360000000.000000,-2612254000.000000,,,-2252254000.000000,6261832371.000000,4740000000.000000,2158487777.000000,,,,,-463311957.000000,,-173343449.000000,6261832371.000000,1362776633.000000,544043469.000000,1906820102.000000
12M 2023,-2896550905.000000,7953114051.000000,,-7257053105.000000,-2957938441.000000,7648137.000000,-298572073.000000,-10505915482.000000,-343749474.000000,-2896550905.000000,-6799889208.000000,,,-5634303622.000000,-1080000000.000000,-85585586.000000,-6799889208.000000,34713576217.000000,38020678460.000000,,,,,,-1486770128.000000,,-1820332115.000000,34713576217.000000,25017136104.000000,1906820102.000000,26923956206.000000
12M 2024,1123059307.000000,10461266514.000000,,-4450279699.000000,-4220759413.000000,119960915.000000,-155556843.000000,-8706635040.000000,-631572167.000000,1123059307.000000,-18276314332.000000,36000000.000000,,-16640164331.000000,,-1672150001.000000,-18276314332.000000,-2237423026.000000,3801960.000000,,,,,,-1247542965.000000,,-993682021.000000,-2237423026.000000,-19390678051.000000,26923956206.000000,7533278155.000000
