Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2021,0.00 B,1313269.74,0.00,0.00,,6.46%,15.33%,22.52%,3.26
12M 2022,0.00 B,168459.19,0.00,0.00,,6.05%,9.99%,12.96%,3.28
12M 2023,1.60 B,-0.78,-34.62,5.80,,-2.49%,-2.68%,-4.16%,-5.91
12M 2024,1.60 B,0.31,48.39,1.59,,1.03%,1.05%,3.45%,12.55
