Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,4976317180.000000,-3032317115.000000,1944000065.000000,-893829211.000000,-893829211.000000,-893829211.000000,1050170854.000000,-290430894.000000,-322012974.000000,31582080.000000,-290430894.000000,759739960.000000,-89972391.000000,669767569.000000,-3268687.000000,666498882.000000,669767569.000000,669767569.000000,,669767569.000000,666498882.000000,666498882.000000,,666498882.000000
12M 2022,11041189690.000000,-6481847360.000000,4559342330.000000,-3016388525.000000,-3016388525.000000,-3016388525.000000,1542953805.000000,-318875875.000000,-471000553.000000,152124678.000000,-318875875.000000,1224077930.000000,-213322796.000000,1010755134.000000,-4051115.000000,1006704019.000000,1010755134.000000,1010755134.000000,,1010755134.000000,1006704019.000000,1006704019.000000,,1006704019.000000
12M 2023,7444494310.000000,-5441327207.000000,2003167103.000000,-3301155750.000000,-3301155750.000000,-3301155750.000000,-1297988647.000000,-310283408.000000,-219609025.000000,-90674383.000000,-310283408.000000,-1608272055.000000,353462150.000000,-1254809905.000000,-5157649.000000,-1259967554.000000,-1254809905.000000,-1254809905.000000,,-1254809905.000000,-1259967554.000000,-1259967554.000000,,-1259967554.000000
12M 2024,15119420877.000000,-9700324345.000000,5419096532.000000,-3765234813.000000,-3765234813.000000,-3765234813.000000,1653861719.000000,-615695464.000000,-131778133.000000,-483917331.000000,-615695464.000000,1038166255.000000,-537889100.000000,500277155.000000,73922401.000000,574199556.000000,500277155.000000,500277155.000000,,500277155.000000,574199556.000000,574199556.000000,,574199556.000000
