Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Usaha,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,544043469.000000,1937697220.000000,1937697220.000000,1937697220.000000,2158487777.000000,2158487777.000000,,2158487777.000000,19195200.000000,4659423666.000000,,5669136987.000000,46599231.000000,,5715736218.000000,10375159884.000000,,,1048773088.000000,,214636001.000000,214636001.000000,,,,,66894077.000000,,767243010.000000,767243010.000000,,1048773088.000000,4957961140.000000,,1232103580.000000,1232103580.000000,,3285000000.000000,3285000000.000000,,229042870.000000,229042870.000000,211814690.000000,4957961140.000000,6006734228.000000,,510000000.000000,,3861694343.000000,,3861694343.000000,3861694343.000000,-3268687.000000,4368425656.000000,10375159884.000000,510.000000
12M 2022,,,1906820102.000000,4509934898.000000,4509934898.000000,4509934898.000000,,,,,1411426029.000000,7828181029.000000,,8816216192.000000,61496732.000000,,8877712924.000000,16705893953.000000,,,2230144115.000000,,12810004.000000,12810004.000000,,,,325000000.000000,256357149.000000,,1624536962.000000,1624536962.000000,11440000.000000,2230144115.000000,4360620163.000000,,,,,2821688043.000000,2821688043.000000,,1297626189.000000,1297626189.000000,241305931.000000,4360620163.000000,6590764278.000000,,6000000000.000000,,4122449477.000000,25000000.000000,4097449477.000000,4122449477.000000,-7319802.000000,10115129675.000000,16705893953.000000,6000.000000
12M 2023,,,26923956206.000000,3953236153.000000,3953236153.000000,3953236153.000000,107314911.000000,36000000.000000,71314911.000000,107314911.000000,394956879.000000,31379464149.000000,,14184516652.000000,416413603.000000,4326861686.000000,18927791941.000000,50307256090.000000,,,2412668978.000000,,37899998.000000,37899998.000000,,,,97778710.000000,31723669.000000,,993682019.000000,993682019.000000,1251584582.000000,2412668978.000000,1018746531.000000,,,,,83333333.000000,83333333.000000,,388949017.000000,388949017.000000,546464181.000000,1018746531.000000,3431415509.000000,,8000000000.000000,36020678460.000000,2867639572.000000,25000000.000000,2842639572.000000,2867639572.000000,-12477451.000000,46875840581.000000,50307256090.000000,1600000000.000000
12M 2024,,,7533278155.000000,8359569213.000000,8359569213.000000,8359569213.000000,11796164.000000,,11796164.000000,11796164.000000,149695666.000000,16054339198.000000,,30594614522.000000,195435490.000000,1957704773.000000,32747754785.000000,48802093983.000000,,,775820776.000000,,11355844.000000,11355844.000000,,,,83946781.000000,214967138.000000,,351623147.000000,351623147.000000,113927866.000000,775820776.000000,572431110.000000,,,,,,,,37325868.000000,37325868.000000,535105242.000000,572431110.000000,1348251886.000000,,8000158415.000000,36024322005.000000,3367916727.000000,25000000.000000,3342916727.000000,3367916727.000000,61444950.000000,47453842097.000000,48802093983.000000,1600000000.000000
