Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2021,3 B,,3 B,6302111.40
12M 2022,(3 B),(3 B),(5 B),-876509.29
12M 2023,(3 B),(6 B),(9 B),-5.39
12M 2024,1 B,(18 B),(17 B),-10.74
