Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Pra Akuisisi,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,243801725779.000000,-175142772197.000000,68658953582.000000,-38418320579.000000,-20262942010.000000,-18155378569.000000,-38418320579.000000,30240633003.000000,-9026993261.000000,54972569.000000,-7353771080.000000,-672908988.000000,-1055285762.000000,-9026993261.000000,21213639742.000000,-6547677192.000000,14665962550.000000,,14665962550.000000,,14665962550.000000,14665962550.000000,14665962550.000000,,,14665962550.000000,14665962550.000000,14665962550.000000,,,14665962550.000000
12M 2013,307864659331.000000,-201069629221.000000,106795030110.000000,-55214717329.000000,-22791766557.000000,-32422950772.000000,-55214717329.000000,51580312781.000000,-6596409911.000000,114678539.000000,-10509846095.000000,1300519903.000000,2498237742.000000,-6596409911.000000,44983902870.000000,-10318809274.000000,34665093596.000000,-2901279892.000000,31763813704.000000,,31763813704.000000,31763813704.000000,31763338723.000000,474981.000000,,31763813704.000000,31763813704.000000,31763338723.000000,474981.000000,,31763813704.000000
12M 2014,286048380773.000000,-155084630061.000000,130963750712.000000,-71655815521.000000,-25507298156.000000,-46148517365.000000,-71655815521.000000,59307935191.000000,-17976445882.000000,125287557.000000,-17400462814.000000,668292969.000000,-1369563594.000000,-17976445882.000000,41331489309.000000,-9595385072.000000,31736104237.000000,,31736104237.000000,,31736104237.000000,31736104237.000000,31734711062.000000,1393175.000000,,31736104237.000000,31736104237.000000,31734711062.000000,1393175.000000,,31736104237.000000
12M 2015,283205794372.000000,-189529681682.000000,93676112690.000000,-72075858309.000000,-25223206237.000000,-46852652072.000000,-72075858309.000000,21600254381.000000,-29518924923.000000,125786596.000000,-28638441163.000000,268753801.000000,-1275024157.000000,-29518924923.000000,-7918670542.000000,293902385.000000,-7624768157.000000,,-7624768157.000000,799546247.000000,-6825221910.000000,-7624768157.000000,-7625309506.000000,541349.000000,,-7624768157.000000,-6825221910.000000,-6825762392.000000,540482.000000,,-6825221910.000000
12M 2016,312547508818.000000,-201593118212.000000,110954390606.000000,-71033175000.000000,-21843593102.000000,-49189581898.000000,-71033175000.000000,39921215606.000000,-35488039075.000000,62172444.000000,-37120275371.000000,1784058082.000000,-213994230.000000,-35488039075.000000,4433176531.000000,-3606335729.000000,826840802.000000,,826840802.000000,749689361.000000,1576530163.000000,826840802.000000,825815028.000000,1025774.000000,,826840802.000000,1576530163.000000,1575505284.000000,1024879.000000,,1576530163.000000
12M 2017,263264762260.000000,-217617829024.000000,45646933236.000000,-59231451711.000000,-14911788998.000000,-44319662713.000000,-59231451711.000000,-13584518475.000000,-39044337796.000000,81768689.000000,-34982400818.000000,-1444829546.000000,-2698876121.000000,-39044337796.000000,-52628856271.000000,-1129411947.000000,-53758268218.000000,,-53758268218.000000,1011931047.000000,-52746337171.000000,-53758268218.000000,-53759769669.000000,1501451.000000,,-53758268218.000000,-52746337171.000000,-52747877741.000000,1540570.000000,,-52746337171.000000
12M 2018,259860630988.000000,-258174423695.000000,1686207293.000000,-38996659078.000000,-9326427616.000000,-29670231462.000000,-38996659078.000000,-37310451785.000000,-29686601593.000000,64592248.000000,-30439162784.000000,-477799652.000000,1165768595.000000,-29686601593.000000,-66997053378.000000,265696191.000000,-66731357187.000000,,-66731357187.000000,30377948.000000,-66700979239.000000,-66731357187.000000,-66730174497.000000,-1182690.000000,,-66731357187.000000,-66700979239.000000,-66699800040.000000,-1179199.000000,,-66700979239.000000
