Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Investasi Jangka Panjang,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Liabilitas Keuangan Lainnya,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,4560652731.000000,46845727842.000000,46845727842.000000,46845727842.000000,1008040417.000000,453133417.000000,554907000.000000,1008040417.000000,124991913346.000000,10581200257.000000,187987534593.000000,,1825288632.000000,1408750000.000000,36546185102.000000,866588333.000000,164179900.000000,40810991967.000000,228798526560.000000,,,170008869668.000000,64146431741.000000,,33505059229.000000,17429368352.000000,50934427581.000000,,236078900.000000,1408750000.000000,1644828900.000000,199497742.000000,6882093409.000000,,,4522314203.000000,4522314203.000000,41679276092.000000,170008869668.000000,22638497077.000000,,17708474994.000000,17708474994.000000,,4930022083.000000,22638497077.000000,192647366745.000000,,19200000000.000000,,16951159815.000000,,,16951159815.000000,,,36151159815.000000,228798526560.000000,19200.000000
12M 2013,,,10844988037.000000,81055375256.000000,81055375256.000000,81055375256.000000,1490929405.000000,1490929405.000000,,1490929405.000000,140419245819.000000,30124675052.000000,263935213569.000000,,3108593358.000000,,60123223174.000000,747587062.000000,1315065800.000000,65294469394.000000,329229682963.000000,,,151750794516.000000,109668958486.000000,,27834605192.000000,,27834605192.000000,,2491478088.000000,,2491478088.000000,,7685772993.000000,,,3835000000.000000,3835000000.000000,234979757.000000,151750794516.000000,22539302015.000000,,13840000002.000000,13840000002.000000,,8699302013.000000,22539302015.000000,174290096531.000000,,97119000000.000000,25988883900.000000,31825609560.000000,,,31825609560.000000,6092972.000000,,154939586432.000000,329229682963.000000,971190000.000000
12M 2014,,,10739502356.000000,87354499797.000000,87354499797.000000,87354499797.000000,771159488.000000,771159488.000000,,771159488.000000,263798824555.000000,23616351256.000000,386280337452.000000,,5796165661.000000,,79786176007.000000,346148654.000000,7031684425.000000,92960174747.000000,479240512199.000000,,,261027989073.000000,220240574029.000000,,29518823158.000000,,29518823158.000000,,290816636.000000,,290816636.000000,,5521346666.000000,,,5456428584.000000,5456428584.000000,,261027989073.000000,31536832457.000000,,18922857125.000000,18922857125.000000,,12613975332.000000,31536832457.000000,292564821530.000000,,97119000000.000000,25988883900.000000,63560320622.000000,62270926.000000,63498049696.000000,63560320622.000000,7486147.000000,,186675690669.000000,479240512199.000000,971190000.000000
12M 2015,,,12720753926.000000,80274036363.000000,80274036363.000000,80274036363.000000,823025030.000000,823025030.000000,,823025030.000000,309418001035.000000,24760444087.000000,427996260441.000000,,8851506708.000000,,74221318767.000000,110483380.000000,22358056805.000000,105541365660.000000,533537626101.000000,,,282826593019.000000,220471120745.000000,,49232760872.000000,,49232760872.000000,,744581864.000000,,744581864.000000,,6177599473.000000,744101481.000000,,5456428584.000000,5456428584.000000,,282826593019.000000,74138583931.000000,,13466428539.000000,13466428539.000000,41210777288.000000,19461378104.000000,74138583931.000000,356965176950.000000,,97119000000.000000,25988883900.000000,56519287155.000000,62270926.000000,56457016229.000000,56519287155.000000,7929665.000000,-3062651569.000000,176572449151.000000,533537626101.000000,971190000.000000
12M 2016,,,5054666232.000000,77690556719.000000,77690556719.000000,77690556719.000000,931506844.000000,931506844.000000,,931506844.000000,300801447460.000000,14068543201.000000,398546720456.000000,,10839262401.000000,,157140120337.000000,300519023.000000,31884943247.000000,200164845008.000000,598711565464.000000,,,354278813444.000000,273071174113.000000,,58111742575.000000,,58111742575.000000,,2017903469.000000,,2017903469.000000,,9567664699.000000,,,10456428588.000000,10456428588.000000,1053900000.000000,354278813444.000000,66283772707.000000,,27176666614.000000,27176666614.000000,15762637288.000000,23344468805.000000,66283772707.000000,420562586151.000000,,97119000000.000000,25988883900.000000,57345102183.000000,62270926.000000,57282831257.000000,57345102183.000000,8954543.000000,-2312961313.000000,178148979313.000000,598711565464.000000,971190000.000000
12M 2017,,,4732269965.000000,60745424392.000000,60745424392.000000,60745424392.000000,1389871856.000000,1389871856.000000,,1389871856.000000,390163369810.000000,12070241915.000000,469101177938.000000,,11591979979.000000,,145926561215.000000,206250002.000000,19127245412.000000,176852036608.000000,645953214546.000000,,,463401644222.000000,288513847977.000000,,143557258076.000000,,143557258076.000000,,4559091240.000000,,4559091240.000000,,16495494037.000000,,,8956428591.000000,8956428591.000000,1319524301.000000,463401644222.000000,57148928180.000000,,18470238026.000000,18470238026.000000,15762637288.000000,22916052866.000000,57148928180.000000,520550572402.000000,,97119000000.000000,25988883900.000000,3585332514.000000,62270926.000000,3523061588.000000,3585332514.000000,10495115.000000,-1301069385.000000,125402642144.000000,645953214546.000000,971190000.000000
12M 2018,,,3705730112.000000,51712092451.000000,51712092451.000000,51712092451.000000,668629559.000000,668629559.000000,,668629559.000000,374372456226.000000,6137536223.000000,436596444571.000000,,11847550187.000000,,134470791608.000000,131250002.000000,23009594721.000000,169459186518.000000,606055631089.000000,,,436338221754.000000,258027594128.000000,,142678694698.000000,,142678694698.000000,,5086407197.000000,,5086407197.000000,,17728607853.000000,,,12606721419.000000,12606721419.000000,210196459.000000,436338221754.000000,111015746430.000000,,71438088040.000000,71438088040.000000,15762637288.000000,23815021102.000000,111015746430.000000,547353968184.000000,,97119000000.000000,25988883900.000000,-63144841983.000000,62270926.000000,-63207112909.000000,-63144841983.000000,9315916.000000,-1270694928.000000,58701662905.000000,606055631089.000000,971190000.000000
