Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.69,7237.28,0.69,7237.28,21 B,415 B,436 B,274 B,146 B
12M 2009,0.95,10130.59,0.95,10130.59,71 B,259 B,329 B,238 B,(42 B)
12M 2010,1.23,10136.56,1.23,10136.56,67 B,118 B,185 B,73 B,(82 B)
12M 2011,0.92,10433.86,0.92,10433.86,68 B,51 B,119 B,4 B,(102 B)
12M 2012,0.99,12436.63,0.99,12436.63,54 B,,54 B,(30 B),(71 B)
12M 2013,1.14,16727.89,1.15,16589.46,,,,(103 B),(40 B)
12M 2014,0.91,17568.38,0.92,17455.32,,,,(131 B),(46 B)
12M 2015,1.46,1866.77,1.47,1854.40,,,,(142 B),(54 B)
12M 2016,1.04,1844.25,1.05,1837.11,72 B,,72 B,(96 B),(102 B)
12M 2017,0.96,1770.41,0.97,1761.33,70 B,,70 B,(187 B),(127 B)
12M 2018,1.01,1921.16,1.01,1915.29,173 B,,173 B,(182 B),(314 B)
12M 2019,1.11,1806.78,1.11,1801.52,292 B,,292 B,174 B,(342 B)
12M 2020,0.92,1550.80,0.92,1545.85,345 B,10 B,355 B,140 B,(336 B)
12M 2021,0.80,1683.98,0.80,1677.42,140 B,6 B,146 B,(31 B),(293 B)
12M 2022,0.81,1725.01,0.81,1717.47,196 B,1 B,197 B,55 B,(360 B)
12M 2023,0.76,1920.39,0.76,1913.25,111 B,21 B,132 B,38 B,(258 B)
12M 2024,0.45,2256.38,0.45,2249.25,7 B,17 B,24 B,(120 B),(113 B)
