Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Pendapatan Keuangan,Penerimaan Restitusi Pajak - Bersih,Penerimaan Restitusi Pajak,Penerimaan Pajak Lain-Lain,Pembayaran Kepada Dana Pensiun,Pembayaran Pajak Penghasilan Badan,Pembayaran Beban Operasional Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan/Pembayaran Dividen Kas,Penerimaan Pengembalian Dividen,Pembayaran Biaya Keuangan,Pembayaran/Penerimaan Pinjaman,Pembayaran Pinjaman Jangka Panjang,Penerimaan Pinjaman Bank,Total Pembayaran/Penerimaan Pinjaman,Pembayaran Sewa,Penerimaan Pinjaman Jangka Pendek,Pembayaran Pinjaman Jangka Pendek,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Penyesuaian Penjabaran,Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,-44561723000.000000,1268862069000.000000,-1190715370000.000000,-78953621000.000000,1045120000.000000,50950199000.000000,,,-5389457000.000000,-31344442000.000000,-59016221000.000000,,-44561723000.000000,-198711672000.000000,1471062000.000000,-200182734000.000000,-198711672000.000000,325979007000.000000,-3608000000.000000,,-1912993000.000000,,,331500000000.000000,331500000000.000000,,,,,325979007000.000000,82705612000.000000,15901135000.000000,,63260400000.000000,,161867147000.000000
12M 2009,389391836000.000000,1418514879000.000000,-855302693000.000000,-82455336000.000000,611536000.000000,23459822000.000000,,,-7873868000.000000,-30163707000.000000,-77398797000.000000,,389391836000.000000,-355958264000.000000,1284213000.000000,-357242477000.000000,-355958264000.000000,-103033405000.000000,-2460000000.000000,,-15823464000.000000,,-84749941000.000000,,-84749941000.000000,,,,,-103033405000.000000,-69599833000.000000,-1434194000.000000,,161867147000.000000,,90833120000.000000
12M 2010,19523845.000000,195034103.000000,-139096636.000000,-11334370.000000,92795.000000,6972784.000000,,,-1090430.000000,-5632950.000000,-25421451.000000,,19523845.000000,-9110018.000000,132412.000000,-9242430.000000,-9110018.000000,-7637699.000000,-987075.000000,,-1025624.000000,,-5625000.000000,,-5625000.000000,,,,,-7637699.000000,2776128.000000,99686.000000,,9637924.000000,,12513738.000000
12M 2011,16294712.000000,215399389.000000,-165411746.000000,-13000915.000000,109032.000000,1827577.000000,,,-1123585.000000,-2581263.000000,-18923777.000000,,16294712.000000,-6375074.000000,456743.000000,-6831817.000000,-6375074.000000,-9657170.000000,-1204749.000000,,-952421.000000,,-7500000.000000,,-7500000.000000,,,,,-9657170.000000,262468.000000,-55975.000000,,12513738.000000,,12720231.000000
12M 2012,13992822.000000,193369875.000000,-139180018.000000,-12202620.000000,92936.000000,5267406.000000,,,-746838.000000,-2951119.000000,-29656800.000000,,13992822.000000,-7802643.000000,284477.000000,-8087120.000000,-7802643.000000,-9600044.000000,-1115494.000000,,-984550.000000,,-7500000.000000,,-7500000.000000,,,,,-9600044.000000,-3409865.000000,-587121.000000,,12720231.000000,,8723245.000000
12M 2013,18862318.000000,185374496.000000,-119112946.000000,-13970816.000000,82649.000000,8398153.000000,,,-951335.000000,-3080601.000000,-37877282.000000,,18862318.000000,-10550967.000000,73511.000000,-10624478.000000,-10550967.000000,-7695820.000000,-1145242.000000,,-925578.000000,,-5625000.000000,,-5625000.000000,,,,,-7695820.000000,615531.000000,-919777.000000,,8723245.000000,,8418999.000000
12M 2014,15574051.000000,161889768.000000,-97867465.000000,-13325653.000000,44563.000000,2786754.000000,,,-1332274.000000,-2542702.000000,-34078940.000000,,15574051.000000,-11368144.000000,30753.000000,-11398897.000000,-11368144.000000,-1827283.000000,-1071245.000000,,-756038.000000,,,,,,,,,-1827283.000000,2378624.000000,-267337.000000,,8418999.000000,,10530286.000000
12M 2015,12145268.000000,152870030.000000,-94981416.000000,-12386856.000000,62311.000000,4494844.000000,,,-1677480.000000,-2832308.000000,-33403857.000000,,12145268.000000,-9717922.000000,130201.000000,-9848123.000000,-9717922.000000,-1953795.000000,-957188.000000,15771.000000,-1012378.000000,,,,,,10500000.000000,-10500000.000000,,-1953795.000000,473551.000000,-714387.000000,,10530286.000000,,10289450.000000
12M 2016,6251943.000000,151316197.000000,-110038014.000000,-13844583.000000,27037.000000,4553882.000000,,,-1749476.000000,-1630234.000000,-22382866.000000,,6251943.000000,-8501579.000000,109618.000000,-8611197.000000,-8501579.000000,4507057.000000,,30171.000000,-851114.000000,,,,,,12028000.000000,-6700000.000000,,4507057.000000,2257421.000000,-41150.000000,,10289450.000000,,12505721.000000
12M 2017,16476806.000000,169830195.000000,-118787158.000000,-14593947.000000,11157.000000,2656899.000000,,,-1809939.000000,-1786434.000000,-19043967.000000,,16476806.000000,-8761738.000000,88171.000000,-8849909.000000,-8761738.000000,-1251116.000000,-412923.000000,2378.000000,-692571.000000,,,,,,24374000.000000,-24522000.000000,,-1251116.000000,6463952.000000,-16448.000000,,12505721.000000,,18953225.000000
