Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Others,Total Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Adjustment,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,161867147000.000000,96544040000.000000,20653186000.000000,75890854000.000000,96544040000.000000,4478842000.000000,,,4478842000.000000,150949721000.000000,,31694166000.000000,445533916000.000000,,4460505000.000000,16325639000.000000,548290052000.000000,,7719093000.000000,576795289000.000000,1022329205000.000000,,,299429291000.000000,,,96681133000.000000,34435297000.000000,131116430000.000000,108983378000.000000,,,108983378000.000000,23899374000.000000,2521548000.000000,,2521548000.000000,,20718750000.000000,,,20718750000.000000,12189811000.000000,299429291000.000000,426171606000.000000,104516008000.000000,,310781250000.000000,,,310781250000.000000,10874348000.000000,426171606000.000000,725600897000.000000,,41000000000.000000,255728308000.000000,450000000.000000,255278308000.000000,255728308000.000000,,,,296728308000.000000,,1022329205000.000000,41000000.000000
12M 2009,,,90833120000.000000,107871938000.000000,9266000000.000000,98605938000.000000,107871938000.000000,1607600000.000000,,,1607600000.000000,180333384000.000000,,17969838000.000000,398615880000.000000,,2553960000.000000,16919862000.000000,695737001000.000000,,13803103000.000000,729013926000.000000,1127629806000.000000,,,440561995000.000000,,,114881134000.000000,11895724000.000000,126776858000.000000,43231566000.000000,,,43231566000.000000,32456418000.000000,20786420000.000000,,20786420000.000000,,70500017000.000000,,,70500017000.000000,146810716000.000000,440561995000.000000,271713754000.000000,82512954000.000000,,176250042000.000000,,,176250042000.000000,12950758000.000000,271713754000.000000,712275749000.000000,,41000000000.000000,374354057000.000000,500000000.000000,373854057000.000000,374354057000.000000,,,,415354057000.000000,,1127629806000.000000,41000000.000000
12M 2010,,,12513738.000000,17063440.000000,1445218.000000,15618222.000000,17063440.000000,1961281.000000,383290.000000,1577991.000000,1961281.000000,23630848.000000,,3017828.000000,58187135.000000,,,2770177.000000,65215676.000000,,1512097.000000,69497950.000000,127685085.000000,,,67331761.000000,,,22075637.000000,960765.000000,23036402.000000,,3679251.000000,5379656.000000,9058907.000000,3283014.000000,195137.000000,,195137.000000,,7500000.000000,,,7500000.000000,24258301.000000,67331761.000000,14129444.000000,,,13125000.000000,,,13125000.000000,1004444.000000,14129444.000000,81461205.000000,,78378525.000000,42353443.000000,53191.000000,42300252.000000,42353443.000000,,,-74508088.000000,46223880.000000,,127685085.000000,41000000.000000
12M 2011,,,12720231.000000,13969864.000000,2007457.000000,11962407.000000,13969864.000000,1587565.000000,1381767.000000,205798.000000,1587565.000000,25606417.000000,,11544675.000000,65428752.000000,,,2222139.000000,61719888.000000,,1431531.000000,65373558.000000,130802310.000000,,,76667805.000000,,,17299008.000000,7517601.000000,24816609.000000,,5849163.000000,6688211.000000,12537374.000000,2580536.000000,,202627.000000,202627.000000,,7500000.000000,,,7500000.000000,29030659.000000,76667805.000000,6958910.000000,,,5625000.000000,,,5625000.000000,1333910.000000,6958910.000000,83626715.000000,,78378525.000000,43305158.000000,58991.000000,43246167.000000,43305158.000000,,,-74508088.000000,47175595.000000,,130802310.000000,41000000.000000
12M 2012,,,8723245.000000,14909446.000000,2561381.000000,12348065.000000,14909446.000000,786250.000000,509217.000000,277033.000000,786250.000000,25501127.000000,,12238008.000000,62158076.000000,,,2879160.000000,57448404.000000,,1429691.000000,61757255.000000,123915331.000000,,,69464592.000000,,,21628981.000000,3224346.000000,24853327.000000,,5873715.000000,8912333.000000,14786048.000000,3920844.000000,,291624.000000,291624.000000,,5625000.000000,,,5625000.000000,19987749.000000,69464592.000000,1720447.000000,,,,,,,1720447.000000,1720447.000000,71185039.000000,,78378525.000000,48859855.000000,64241.000000,48795614.000000,48859855.000000,,,-74508088.000000,52730292.000000,,123915331.000000,41000000.000000
12M 2013,,,8418999.000000,10138978.000000,2011098.000000,8127880.000000,10138978.000000,792266.000000,413327.000000,378939.000000,792266.000000,23796001.000000,,6756796.000000,49903040.000000,,,3118892.000000,56835490.000000,465291.000000,725451.000000,61145124.000000,111048164.000000,,,53178435.000000,,,21322634.000000,1785145.000000,23107779.000000,,5733955.000000,4669745.000000,10403700.000000,3602594.000000,,108418.000000,108418.000000,,,,,,15955944.000000,53178435.000000,1643823.000000,,,,,,,1643823.000000,1643823.000000,54822258.000000,,78378525.000000,52355469.000000,69291.000000,52286178.000000,52355469.000000,,,-74508088.000000,56225906.000000,,111048164.000000,41000000.000000
12M 2014,,,10530286.000000,12626012.000000,2366663.000000,10259349.000000,12626012.000000,773538.000000,454169.000000,319369.000000,773538.000000,30650846.000000,,8314716.000000,62895398.000000,,,3475389.000000,58068226.000000,372583.000000,686653.000000,62602851.000000,125498249.000000,,,66606518.000000,,,18044194.000000,3626712.000000,21670906.000000,,7248445.000000,13366497.000000,20614942.000000,4717460.000000,,129643.000000,129643.000000,,,,,,19473567.000000,66606518.000000,994169.000000,,,,,,,994169.000000,994169.000000,67600687.000000,,78378525.000000,54027125.000000,73491.000000,53953634.000000,54027125.000000,,,-74508088.000000,57897562.000000,,125498249.000000,41000000.000000
12M 2015,,,10289450.000000,12338464.000000,4239194.000000,8099270.000000,12338464.000000,1015240.000000,458506.000000,556734.000000,1015240.000000,26288115.000000,,8209006.000000,58140275.000000,,,4571547.000000,55568963.000000,367512.000000,667566.000000,61175588.000000,119315863.000000,,,62078390.000000,,,29444801.000000,1338790.000000,30783591.000000,,6391905.000000,2337737.000000,8729642.000000,4383323.000000,,489994.000000,489994.000000,,,,,,17691840.000000,62078390.000000,1755396.000000,,,,,,,1755396.000000,1755396.000000,63833786.000000,,78378525.000000,51611640.000000,77241.000000,51534399.000000,51611640.000000,,,-74508088.000000,55482077.000000,,119315863.000000,410000000.000000
12M 2016,,,12505721.000000,8397183.000000,2502852.000000,5894331.000000,8397183.000000,809689.000000,394966.000000,414723.000000,809689.000000,17071711.000000,,8055912.000000,46840216.000000,,,5368579.000000,59685138.000000,217989.000000,728919.000000,66000625.000000,112840841.000000,,,54467410.000000,5328000.000000,,23326525.000000,2032210.000000,25358735.000000,,5602646.000000,2738801.000000,8341447.000000,4949272.000000,,253543.000000,253543.000000,,,,,,10236413.000000,54467410.000000,2095982.000000,,,,,55499.000000,55499.000000,2040483.000000,2095982.000000,56563392.000000,,78378525.000000,52407012.000000,77241.000000,52329771.000000,52407012.000000,,,-74508088.000000,56277449.000000,,112840841.000000,410000000.000000
12M 2017,,,18953225.000000,8836152.000000,2833918.000000,6002234.000000,8836152.000000,1015928.000000,394316.000000,621612.000000,1015928.000000,18925770.000000,,10286437.000000,58017512.000000,,,5676337.000000,59021052.000000,274789.000000,775910.000000,65748088.000000,123765600.000000,,,67407325.000000,5180000.000000,,26982370.000000,2314866.000000,29297236.000000,,6497690.000000,2332374.000000,8830064.000000,3839465.000000,,584470.000000,584470.000000,,,,,,19676090.000000,67407325.000000,2780652.000000,,,,,53778.000000,53778.000000,2726874.000000,2780652.000000,70187977.000000,,78378525.000000,49707186.000000,80991.000000,49626195.000000,49707186.000000,,,-74508088.000000,53577623.000000,,123765600.000000,410000000.000000
