Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada,Pemasok,Karyawan,Beban Usaha Lainnya,Total Pembayaran Kepada,Pendapatan Keuangan,Pembayaran Beban Keuangan,Penerimaan Tagihan Restitusi Pajak Penghasilan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Penempatan Deposito,Penambahan Aset Tidak Berwujud,Akuisisi Entitas Anak,Uang Muka Pembayaran Aset Hak Guna,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pinjaman Jangka Panjang,(Pembayaran) Penerimaan Pinjaman Bank Jangka Pendek,Pembayaran Utang Pembiayaan Konsumen,Penutupan Entitas Anak,Pembayaran Dividen Kepada Pemegang Saham,Pembayaran Dividen Kepada Kepentingan Non Pengendali,Penambahan Modal Dari Saham,Pembayaran Biaya Emisi Saham,Pembayaran Utang Bank,Penerimaan Utang Bank,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,81965866259.000000,1260080097247.000000,,-1005198695150.000000,-133943650042.000000,-15796069097.000000,-1154938414289.000000,179202565.000000,-8692472993.000000,4260702261.000000,-18923248532.000000,81965866259.000000,-9025574079.000000,1334910698.000000,,-1340000000.000000,-1332392144.000000,,-497388400.000000,-7190704233.000000,-9025574079.000000,-53971275133.000000,-14255118669.000000,-8169528362.000000,-553628102.000000,,-14050000000.000000,-16943000000.000000,,,,,-53971275133.000000,1874908.000000,18970891955.000000,10209886493.000000,29180778448.000000
12M 2022,46924296383.000000,1379536600122.000000,,-1130706616774.000000,-142484173184.000000,-17787857486.000000,-1290978647444.000000,260910645.000000,-9216102948.000000,,-32678463992.000000,46924296383.000000,-19055723407.000000,546660793.000000,,,,-10886400000.000000,-409590000.000000,-8306394200.000000,-19055723407.000000,-27198263201.000000,,8408250041.000000,-335513242.000000,,-7904000000.000000,-27367000000.000000,,,,,-27198263201.000000,153718989.000000,824028764.000000,29180778448.000000,30004807212.000000
12M 2023,125085026269.000000,1412412275248.000000,,-1073408764903.000000,-142745088641.000000,-25887043367.000000,-1242040896911.000000,955800346.000000,-8401409695.000000,147334304.000000,-37988077023.000000,125085026269.000000,-10774599546.000000,305196826.000000,,,,-168518518.000000,-3981580408.000000,-6929697446.000000,-10774599546.000000,-65137773720.000000,,-21673255559.000000,-291518161.000000,,-21053000000.000000,-22120000000.000000,,,,,-65137773720.000000,-39763580.000000,49132889423.000000,30004807212.000000,79137696635.000000
12M 2024,-8343568939.000000,1360391746267.000000,,-1099087138685.000000,-152025724242.000000,-72562251794.000000,-1323675114721.000000,30478873.000000,-9120650701.000000,3858695028.000000,-39828723685.000000,-8343568939.000000,-144092690810.000000,986546453.000000,-30000000000.000000,,,-599936647.000000,,-114479300616.000000,-144092690810.000000,101844913129.000000,,49563376209.000000,-225238635.000000,2023655418.000000,,-18616400000.000000,75000000000.000000,-5900479863.000000,,,101844913129.000000,40085603.000000,-50551261017.000000,79137696635.000000,28586435618.000000
