Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,29180778448.000000,,172372388543.000000,,,172372388543.000000,1507005063.000000,1507005063.000000,,1507005063.000000,80837066686.000000,16951561084.000000,300848799824.000000,,1207307461.000000,1207307461.000000,,1207307461.000000,1711512931.000000,199424810567.000000,1168209303.000000,4986129944.000000,4425843672.000000,212923813878.000000,513772613702.000000,,,194863766878.000000,28797028397.000000,141307578078.000000,,,141307578078.000000,2456768467.000000,,,2456768467.000000,11934904514.000000,5601254178.000000,,358566137.000000,4407667107.000000,194863766878.000000,25116470203.000000,,324885305.000000,324885305.000000,24791584898.000000,25116470203.000000,219980237081.000000,,15000000000.000000,13142203584.000000,200378209685.000000,,200378209685.000000,200378209685.000000,62813356102.000000,2458607250.000000,293792376621.000000,513772613702.000000,15000.000000
12M 2022,,,30004807212.000000,,201355218194.000000,,,201355218194.000000,3349809982.000000,3349809982.000000,,3349809982.000000,134844331840.000000,18796021217.000000,388350188445.000000,,1176957461.000000,1176957461.000000,,1176957461.000000,2148028913.000000,180804968990.000000,826333333.000000,4246392800.000000,16357059252.000000,205559740749.000000,593909929194.000000,,,209344265019.000000,37205278438.000000,147195218868.000000,,,147195218868.000000,2799426894.000000,,,2799426894.000000,15657028922.000000,3767591455.000000,,291518161.000000,2428202281.000000,209344265019.000000,21759304598.000000,,56420039.000000,56420039.000000,21702884559.000000,21759304598.000000,231103569617.000000,,15000000000.000000,13142203584.000000,255655956309.000000,,255655956309.000000,255655956309.000000,76378294914.000000,2629904770.000000,362806359577.000000,593909929194.000000,15000.000000
12M 2023,,,79137696635.000000,,190377737123.000000,,,190377737123.000000,1512997279.000000,1512997279.000000,,1512997279.000000,139445215144.000000,19938235026.000000,430411881207.000000,,1106557415.000000,1106557415.000000,,1106557415.000000,1993814278.000000,297876596690.000000,558333333.000000,6510683517.000000,18631025316.000000,326677010549.000000,757088891756.000000,,,178834800847.000000,15532022879.000000,145271067207.000000,,,145271067207.000000,3098154090.000000,,,3098154090.000000,5156334150.000000,4577483558.000000,183333333.000000,56420039.000000,4959985591.000000,178834800847.000000,28650506568.000000,,,,28650506568.000000,28650506568.000000,207485307415.000000,,200000000000.000000,13142203584.000000,110913344131.000000,21584998103.000000,89328346028.000000,110913344131.000000,122945601108.000000,102602435518.000000,549603584341.000000,757088891756.000000,2000000000.000000
12M 2024,,,28586435618.000000,30000000000.000000,274075543432.000000,,,274075543432.000000,2032039757.000000,2032039757.000000,,2032039757.000000,189038384318.000000,51539046040.000000,575271449165.000000,,1364598007.000000,1364598007.000000,,1364598007.000000,,386854894219.000000,290333333.000000,6991703539.000000,9365750042.000000,404867279140.000000,980138728305.000000,,,270596756708.000000,65095399088.000000,181057070122.000000,,,181057070122.000000,5666523984.000000,,,5666523984.000000,7000422573.000000,6595903948.000000,228085806.000000,,4953351187.000000,270596756708.000000,30350097956.000000,,,,30350097956.000000,30350097956.000000,300946854664.000000,,250000000000.000000,32241723721.000000,170718334977.000000,21584998103.000000,149133336874.000000,170718334977.000000,122768920042.000000,103462894901.000000,679191873641.000000,980138728305.000000,2500000000.000000
