Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Karyawan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Atas Perubahan Nilai Aset Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Bagian Atas Hasil Bersih Pengendalian Bersama Entitas,Bagian Atas Hasil Bersih Entitas Asosiasi Dan Pengendalian Bersama Entitas,Laba Dari Ventura Bersama,Keuntungan (Rugi) Atas Transaksi Derivatif,Keuntungan Atas Penjualan Entitas Anak,Keuntungan Atas Penjualan Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Pos Luar Biasa,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,1305756863951.000000,-1138592098445.000000,167164765506.000000,-58616275750.000000,,-58616275750.000000,,,,-58616275750.000000,108548489756.000000,-4117250516.000000,179202565.000000,-8688721278.000000,,,,,,,,,,,4392268197.000000,-4117250516.000000,104431239240.000000,-22342227575.000000,-22714527000.000000,372299425.000000,,-22342227575.000000,82089011665.000000,2703998360.000000,,2703998360.000000,2703998360.000000,84793010025.000000,82089011665.000000,61489275738.000000,20599735927.000000,82089011665.000000,84793010025.000000,63147725630.000000,21645284395.000000,84793010025.000000
12M 2022,1411869901398.000000,-1211844279403.000000,200025621995.000000,-61954655774.000000,,-61954655774.000000,,,,-61954655774.000000,138070966221.000000,-4335992403.000000,260910645.000000,-9210323106.000000,,,,,,,,,,,4613420058.000000,-4335992403.000000,133734973818.000000,-29707668664.000000,-29474929660.000000,-232739004.000000,,-29707668664.000000,104027305154.000000,257677802.000000,,257677802.000000,257677802.000000,104284982956.000000,104027305154.000000,63181746624.000000,40845558530.000000,104027305154.000000,104284982956.000000,63353044144.000000,40931938812.000000,104284982956.000000
12M 2023,1400953229981.000000,-1199253878659.000000,201699351322.000000,-73921489467.000000,,-73921489467.000000,,,,-73921489467.000000,127777861855.000000,-6658879003.000000,955800346.000000,-8434007545.000000,,,,,,,,,,,819328196.000000,-6658879003.000000,121118982852.000000,-26308708718.000000,-28437473466.000000,2128764748.000000,,-26308708718.000000,94810274134.000000,135159950630.000000,,135159950630.000000,135159950630.000000,229970224764.000000,94810274134.000000,61310387822.000000,33499886312.000000,94810274134.000000,229970224764.000000,161282918570.000000,68687306194.000000,229970224764.000000
12M 2024,1444399628626.000000,-1258561282374.000000,185838346252.000000,-80606815410.000000,,-80606815410.000000,,,,-80606815410.000000,105231530842.000000,-4151341960.000000,1529186356.000000,-9120925964.000000,,,,,,,,,,,3440397648.000000,-4151341960.000000,101080188882.000000,-22486603361.000000,-23148020060.000000,661416699.000000,,-22486603361.000000,78593585521.000000,511583642.000000,,511583642.000000,511583642.000000,79105169163.000000,78593585521.000000,59804990846.000000,18788594675.000000,78593585521.000000,79105169163.000000,60665450229.000000,18439718934.000000,79105169163.000000
