Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2021,0.00 B,4099285.05,0.00,0.00,140.21 B,11.97%,26.62%,68.07%,12.49
12M 2022,0.00 B,4212116.44,0.00,0.00,169.32 B,10.64%,22.06%,39.25%,14.99
12M 2023,2.00 B,30.66,0.00,0.00,157.31 B,8.10%,14.37%,26.54%,15.15
12M 2024,2.50 B,23.92,12.63,0.52,135.22 B,6.10%,10.75%,16.34%,11.54
