Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Usaha Lainnya,Penerimaan Lainnya,Pembayaran Lainnya,Restitusi Pajak,Pembayaran Pajak Kurang Bayar,Pembayaran Pajak Penghasilan,Pembayaran Pajak Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Penerimaan Piutang Pihak Berelasi Non-Usaha,Perolehan Aset Tetap,Penurunan (Penambahan) Aset Keuangan Lancar Lainnya,Penambahan Aset Keuangan Yang Diukur Pada Nilai Wajar Melalui Penghasilan Komprehensif Lain,Penurunan (Penambahan) Aset Keuangan Tersedia Untuk Dijual,Penambahan Aset Tidak Lancar Lainnya,Penambahan Aset Keuangan Tidak Lancar Lainnya,Penambahan Aset Tidak Berwujud,Pelepasan Properti,Penambahan Properti Investasi,Pembayaran Dari Akuisisi Entitas Anak,Hasil Penjualan Sebagian Kepemilikan Saham Entitas Anak,Hasil Penjualan Sebagian Kepemilikan Saham Entitas Asosiasi,Hasil Pelepasan Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal Saham,Penerimaan Tambahan Setoran Modal,Penerimaan Pinjaman,Penerimaan Setoran Modal Dari Pemegang Saham Non Pengendali,Penerimaan Uang Muka Setoran Modal Entitas Anak,Pembayaran Bunga Dan Beban Pendanaan Lainnya,Penerimaan Bunga,Penambahan (Penurunan) Utang Pihak Berelasi Non-Usaha,Pembayaran Pinjaman,Pembayaran Beban Emisi Saham,Pembayaran Utang Sewa Pembiayaan,Penerimaan Utang Sewa Pembiayaan,Pembayaran Dividen Kas Kepada Kepentingan Non-Pengendali Entitas Anak,Pembayaran Atas Pengurangan Modal Kepada Kepentingan Non Pengendali,Dividen Kas Yang Dibayarkan Kepada Pemegang Saham Perseroan,Dividen Kas Yang Dibayarkan Kepada Kepentingan Non Pengendali,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Entitas Anak Yang Tidak Lagi Dikonsolidasi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2012,157910814000.000000,1301616578000.000000,-1021216532000.000000,-104568605000.000000,-13210672000.000000,11303348000.000000,-5258371000.000000,,,-10754932000.000000,,157910814000.000000,-186717430000.000000,2364008000.000000,10753063000.000000,-114582606000.000000,37600101000.000000,,,-10275744000.000000,-34060259000.000000,-162523000.000000,,,,,,-78353470000.000000,-186717430000.000000,110743751000.000000,70000000000.000000,,124310442000.000000,18020000000.000000,,-22518689000.000000,2111297000.000000,60433670000.000000,-141612969000.000000,,,,,,,,,110743751000.000000,81937135000.000000,2850546000.000000,,93939578000.000000,178727259000.000000
12M 2013,82354242000.000000,1384106855000.000000,-1144927887000.000000,-115003198000.000000,-40743142000.000000,24925798000.000000,-13669007000.000000,,,-12335177000.000000,,82354242000.000000,-158429207000.000000,53675000.000000,-1043655000.000000,-131414730000.000000,-13135171000.000000,,,-651881000.000000,-62402911000.000000,-2279534000.000000,,,,,,52445000000.000000,-158429207000.000000,138899873000.000000,180000000000.000000,,47596865000.000000,44745000000.000000,,-22194885000.000000,4540345000.000000,-35148519000.000000,-77962852000.000000,-2676081000.000000,,,,,,,,138899873000.000000,62824908000.000000,8512843000.000000,-18582248000.000000,178727259000.000000,231482762000.000000
12M 2014,266197497000.000000,1730230664000.000000,-1255669718000.000000,-186641435000.000000,-26727899000.000000,27652075000.000000,-436324000.000000,,,-22209866000.000000,,266197497000.000000,-136171606000.000000,27296596000.000000,25213789000.000000,-166178241000.000000,6997922000.000000,,,44121000.000000,-1209521000.000000,-13041272000.000000,,,,,,-15295000000.000000,-136171606000.000000,86346466000.000000,,,85634678000.000000,115486538000.000000,,-21243968000.000000,10663275000.000000,-4506839000.000000,-96802135000.000000,,,,,,-2399940000.000000,-485143000.000000,,86346466000.000000,216372357000.000000,3061215000.000000,,231482762000.000000,450916334000.000000
12M 2015,225412193000.000000,2411195374000.000000,-1932502754000.000000,-217574803000.000000,-20944754000.000000,13979293000.000000,-5866550000.000000,,,-22873613000.000000,,225412193000.000000,-91521490000.000000,2710267000.000000,8329474000.000000,-100544082000.000000,-1435713000.000000,,,44121000.000000,509504000.000000,-1135061000.000000,,,,,,,-91521490000.000000,-63447664000.000000,,,110277000000.000000,,,-16137807000.000000,16449766000.000000,-4070417000.000000,-155211282000.000000,,-4048674000.000000,,,,-8563572000.000000,-2142678000.000000,,-63447664000.000000,70443039000.000000,16525686000.000000,,450916334000.000000,537885059000.000000
12M 2016,316709937000.000000,1910688585000.000000,-1293978125000.000000,-234417336000.000000,-27000705000.000000,24105159000.000000,-21075997000.000000,,,-41611644000.000000,,316709937000.000000,-98221562000.000000,176929461000.000000,232486000.000000,-292253890000.000000,4996567000.000000,,,1522000.000000,-2476310000.000000,-566352000.000000,102000000000.000000,-112207500000.000000,,12812454000.000000,12310000000.000000,,-98221562000.000000,-109345116000.000000,,,21863735000.000000,125000000.000000,,-12804038000.000000,17347113000.000000,-21634942000.000000,-86408731000.000000,,-14703361000.000000,,,-3305000.000000,-13125000000.000000,-1587000.000000,,-109345116000.000000,109143259000.000000,-2643469000.000000,-13704093000.000000,537885059000.000000,630680756000.000000
12M 2017,199177868000.000000,2152513410000.000000,-1627459796000.000000,-244604660000.000000,-26248064000.000000,2707131000.000000,-15629132000.000000,,,-42101021000.000000,,199177868000.000000,-97455053000.000000,3225899000.000000,,-83849798000.000000,-13868332000.000000,,,-701892000.000000,-2219210000.000000,-41720000.000000,,,,,,,-97455053000.000000,-67710854000.000000,,,,17500000000.000000,,-10604850000.000000,24888518000.000000,,-16810261000.000000,,-23621761000.000000,,,,-59062500000.000000,,,-67710854000.000000,34011961000.000000,259082000.000000,,630680756000.000000,664951799000.000000
12M 2018,127022000000.000000,2306803000000.000000,-1830604000000.000000,-282737000000.000000,-43412000000.000000,11969000000.000000,-10824000000.000000,16400000000.000000,,-40573000000.000000,,127022000000.000000,-138429000000.000000,373000000.000000,,-129457000000.000000,-2584000000.000000,,,,-367000000.000000,-105000000.000000,,-6289000000.000000,,,,,-138429000000.000000,-38311000000.000000,,,61525000000.000000,,,-12361000000.000000,24064000000.000000,,-18342000000.000000,,-36947000000.000000,,,,-56250000000.000000,,,-38311000000.000000,-49718000000.000000,5114000000.000000,,664952000000.000000,620348000000.000000
12M 2019,150130000000.000000,2501593000000.000000,-1978956000000.000000,-303517000000.000000,-29294000000.000000,13814000000.000000,-208000000.000000,3557000000.000000,,-55475000000.000000,-1384000000.000000,150130000000.000000,-314630000000.000000,672000000.000000,,-299722000000.000000,-14818000000.000000,,,,-239000000.000000,-23000000.000000,,-500000000.000000,,,,,-314630000000.000000,-48726000000.000000,,,142137000000.000000,20817000000.000000,,-18451000000.000000,20758000000.000000,,-86411000000.000000,,-47888000000.000000,,,,-79688000000.000000,,,-48726000000.000000,-213226000000.000000,-3819000000.000000,,620348000000.000000,403303000000.000000
12M 2020,580494000000.000000,2819749000000.000000,-1898564000000.000000,-323954000000.000000,-16140000000.000000,51257000000.000000,-17815000000.000000,5978000000.000000,,-39428000000.000000,-589000000.000000,580494000000.000000,-94404000000.000000,1389000000.000000,,-80872000000.000000,-9395000000.000000,,,,-5000000000.000000,-526000000.000000,,,,,,,-94404000000.000000,-261079000000.000000,,,99000000000.000000,,,-19115000000.000000,15536000000.000000,,-67966000000.000000,,-39159000000.000000,,,,-249375000000.000000,,,-261079000000.000000,225011000000.000000,1442000000.000000,,403303000000.000000,629756000000.000000
12M 2021,487141000000.000000,3142765000000.000000,-2276746000000.000000,-316122000000.000000,-33302000000.000000,38599000000.000000,-3525000000.000000,9523000000.000000,,-58818000000.000000,-15233000000.000000,487141000000.000000,-118233000000.000000,779000000.000000,,-86496000000.000000,-37501000000.000000,,,,5000000000.000000,-15000000.000000,,,,,,,-118233000000.000000,-295714000000.000000,,,,11200000000.000000,,-13754000000.000000,15805000000.000000,,-67628000000.000000,,-25712000000.000000,,,,-215625000000.000000,,,-295714000000.000000,73194000000.000000,743000000.000000,,629756000000.000000,703693000000.000000
