Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,1337515793000.000000,-1198054493000.000000,139461300000.000000,-75887850000.000000,-24778783000.000000,-55652044000.000000,4542977000.000000,-75887850000.000000,63573450000.000000,-20407392000.000000,2111297000.000000,-22518689000.000000,,-20407392000.000000,43166058000.000000,-1937456000.000000,41228602000.000000,-12719456000.000000,28509146000.000000,,,,28509146000.000000,28509146000.000000,30246011000.000000,-1736865000.000000,28509146000.000000,28509146000.000000,30246011000.000000,-1736865000.000000,28509146000.000000
12M 2013,1505029935000.000000,-1333446352000.000000,171583583000.000000,-84519790000.000000,-41595579000.000000,-59757864000.000000,16833653000.000000,-84519790000.000000,87063793000.000000,-17654539000.000000,4540345000.000000,-22194884000.000000,,-17654539000.000000,69409254000.000000,-16552919000.000000,52856335000.000000,,52856335000.000000,,,,52856335000.000000,52856335000.000000,56695857000.000000,-3839522000.000000,52856335000.000000,52856335000.000000,56695857000.000000,-3839522000.000000,52856335000.000000
12M 2014,1965149608000.000000,-1765515201000.000000,199634407000.000000,-107624860000.000000,-57229312000.000000,-70228439000.000000,19832891000.000000,-107624860000.000000,92009547000.000000,-10580693000.000000,10663275000.000000,-21243968000.000000,,-10580693000.000000,81428854000.000000,-13727687000.000000,67701167000.000000,,67701167000.000000,,,,67701167000.000000,67701167000.000000,71434227000.000000,-3733060000.000000,67701167000.000000,67701167000.000000,71434227000.000000,-3733060000.000000,67701167000.000000
12M 2015,2140902242000.000000,-1906750720000.000000,234151522000.000000,-114076968000.000000,-57834809000.000000,-74142895000.000000,17900736000.000000,-114076968000.000000,120074554000.000000,311959000.000000,16449766000.000000,-16137807000.000000,,311959000.000000,120386513000.000000,-23178203000.000000,97208310000.000000,,97208310000.000000,2024414000.000000,2024414000.000000,2024414000.000000,99232724000.000000,97208310000.000000,99174841000.000000,-1966531000.000000,97208310000.000000,99232724000.000000,101171951000.000000,-1939227000.000000,99232724000.000000
12M 2016,1927502605000.000000,-1681038011000.000000,246464594000.000000,-142643336000.000000,-49084592000.000000,-82197334000.000000,-11361410000.000000,-142643336000.000000,103821258000.000000,71866611000.000000,17347113000.000000,-12804038000.000000,67323536000.000000,71866611000.000000,175687869000.000000,-45522271000.000000,130165598000.000000,,130165598000.000000,-31346000.000000,-31346000.000000,-31346000.000000,130134252000.000000,130165598000.000000,147721729000.000000,-17556131000.000000,130165598000.000000,130134252000.000000,147737493000.000000,-17603241000.000000,130134252000.000000
12M 2017,2140620071000.000000,-1903000267000.000000,237619804000.000000,-120031788000.000000,-50471994000.000000,-71907458000.000000,2347664000.000000,-120031788000.000000,117588016000.000000,14283668000.000000,24888518000.000000,-10604850000.000000,,14283668000.000000,131871684000.000000,-31839287000.000000,100032397000.000000,,100032397000.000000,-3285945000.000000,,-3285945000.000000,96746452000.000000,100032397000.000000,112368253000.000000,-12335856000.000000,100032397000.000000,96746452000.000000,109134482000.000000,-12388030000.000000,96746452000.000000
12M 2018,2435494000000.000000,-2164838000000.000000,270656000000.000000,-162285000000.000000,-71787000000.000000,-85407000000.000000,-5091000000.000000,-162285000000.000000,108371000000.000000,11703000000.000000,24064000000.000000,-12361000000.000000,,11703000000.000000,120074000000.000000,-35655000000.000000,84419000000.000000,,84419000000.000000,5640000000.000000,,5640000000.000000,90059000000.000000,84419000000.000000,99666000000.000000,-15247000000.000000,84419000000.000000,90059000000.000000,105153000000.000000,-15094000000.000000,90059000000.000000
12M 2019,2455526000000.000000,-2102628000000.000000,352898000000.000000,-178659000000.000000,-93387000000.000000,-87420000000.000000,2148000000.000000,-178659000000.000000,174239000000.000000,2307000000.000000,20758000000.000000,-18451000000.000000,,2307000000.000000,176546000000.000000,-51368000000.000000,125178000000.000000,,125178000000.000000,-309000000.000000,,-309000000.000000,124869000000.000000,125178000000.000000,137275000000.000000,-12097000000.000000,125178000000.000000,124869000000.000000,136991000000.000000,-12122000000.000000,124869000000.000000
12M 2020,2685797000000.000000,-2314224000000.000000,371573000000.000000,-144670000000.000000,-82368000000.000000,-77414000000.000000,15112000000.000000,-144670000000.000000,226903000000.000000,-3579000000.000000,15536000000.000000,-19115000000.000000,,-3579000000.000000,223324000000.000000,-62678000000.000000,160646000000.000000,,160646000000.000000,2567000000.000000,,2567000000.000000,163213000000.000000,160646000000.000000,172535000000.000000,-11889000000.000000,160646000000.000000,163213000000.000000,175084000000.000000,-11871000000.000000,163213000000.000000
12M 2021,2996710000000.000000,-2559133000000.000000,437577000000.000000,-144625000000.000000,-75506000000.000000,-70965000000.000000,1846000000.000000,-144625000000.000000,292952000000.000000,2051000000.000000,15805000000.000000,-13754000000.000000,,2051000000.000000,295003000000.000000,-34133000000.000000,260870000000.000000,,260870000000.000000,-787000000.000000,,-787000000.000000,260083000000.000000,260870000000.000000,259198000000.000000,1672000000.000000,260870000000.000000,260083000000.000000,258346000000.000000,1737000000.000000,260083000000.000000
