Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2012,0.00,118.36,0.00,94.27,102 B,193 B,295 B,116 B,28 B
12M 2013,4.54,222.46,4.92,205.32,79 B,99 B,177 B,(54 B),192 B
12M 2014,3.76,271.43,4.06,250.98,106 B,55 B,161 B,(290 B),282 B
12M 2015,3.51,323.61,3.70,306.66,77 B,64 B,141 B,(397 B),375 B
12M 2016,4.45,395.85,4.56,385.62,44 B,126 B,170 B,(461 B),350 B
12M 2017,1.47,422.55,1.49,414.99,,88 B,128 B,(537 B),382 B
12M 2018,2.04,448.63,2.06,443.48,77 B,91 B,168 B,(452 B),352 B
12M 2019,0.93,479.19,0.94,476.35,90 B,94 B,184 B,(219 B),261 B
12M 2020,1.64,434.03,1.64,433.26,,99 B,194 B,(436 B),248 B
12M 2021,7.68,456.82,7.69,456.70,33 B,42 B,75 B,(629 B),268 B
12M 2022,4.60,441.09,4.60,441.09,47 B,70 B,117 B,(531 B),308 B
12M 2023,4.11,382.05,4.83,324.77,109 B,265 B,374 B,(133 B),(70 B)
12M 2024,51.16,361.61,59.54,310.69,103 B,250 B,353 B,(189 B),53 B
