Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.66,243.82,0.66,243.82,"1,246 B",,"1,246 B",986 B,(277 B)
12M 2009,2.18,266.87,2.18,266.87,"1,113 B",0 B,"1,113 B",480 B,390 B
12M 2010,3.39,311.34,3.39,311.34,976 B,0 B,976 B,(144 B),"1,870 B"
12M 2011,3.35,358.53,3.35,358.53,"1,431 B",,"1,431 B",(65 B),"2,826 B"
12M 2012,3.65,504.46,3.65,504.46,748 B,697 B,"1,445 B",(983 B),882 B
12M 2013,2.46,307.13,2.46,307.13,610 B,"2,257 B","2,867 B",322 B,"1,414 B"
12M 2014,3.87,381.02,3.87,381.02,"1,080 B","3,876 B","4,956 B","3,261 B","1,473 B"
12M 2015,3.84,416.78,3.84,416.78,983 B,"5,217 B","6,201 B","4,697 B","2,880 B"
12M 2016,2.97,432.73,2.97,432.73,"1,402 B","6,024 B","7,427 B","5,350 B","4,481 B"
12M 2017,2.03,451.24,2.03,451.24,"2,395 B","5,589 B","7,984 B","6,501 B","2,882 B"
12M 2018,1.63,478.53,1.63,478.53,"3,714 B","4,893 B","8,607 B","7,073 B","3,277 B"
12M 2019,1.91,510.69,1.91,510.69,"4,652 B","4,346 B","8,998 B","7,334 B","2,133 B"
12M 2020,1.64,474.52,1.64,474.52,"3,970 B","5,488 B","9,458 B","7,802 B","3,530 B"
12M 2021,1.59,524.65,1.59,524.65,"2,919 B","4,126 B","7,045 B","4,271 B","6,062 B"
12M 2022,1.09,557.13,1.09,557.13,"2,625 B","3,290 B","5,915 B","2,772 B","4,789 B"
12M 2023,0.97,595.26,0.97,595.26,"3,759 B","3,445 B","7,203 B","3,910 B","3,777 B"
12M 2024,0.73,669.22,0.73,669.22,"6,245 B","4,299 B","10,544 B","7,251 B","2,519 B"
