Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Dari Pendapatan Bunga,Pembayaran Kas Kepada :,Pemasok,Karyawan,Total Pembayaran Kas Kepada :,Penerimaan (Pembayaran) Kas Untuk Beban Operasi Lain,Penerimaan Bunga,Penerimaan Dari Restitusi Pajak Penghasilan,Penurunan Atas Piutang Pihak-Pihak Berelasi Non-Usaha,Pembayaran Untuk :,Pajak Penghasilan,Beban Bunga,Pajak Final,Total Pembayaran Untuk :,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap Dan Properti Investasi,Penerimaan Dividen Kas Dari Investasi Asosiasi,Penerimaan Dividen Kas Dari Investasi Pada Entitas Lainnya,Kenaikan (Penurunan) Saldo Hutang Kepada Pihak Berelasi,Penurunan (Kenaikan) Saldo Piutang Kepada Pihak-Pihak Berelasi Non-Usaha,Perolehan Properti Investasi,Perolehan Aset Tetap,Pembayaran Uang Muka Investasi,Pelunasan Piutang Pihak -Pihak Berelasi Non Usaha,Penerimaan Dari Pelepasan Entitas Anak,Sebagian Hasil Perolehan Dari Penjualan Investasi,Penurunan (Kenaikan) Aset Lain-Lain,Uang Muka Investasi,Perolehan Tanah Yang Belum Dikembangkan,Akuisisi Entitas Anak Baru,Penjualan Kepentingan Non Pengendali Pada Entitas Anak,Investasi Pada Entitas Asosiasi Dan Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank,Penambahan Modal Dengan Hmetd Ii,Kenaikan (Penurunan) Saldo Utang Kepada Pihak-Pihak Yang Berelasi Non-Usaha,Penerimaan Atas Pencairan Deposito Berjangka Yang Dibatasi Penggunannya,Penerimaan Dari Kepentingan Non Pengendali,Pembayaran Kepada Kepentingan Non Pengendali,Pembayaran Utang Obligasi Dan Sukuk Ijarah,Penerimaan Uang Muka Setoran Modal Dari Kepentingan Non Pengendali,Setoran Modal Oleh Kepentingan Non-Pengendali Dari Entitas Anak,Hasil Penjualan Kepemilikan Pada Entitas Anak,Penerimaan Utang Obligasi,Pembayaran Utang Bank Dan Lembaga Pembiayaan Dan Utang Sewa Pembiayaan,Pembayaran Dividen Kas Oleh Perusahaan,Pembayaran Dividen Kas Entitas Anak Kepada Kepentingan Non Pengendali,Penerimaan Dari Utang - Utang Lain,Pembayaran Biaya Emisi Obligasi,Pembayaran Untuk Utang Lain-Lain,Penambahan Modal Saham Dan Modal Disetor,Pelaksanaan Waran,Pengembalian Setoran Modal Kepada Kepentingan Non Pengendali,Penerimaan Dari (Pembayaran Atas) Utang Pihak Berelasi Non Usaha,Pembayaran Liabilitas Sewa,Pembayaran Kas Kepada Kepentingan Pengendali,Pembayaran Kas Untuk Akuisisi Saham Entitas Anak Dari Kepentingan Non Pengendali,(Kenaikan) Penurunan Aset Derivatif,Kenaikan (Penurunan) Liabilitas Derivatif,Kenaikan (Penurunan) Aset Keuangan Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Reklasifikasi Dari Kas Dan Setara Kas Menjadi Aset Keuangan Tidak Lancar Lainnya,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-345011480000.000000,1377610317000.000000,,,-1255430654000.000000,-125648387000.000000,-1381079041000.000000,-165529933000.000000,17916468000.000000,,,,-111238688000.000000,-82690603000.000000,,-193929291000.000000,,-345011480000.000000,-180552877000.000000,3005628000.000000,,,16146554000.000000,139826000.000000,,-197075842000.000000,,,,,-1016953000.000000,,,,,-1752090000.000000,-180552877000.000000,469201930000.000000,482658113000.000000,,,-9430455000.000000,,,-150000000000.000000,,,,295984015000.000000,-120129202000.000000,-35058932000.000000,,,,,5178391000.000000,,,,,,,,,,469201930000.000000,-56362427000.000000,305472542000.000000,,11719448000.000000,260829563000.000000
12M 2009,572891906000.000000,1972477191000.000000,,,-964088287000.000000,-141611838000.000000,-1105700125000.000000,-68802049000.000000,14300270000.000000,,,,-107504584000.000000,-131878797000.000000,,-239383381000.000000,,572891906000.000000,-10284582000.000000,1602761000.000000,,,31078154000.000000,-1727576000.000000,,-58094608000.000000,,,,17357967000.000000,720400000.000000,,,,,-1221680000.000000,-10284582000.000000,-180664189000.000000,179774554000.000000,,,-2779220000.000000,,,,,,,,-338638044000.000000,-19578655000.000000,,,,,557176000.000000,,,,,,,,,,-180664189000.000000,381943135000.000000,260829563000.000000,,-9603456000.000000,633169242000.000000
12M 2010,654388839000.000000,2791696602000.000000,,,-1632801582000.000000,-192508947000.000000,-1825310529000.000000,-94371487000.000000,44631894000.000000,,,,-161978942000.000000,-100278699000.000000,,-262257641000.000000,,654388839000.000000,-120870205000.000000,1883159000.000000,,,86614615000.000000,2311025000.000000,,-213107789000.000000,,,,1354223000.000000,74562000.000000,,,,,,-120870205000.000000,-44050142000.000000,45096787000.000000,,,740134000.000000,,,,,,,,-275148575000.000000,-54725599000.000000,,,,,239987111000.000000,,,,,,,,,,-44050142000.000000,489468492000.000000,633169242000.000000,,-2154424000.000000,1120483310000.000000
12M 2011,749301225000.000000,3485435280000.000000,,,-2032010863000.000000,-238636666000.000000,-2270647529000.000000,-217594490000.000000,61442689000.000000,,,,-222214587000.000000,-87120138000.000000,,-309334725000.000000,,749301225000.000000,-749193519000.000000,1409762000.000000,,,,3122759000.000000,,-599030376000.000000,,,,,366336000.000000,-155062000000.000000,,,,,-749193519000.000000,366160140000.000000,503558797000.000000,,87557467000.000000,1050074000.000000,,,,,,,,-157393887000.000000,-68612311000.000000,,,,,,,,,,,,,,,366160140000.000000,366267846000.000000,1116886523000.000000,,-999400000.000000,1482154969000.000000
12M 2012,1309508416000.000000,4628815174000.000000,,,-2799789600000.000000,-309559287000.000000,-3109348887000.000000,122273921000.000000,83072874000.000000,,,,-308274118000.000000,-107030548000.000000,,-415304666000.000000,,1309508416000.000000,-760842298000.000000,1014962000.000000,,,,,,-657694825000.000000,-106448559000.000000,2286124000.000000,,,,,,,,,-760842298000.000000,397780387000.000000,214869716000.000000,,32125136000.000000,9251566000.000000,,,,,,,,-228034436000.000000,-157819095000.000000,,,,,527387500000.000000,,,,,,,,,,397780387000.000000,946446505000.000000,1482154969000.000000,,-602000000.000000,2427999474000.000000
12M 2013,-716648000.000000,4571187974000.000000,,,-3145778212000.000000,-420150713000.000000,-3565928925000.000000,-737318361000.000000,136562734000.000000,,,,-266178220000.000000,-139041850000.000000,,-405220070000.000000,,-716648000.000000,-1023218184000.000000,2162709000.000000,,,,,,-782427264000.000000,-177833099000.000000,-65120530000.000000,,,,,,,,,-1023218184000.000000,1138143092000.000000,1264882701000.000000,,42624090000.000000,-7624017000.000000,56554367000.000000,,-299315736000.000000,,,,590242341000.000000,-199528337000.000000,-309692317000.000000,,,,,,,,,,,,,,,1138143092000.000000,114208260000.000000,2427999474000.000000,,2636856000.000000,2544844590000.000000
12M 2014,-1475017061000.000000,3686518964000.000000,,,-4322421686000.000000,-501991602000.000000,-4824413288000.000000,,129830194000.000000,,,,-215265115000.000000,-251687816000.000000,,-466952931000.000000,,-1475017061000.000000,-1278803174000.000000,1945088000.000000,,,,,,-1058125708000.000000,-218480000000.000000,17823804000.000000,,,,,,-21966358000.000000,,,-1278803174000.000000,1900050929000.000000,1066610539000.000000,,208309760000.000000,5476754000.000000,92610093000.000000,,,,62265500000.000000,,1091513361000.000000,-292980101000.000000,-331353103000.000000,,,,,-2401874000.000000,,,,,,,,,,1900050929000.000000,-853769306000.000000,2544844590000.000000,,4001324000.000000,1695076608000.000000
12M 2015,-20685171000.000000,4236706250000.000000,,,-3040923759000.000000,-567478244000.000000,-3608402003000.000000,,72856828000.000000,,,,-8900546000.000000,-486365874000.000000,-226579826000.000000,-721846246000.000000,,-20685171000.000000,-1906649181000.000000,3431387000.000000,,,,,,-590237715000.000000,,48418103000.000000,,,,,-1320036462000.000000,-48224494000.000000,,,-1906649181000.000000,1660099388000.000000,2062422355000.000000,,-50948859000.000000,-464876000.000000,,,792621928000.000000,,159701349000.000000,3136900000.000000,,-1059790260000.000000,-288077886000.000000,,41498737000.000000,,,,,,,,,,,,,1660099388000.000000,-267234964000.000000,1770781044000.000000,,,1503546080000.000000
12M 2016,71074183000.000000,5159749322000.000000,,,-3819025663000.000000,-495122874000.000000,-4314148537000.000000,,98806398000.000000,,,,-7989890000.000000,-576404598000.000000,-288938512000.000000,-873333000000.000000,,71074183000.000000,-799148480000.000000,2066616000.000000,,,,,,-391365862000.000000,,-10292563000.000000,,,,,-399556671000.000000,,,,-799148480000.000000,1300729633000.000000,2241368922000.000000,,76747134000.000000,2058187000.000000,,,,,132760265000.000000,,,-1018000579000.000000,-72005559000.000000,,26274606000.000000,,-67773343000.000000,,,,,,,-20700000000.000000,,,,1300729633000.000000,572655336000.000000,1503546080000.000000,,,2076201416000.000000
12M 2017,-370350666000.000000,5724198720000.000000,,,-4806312757000.000000,-571749049000.000000,-5378061806000.000000,,90926720000.000000,,,,-233415464000.000000,-573998836000.000000,,-807414300000.000000,,-370350666000.000000,-442873466000.000000,2050641000.000000,,,,,,-200360347000.000000,,25450812000.000000,1000000000.000000,,,,-271014572000.000000,,,,-442873466000.000000,256288734000.000000,2726269018000.000000,,46396602000.000000,-439317000.000000,,,,,83960000000.000000,,795235000000.000000,-2987656346000.000000,-72127968000.000000,,,,,,,,,,,,,,-335348255000.000000,256288734000.000000,-556935398000.000000,2039256076000.000000,,,1482320678000.000000
