Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Tanah Untuk Dikembangkan,Investasi Pada Entitas Asosiasi,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Aset Tetap,Properti Investasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Beban Akrual,Utang Pajak,Utang Dari Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Pajak Tangguhan,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,260829563000.000000,87722512000.000000,,87722512000.000000,87722512000.000000,72346534000.000000,813131000.000000,511982880000.000000,156605291000.000000,1090299911000.000000,,,,,,,836441629000.000000,31895920000.000000,,,,,311835944000.000000,1248936130000.000000,134456000.000000,110425141000.000000,2539669220000.000000,3629969131000.000000,,,1366921580000.000000,864578408000.000000,,60244967000.000000,60244967000.000000,15197252000.000000,28387796000.000000,16723477000.000000,85510019000.000000,,,,296279661000.000000,296279661000.000000,,1366921580000.000000,687453243000.000000,,,,,,,,,,,1540456000.000000,,685912787000.000000,687453243000.000000,2054374823000.000000,,643578759000.000000,48546592000.000000,877002489000.000000,40942477000.000000,836060012000.000000,877002489000.000000,6409962000.000000,56506000.000000,1575594308000.000000,3629969131000.000000,6435787592.000000
12M 2009,,,633169242000.000000,43704492000.000000,,43704492000.000000,43704492000.000000,89914205000.000000,2540707000.000000,712901120000.000000,220721906000.000000,1702951672000.000000,,,,,,,1102475468000.000000,10851388000.000000,,,,,308637298000.000000,1234022901000.000000,521777000.000000,100816702000.000000,2757325534000.000000,4460277206000.000000,,,1312779659000.000000,699678222000.000000,,62785270000.000000,62785270000.000000,16346095000.000000,69262488000.000000,51202291000.000000,116588173000.000000,,,,296917120000.000000,296917120000.000000,,1312779659000.000000,1422699519000.000000,,,,,,,,,,,1448213000.000000,81000.000000,1421251225000.000000,1422699519000.000000,2735479178000.000000,,643680064000.000000,49002463000.000000,1025037869000.000000,41883927000.000000,983153942000.000000,1025037869000.000000,7021126000.000000,56506000.000000,1724798028000.000000,4460277206000.000000,6436800638.000000
12M 2010,,,1120483310000.000000,89372219000.000000,2648182000.000000,86724037000.000000,89372219000.000000,121955210000.000000,5646573000.000000,1308433357000.000000,609847046000.000000,3255737715000.000000,,,,,,,1103214226000.000000,4029276000.000000,,,,,379106473000.000000,1278389197000.000000,794873000.000000,118368678000.000000,2883902723000.000000,6139640438000.000000,,,1385932114000.000000,475395230000.000000,,181664820000.000000,181664820000.000000,26811579000.000000,157753675000.000000,43451998000.000000,203202788000.000000,,,,297652024000.000000,297652024000.000000,,1385932114000.000000,2596174896000.000000,,,,,,,,,,,1539907000.000000,201204000.000000,2594433785000.000000,2596174896000.000000,3982107010000.000000,,687314084000.000000,245355554000.000000,1207160683000.000000,43557354000.000000,1163603329000.000000,1207160683000.000000,17646601000.000000,56506000.000000,2157533428000.000000,6139640438000.000000,6873140840.000000
12M 2011,,,1495900816000.000000,34427117000.000000,10252933000.000000,24174184000.000000,34427117000.000000,40090573000.000000,2523814000.000000,2741082409000.000000,448520417000.000000,4762545146000.000000,,,,,,,843581916000.000000,3698761000.000000,,,,,304426776000.000000,1925426080000.000000,4726822000.000000,254769180000.000000,3336629535000.000000,8099174681000.000000,,,1936973287000.000000,841780461000.000000,,246765162000.000000,246765162000.000000,54543924000.000000,166779564000.000000,37844822000.000000,290760255000.000000,,,,298499099000.000000,298499099000.000000,,1936973287000.000000,3685101444000.000000,,,,,,,,,,,1460610000.000000,,3683640834000.000000,3685101444000.000000,5622074731000.000000,,687314084000.000000,245355554000.000000,1531470030000.000000,45892133000.000000,1485577897000.000000,1531470030000.000000,12903777000.000000,56506000.000000,2477099951000.000000,8099174682000.000000,6873140840.000000
12M 2012,,,2427999474000.000000,106417742000.000000,1864836000.000000,104552906000.000000,106417742000.000000,24254265000.000000,,2819763900000.000000,700606056000.000000,6079041437000.000000,,110931000.000000,,,,,1601490348000.000000,3698761000.000000,,,,,282418026000.000000,2549918696000.000000,9260769000.000000,350447717000.000000,4797345248000.000000,10876386685000.000000,,,5197489997000.000000,13248512000.000000,,184224757000.000000,184224757000.000000,94145404000.000000,313974574000.000000,69858425000.000000,304212794000.000000,,131225709000.000000,,299315736000.000000,430541445000.000000,3787284086000.000000,5197489997000.000000,1863496830000.000000,,678349218000.000000,,,678349218000.000000,18621000000.000000,,,,,1364521000.000000,,1165162091000.000000,1863496830000.000000,7060986827000.000000,,721339084000.000000,744335399000.000000,2171201917000.000000,49779199000.000000,2121422718000.000000,2171201917000.000000,176539061000.000000,1984397000.000000,3815399858000.000000,10876386685000.000000,7213390840.000000
12M 2013,,,2544844590000.000000,178708238000.000000,4465759000.000000,174242479000.000000,178708238000.000000,31680665000.000000,,3058266151000.000000,642460425000.000000,6455960069000.000000,,65231461000.000000,347067000.000000,,,347067000.000000,2858349530000.000000,284281659000.000000,,,,,351832213000.000000,3149235790000.000000,11833903000.000000,482065133000.000000,7203176756000.000000,13659136825000.000000,,,5042251296000.000000,74995572000.000000,,63235093000.000000,63235093000.000000,127134868000.000000,400213095000.000000,43162256000.000000,365423634000.000000,,169148723000.000000,154590000.000000,,169303313000.000000,3798783465000.000000,5042251296000.000000,3959218862000.000000,,1666888111000.000000,33959000.000000,590242341000.000000,2257164411000.000000,34250000.000000,,11768731000.000000,9477139000.000000,21245870000.000000,1156949000.000000,,1679617382000.000000,3959218862000.000000,9001470158000.000000,,1442678168000.000000,22996315000.000000,2963202857000.000000,57700058000.000000,2905502799000.000000,2963202857000.000000,226804930000.000000,1984397000.000000,4657666667000.000000,13659136825000.000000,14426781680.000000
12M 2014,,,1695076608000.000000,76412195000.000000,2319804000.000000,74092391000.000000,76412195000.000000,9101625000.000000,,3103251759000.000000,581865038000.000000,5465707225000.000000,,177196000.000000,347067000.000000,,,347067000.000000,4322191772000.000000,,,,,,366761715000.000000,4043018987000.000000,14494759000.000000,1166780273000.000000,9913771769000.000000,15379478994000.000000,,,3992597625000.000000,289307719000.000000,,64655692000.000000,64655692000.000000,139740099000.000000,405626973000.000000,32832746000.000000,573767643000.000000,,216712032000.000000,23848000.000000,,216735880000.000000,2269930873000.000000,3992597625000.000000,5394244925000.000000,,2192683782000.000000,2642000.000000,1683751006000.000000,3876437430000.000000,,,,30939463000.000000,30939463000.000000,1067614000.000000,,1485800418000.000000,5394244925000.000000,9386842550000.000000,,1442678168000.000000,22996315000.000000,4029681296000.000000,68658940000.000000,3961022356000.000000,4029681296000.000000,495769396000.000000,1511269000.000000,5992636444000.000000,15379478994000.000000,14426781680.000000
12M 2015,,,1503546080000.000000,145921281000.000000,3786531000.000000,142134750000.000000,145921281000.000000,6114753000.000000,,4924806927000.000000,709292479000.000000,7289681520000.000000,,55749280000.000000,347067000.000000,,,347067000.000000,5737443704000.000000,,,,,,420472052000.000000,4311751806000.000000,15929958000.000000,926886635000.000000,11468580502000.000000,18758262022000.000000,,,4409686044000.000000,808553471000.000000,,63006515000.000000,63006515000.000000,264562084000.000000,1697306503000.000000,39643616000.000000,,,174880393000.000000,,,174880393000.000000,1361733462000.000000,4409686044000.000000,6818826064000.000000,,2738013302000.000000,,2476372934000.000000,5214386236000.000000,2765597000.000000,,,14471483000.000000,14471483000.000000,1150363000.000000,,1586052385000.000000,6818826064000.000000,11228512108000.000000,,1442678168000.000000,22996315000.000000,4545366100000.000000,82534109000.000000,4462831991000.000000,4545366100000.000000,1516936142000.000000,1773189000.000000,7529749914000.000000,18758262022000.000000,14426781680.000000
12M 2016,,,2076201416000.000000,539087187000.000000,28391713000.000000,510695474000.000000,539087187000.000000,9223228000.000000,,5531046712000.000000,543258543000.000000,8698817086000.000000,,66041843000.000000,347067000.000000,,,347067000.000000,6157514444000.000000,,39515565000.000000,10794659000.000000,28720906000.000000,39515565000.000000,451343312000.000000,4486693698000.000000,10218110000.000000,899828532000.000000,12111502571000.000000,20810319657000.000000,,,4217371528000.000000,1040798732000.000000,,57614375000.000000,57614375000.000000,231571989000.000000,1515289485000.000000,45773975000.000000,,,361511052000.000000,,,361511052000.000000,964811920000.000000,4217371528000.000000,8427392644000.000000,,3542370341000.000000,,2481961543000.000000,6024331884000.000000,,,,4076542000.000000,4076542000.000000,2291052000.000000,,2396693166000.000000,8427392644000.000000,12644764172000.000000,,1442678168000.000000,22996315000.000000,4775726363000.000000,93698522000.000000,4682027841000.000000,4775726363000.000000,1922597241000.000000,1557398000.000000,8165555485000.000000,20810319657000.000000,14426781680.000000
12M 2017,,,1482320678000.000000,645415522000.000000,190580858000.000000,454834664000.000000,645415522000.000000,15415576000.000000,,6498456658000.000000,516660131000.000000,9158268565000.000000,,39753584000.000000,38576737000.000000,347067000.000000,38229670000.000000,38576737000.000000,6296152673000.000000,,,,,,421578607000.000000,4461322679000.000000,10886447000.000000,1236172699000.000000,12504443426000.000000,21662711991000.000000,,,6275827667000.000000,905840236000.000000,,80937455000.000000,80937455000.000000,216155598000.000000,1195747002000.000000,67008652000.000000,,,591349578000.000000,,897400302000.000000,1488749880000.000000,2321388844000.000000,6275827667000.000000,7033142261000.000000,,3203295476000.000000,,2385823569000.000000,5589119045000.000000,,,,8518365000.000000,8518365000.000000,3474261000.000000,,1432030590000.000000,7033142261000.000000,13308969928000.000000,,1442678168000.000000,22996315000.000000,5042669598000.000000,99357313000.000000,4943312285000.000000,5042669598000.000000,1843840584000.000000,1557398000.000000,8353742063000.000000,21662711991000.000000,14426781680.000000
