Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Aset Real Estat,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Jangka Panjang,Investasi Pada Entitas Asosiasi,Piutang Lain-Lain,Aset Tetap,Properti Investasi,Goodwill,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Kontraktor,Utang Pajak,Beban Akrual,Wesel Bayar,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Derivatif,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Lain Jangka Panjang,Others,Total Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,328890057000.000000,43982221000.000000,,,43982221000.000000,9723101000.000000,,,9723101000.000000,1606677000.000000,,258774266000.000000,642976322000.000000,,326723650000.000000,,,2374974845000.000000,561128358000.000000,2577036000.000000,17299977000.000000,62837913000.000000,81882711000.000000,3427424490000.000000,4070400812000.000000,,,527495198000.000000,,25984003000.000000,,25984003000.000000,11723839000.000000,,,11723839000.000000,75043822000.000000,20126446000.000000,29739501000.000000,,235382710000.000000,,82125000000.000000,82125000000.000000,,47369877000.000000,527495198000.000000,2084264722000.000000,,,1560375000000.000000,1560375000000.000000,,,,,523889722000.000000,2084264722000.000000,2611759920000.000000,,710000000000.000000,22656487000.000000,693047292000.000000,,693047292000.000000,693047292000.000000,65474721000.000000,-32537608000.000000,1458640892000.000000,4070400812000.000000,3550000000.000000
12M 2009,,,157943452000.000000,76983721000.000000,,,76983721000.000000,10869677000.000000,,,10869677000.000000,3547636000.000000,,481399744000.000000,730744230000.000000,,,,,1291394927000.000000,2280565971000.000000,1667494000.000000,16509027000.000000,32186041000.000000,79120234000.000000,3701443694000.000000,4432187924000.000000,,,847178914000.000000,,35008394000.000000,66357303000.000000,101365697000.000000,14350388000.000000,,,14350388000.000000,28515713000.000000,19657564000.000000,35185726000.000000,16600000000.000000,8354500000.000000,,564666668000.000000,564666668000.000000,,58482658000.000000,847178914000.000000,1801105517000.000000,154027642000.000000,,966833332000.000000,966833332000.000000,,,,,680244543000.000000,1801105517000.000000,2648284431000.000000,,710000000000.000000,22656487000.000000,985573715000.000000,,985573715000.000000,985573715000.000000,98218478000.000000,-32545187000.000000,1783903493000.000000,4432187924000.000000,3550000000.000000
12M 2010,,,437357993000.000000,125533720000.000000,,,125533720000.000000,19335489000.000000,,,19335489000.000000,6174368000.000000,,325425953000.000000,913827523000.000000,,,,,1375851815000.000000,2035619934000.000000,757952000.000000,1756315000.000000,6237760000.000000,96836811000.000000,3517060587000.000000,4430888110000.000000,,,529803843000.000000,34062357000.000000,,,34062357000.000000,,59698684000.000000,41840824000.000000,101539508000.000000,14750856000.000000,29541787000.000000,53101823000.000000,50600000000.000000,29477397000.000000,,88146135000.000000,88146135000.000000,,128583980000.000000,529803843000.000000,1677804560000.000000,51596274000.000000,,938493667000.000000,938493667000.000000,,,,,687714619000.000000,1677804560000.000000,2207608403000.000000,,710000000000.000000,22656487000.000000,1501547221000.000000,,,1501547221000.000000,21643526000.000000,-32567527000.000000,2223279707000.000000,4430888110000.000000,3550000000.000000
12M 2011,,,354510734000.000000,94836588000.000000,,,94836588000.000000,25180779000.000000,,,25180779000.000000,6548370000.000000,,172269223000.000000,653345694000.000000,,,,,1559739678000.000000,1942978845000.000000,,1630212000.000000,3448663000.000000,71698196000.000000,3579495594000.000000,4232841288000.000000,,,367054154000.000000,42035882000.000000,,,42035882000.000000,,,40948330000.000000,40948330000.000000,6929679000.000000,20278932000.000000,50784083000.000000,,7144196000.000000,,86748478000.000000,86748478000.000000,,112184574000.000000,367054154000.000000,1568253164000.000000,44452087000.000000,,764060498000.000000,764060498000.000000,,,,,759740579000.000000,1568253164000.000000,1935307318000.000000,,710000000000.000000,22656487000.000000,1583388969000.000000,,,1583388969000.000000,13897152000.000000,-32408638000.000000,2297533970000.000000,4232841288000.000000,3550000000.000000
12M 2012,,,331487639000.000000,122064047000.000000,4241505000.000000,117822542000.000000,122064047000.000000,49385657000.000000,13239161000.000000,36146496000.000000,49385657000.000000,9647801000.000000,50904726000.000000,159759848000.000000,723249718000.000000,,,23443785000.000000,,909057769000.000000,2217133943000.000000,,1504108000.000000,,75877440000.000000,3227017045000.000000,3950266763000.000000,,,609300508000.000000,60012628000.000000,,,60012628000.000000,,,37449280000.000000,37449280000.000000,21867111000.000000,35465722000.000000,60070639000.000000,,21021300000.000000,,236669372000.000000,236669372000.000000,,136744456000.000000,609300508000.000000,1108682121000.000000,23430787000.000000,,719050213000.000000,719050213000.000000,5669042000.000000,,,,360532079000.000000,1108682121000.000000,1717982629000.000000,,710000000000.000000,22656487000.000000,1494940023000.000000,142000000000.000000,1352940023000.000000,1494940023000.000000,4687624000.000000,,2232284134000.000000,3950266763000.000000,3550000000.000000
12M 2013,,,497850834000.000000,127502455000.000000,1504801000.000000,125997654000.000000,127502455000.000000,63140202000.000000,13613095000.000000,49527107000.000000,63140202000.000000,10992493000.000000,42559457000.000000,152519239000.000000,894564680000.000000,,,39262725000.000000,9543100000.000000,853241872000.000000,2132555575000.000000,,,,197636938000.000000,3232240210000.000000,4126804890000.000000,,,815065170000.000000,60884000000.000000,,,60884000000.000000,39493155000.000000,,,39493155000.000000,2483311000.000000,34283961000.000000,56680280000.000000,,23430787000.000000,,393591566000.000000,393591566000.000000,,204218110000.000000,815065170000.000000,1151987670000.000000,,,691232474000.000000,691232474000.000000,25840084000.000000,,,,434915112000.000000,1151987670000.000000,1967052840000.000000,,710000000000.000000,22656487000.000000,1384612081000.000000,142000000000.000000,1242612081000.000000,1384612081000.000000,42483482000.000000,,2159752050000.000000,4126804890000.000000,3550000000.000000
12M 2014,,,720157412000.000000,132547193000.000000,559566000.000000,131987627000.000000,132547193000.000000,71411060000.000000,13995862000.000000,57415198000.000000,71411060000.000000,12859039000.000000,107402189000.000000,104766263000.000000,1149143156000.000000,,,38010748000.000000,7978948000.000000,854494720000.000000,2415730886000.000000,,,,79573718000.000000,3395789020000.000000,4544932176000.000000,,,618935893000.000000,76553881000.000000,,,76553881000.000000,39965181000.000000,,,39965181000.000000,3783866000.000000,39419238000.000000,63174736000.000000,,,,120951094000.000000,120951094000.000000,,275087897000.000000,618935893000.000000,1558865090000.000000,,,1110180658000.000000,1110180658000.000000,30171703000.000000,,,,418512729000.000000,1558865090000.000000,2177800983000.000000,,710000000000.000000,22656487000.000000,1588594163000.000000,142000000000.000000,1446594163000.000000,1588594163000.000000,45880543000.000000,,2367131193000.000000,4544932176000.000000,3550000000.000000
12M 2015,,,802942721000.000000,131425579000.000000,833806000.000000,130591773000.000000,131425579000.000000,64995684000.000000,13082191000.000000,51913493000.000000,64995684000.000000,13817722000.000000,62041850000.000000,172778468000.000000,1248002024000.000000,,,36802424000.000000,5011628000.000000,823767691000.000000,2467781769000.000000,,,,89724449000.000000,3423087961000.000000,4671089985000.000000,,,746556660000.000000,63809757000.000000,,,63809757000.000000,30370548000.000000,,,30370548000.000000,5674621000.000000,37189244000.000000,79682988000.000000,,,,202844280000.000000,202844280000.000000,,326985222000.000000,746556660000.000000,1517963942000.000000,,,1029778473000.000000,1029778473000.000000,22305554000.000000,,,,465879915000.000000,1517963942000.000000,2264520602000.000000,,710000000000.000000,22656487000.000000,1620015969000.000000,142000000000.000000,1478015969000.000000,1620015969000.000000,53896927000.000000,,2406569383000.000000,4671089985000.000000,3550000000.000000
12M 2016,,,394917680000.000000,133996476000.000000,505280000.000000,133491196000.000000,133996476000.000000,55552235000.000000,12389256000.000000,43162979000.000000,55552235000.000000,12934273000.000000,72813757000.000000,163076194000.000000,833290615000.000000,,,35600984000.000000,,801057679000.000000,2491333352000.000000,,,349108189000.000000,76178551000.000000,3753278755000.000000,4586569370000.000000,,,930849091000.000000,41271343000.000000,,,41271343000.000000,35193370000.000000,,,35193370000.000000,7277944000.000000,25251807000.000000,79642042000.000000,,,,415469625000.000000,415469625000.000000,,326742960000.000000,930849091000.000000,1370475589000.000000,,,919742734000.000000,919742734000.000000,,,,,450732855000.000000,1370475589000.000000,2301324680000.000000,,710000000000.000000,22656487000.000000,2189640485000.000000,142000000000.000000,2047640485000.000000,2189640485000.000000,65847718000.000000,-702900000000.000000,2285244690000.000000,4586569370000.000000,3550000000.000000
12M 2017,,,489658293000.000000,145178718000.000000,198059000.000000,144980659000.000000,145178718000.000000,61920881000.000000,11270000000.000000,50650881000.000000,61920881000.000000,10735180000.000000,81289843000.000000,173179886000.000000,961962801000.000000,,,37865089000.000000,,786424768000.000000,2419644614000.000000,,,358619303000.000000,74921830000.000000,3677475604000.000000,4639438405000.000000,,,824154197000.000000,49069324000.000000,,,49069324000.000000,50519039000.000000,,,50519039000.000000,4808569000.000000,36604210000.000000,74420202000.000000,,,,253607291000.000000,253607291000.000000,,355125562000.000000,824154197000.000000,2828371340000.000000,,,2397716371000.000000,2397716371000.000000,,,,,430654969000.000000,2828371340000.000000,3652525537000.000000,,710000000000.000000,22656487000.000000,1818301190000.000000,142000000000.000000,1676301190000.000000,1818301190000.000000,78935710000.000000,-1642980519000.000000,986912868000.000000,4639438405000.000000,3550000000.000000
