Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Kepada Kontraktor Proyek,Pembayaran Beban Bunga,Pembayaran Pajak Penghasilan,Pengembalian Pajak Penghasilan,Arus Kas Operasi Diperoleh Dari Aktivitas Operasi Atas Operasi Yang Dihentikan,Pengembalian Pajak Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Hasil Penjualan Aset Keuangan Lainnya,Hasil Investasi Sementara,Penempatan Investasi Sementara,Total Hasil Penjualan Aset Keuangan Lainnya,Penempatan Aset Keuangan Lainnya Jangka Panjang Tersedia Untuk Dijual,Perubahan Deposito Yang Dibatasi Penggunaannya,Pembayaran Uang Muka Investasi,Pembayaran Uang Muka Pembelian Tanah,Penempatan Investasi Pada Entitas Asosiasi,Perolehan Aset Tetap,Penambahan Properti Investasi,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Real Estat,Hasil Penjualan Aset Tetap Dan Properti Investasi,Perolehan Entitas Anak,Arus Kas Bersih Pelepasan Entitas Anak Entitas Asosiasi Dan Unit Bisnis,Arus Kas Bersih Digunakan Dari Aktivitas Investasi Atas Operasi Yang Dihentikan,Penambahan Investasi Pada Aset Keuangan Lainnya,Pelunasan Utang Lain-Lain Dari Pihak Ketiga,Penempatan Investasi Reksadana,Penambahan ( Pengurangan ) Jaminan Sewa.,Kenaikan Aset Lain-Lain,Penerimaan Setoran Modal Dari Entitas Non-Pengendali,Penerimaan Dividen Dari Entitas Asosiasi,Pembayaran Beban Keuangan,Perolehan Piutang Lain-Lain - Pihak Berelasi,Perolehan Piutang Lain-Lain - Pihak Ketiga,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Utang Sindikasi,Biaya Transaksi Terkait Utang Sindikasi Dan Pembiayaan Kembali,Uang Muka Atas Pembiayaan Kembali Utang Sindikasi,Pembayaran Utang Sindikasi,Penerimaan Utang Jangka Panjang,Pembayaran Utang Jangka Panjang,Pembayaran Atas Transaksi Utang Jangka Panjang,Pembayaran Atas Jasa Pembiayaan Kembali,Pelepasan Saham Treasuri,Pembayaran Utang - Pihak Berelasi,Pembayaran Liabilitas Derivatif,Pembayaran Dividen,Arus Kas Bersih Diperoleh Dari Aktivitas Investasi Atas Operasi Yang Dihentikan,Peningkatan Modal Kepentingan Nonpengendali Pada Entitas Anak,Pelunasan Utang Lain-Lain Dari Pihak Ketiga,Pembayaran Atas Modal Saham Yang Diperoleh Kembali,Pembayaran Wesel Bayar,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Anak Perusahaan Baru,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,359722980000.000000,796512118000.000000,-330568348000.000000,,-96156617000.000000,-10064173000.000000,,,,359722980000.000000,-907949678000.000000,7345166000.000000,,,,,,-77226461000.000000,,,,-679031245000.000000,-5544691000.000000,,,2078831000.000000,,,,,,-155571278000.000000,,,,,,,,,-907949678000.000000,568327674000.000000,573535500000.000000,,,,,,,,,,,,,-5207826000.000000,,,,,,568327674000.000000,20100976000.000000,,308789081000.000000,328890057000.000000
12M 2009,293814626000.000000,691421243000.000000,-317370972000.000000,,-100444330000.000000,-24765984000.000000,1035325000.000000,,43939344000.000000,293814626000.000000,-376118216000.000000,7815353000.000000,417178661000.000000,,,417178661000.000000,,45758324000.000000,,,,-326307898000.000000,-10811442000.000000,,,811505000.000000,-129904315000.000000,,,,,-380658404000.000000,,,,,,,,,-376118216000.000000,-77547330000.000000,,-72045000000.000000,,,,,,,,,,,,-5502330000.000000,,,,,,-77547330000.000000,-159850920000.000000,-11095685000.000000,328890057000.000000,157943452000.000000
12M 2010,256154162000.000000,849295938000.000000,-428295555000.000000,,-89903086000.000000,-76956009000.000000,2012874000.000000,,,256154162000.000000,503805286000.000000,4300672000.000000,547876404000.000000,,,547876404000.000000,,-7604638000.000000,,,,-177770266000.000000,-54005141000.000000,,,635319575000.000000,-52362340000.000000,,,,,-391948980000.000000,,,,,,,,,503805286000.000000,-480544907000.000000,984040000000.000000,-1460147407000.000000,,,,,,,,,,,,-4437500000.000000,,,,,,-480544907000.000000,279414541000.000000,,157943452000.000000,437357993000.000000
12M 2011,347189724000.000000,1008416351000.000000,-574599934000.000000,,-57986137000.000000,-38774195000.000000,10133639000.000000,,,347189724000.000000,-92614692000.000000,5894407000.000000,188742591000.000000,,,188742591000.000000,,-39349587000.000000,-870000000.000000,,,-241197512000.000000,-15106668000.000000,,,9272077000.000000,,,,,,,,,,,,,,,-92614692000.000000,-337422291000.000000,-50600000000.000000,-215993268000.000000,,,,,,,,,,-61954023000.000000,,-8875000000.000000,,,,,,-337422291000.000000,-82847259000.000000,,437357993000.000000,354510734000.000000
12M 2012,519219269000.000000,1265811461000.000000,-610268904000.000000,,-44793930000.000000,-91529358000.000000,,,,519219269000.000000,-279530454000.000000,13131499000.000000,58026212000.000000,,,58026212000.000000,,-41831068000.000000,-3240432000.000000,,-22351900000.000000,-261525704000.000000,-13473841000.000000,,,3004780000.000000,,,,,,,,,,,,,-11270000000.000000,,-279530454000.000000,-262711910000.000000,144000000000.000000,-94205160000.000000,,,,,,,,,,,-12531750000.000000,-299975000000.000000,,,,,,-262711910000.000000,-23023095000.000000,,354510734000.000000,331487639000.000000
12M 2013,644519372000.000000,1518612064000.000000,-736923527000.000000,,-56122284000.000000,-81046881000.000000,,,,644519372000.000000,-168814902000.000000,13930636000.000000,45567919000.000000,,,45567919000.000000,-1000000000.000000,-44172173000.000000,-921942000.000000,-133507000000.000000,-15000000000.000000,-44472305000.000000,-38037353000.000000,,,3797316000.000000,,,,,,,,,45000000000.000000,,,,,,-168814902000.000000,-309341275000.000000,148500000000.000000,-281902775000.000000,,,,,,,,,,,-25063500000.000000,-150875000000.000000,,,,,,-309341275000.000000,166363195000.000000,,331487639000.000000,497850834000.000000
12M 2014,646001165000.000000,1576753442000.000000,-787123333000.000000,,-49985602000.000000,-93643342000.000000,,,,646001165000.000000,-367979412000.000000,22857985000.000000,,,,,-9000000000.000000,55796625000.000000,,,,-94617066000.000000,-274499245000.000000,,-64842732000.000000,4981594000.000000,-9245554000.000000,,,578981000.000000,,,,,10000000.000000,,,,,,-367979412000.000000,-55715175000.000000,1208897000000.000000,-1088673675000.000000,,,,,,,,,,,-25063500000.000000,-150875000000.000000,,,,,,-55715175000.000000,222306578000.000000,,497850834000.000000,720157412000.000000
12M 2015,647973992000.000000,1731213826000.000000,-937198589000.000000,,-40809192000.000000,-111715017000.000000,6482964000.000000,,,647973992000.000000,-184326182000.000000,28115441000.000000,,,,,,-25877467000.000000,,,,-99335338000.000000,-79801802000.000000,,-8662474000.000000,1235458000.000000,,,,,,,,,,,,,,,-184326182000.000000,-380862500000.000000,,-132362500000.000000,,,,,,,,,,,,-248500000000.000000,,,,,,-380862500000.000000,82785310000.000000,,720157412000.000000,802942722000.000000
12M 2016,570054525000.000000,1640474283000.000000,-879918236000.000000,,-53232259000.000000,-138556393000.000000,1287130000.000000,,,570054525000.000000,-253582566000.000000,15597222000.000000,,,,,,-48259151000.000000,,,,-76594688000.000000,-132726058000.000000,,-17234373000.000000,1224482000.000000,,,,,,,,,,4410000000.000000,,,,,-253582566000.000000,-724497000000.000000,329562500000.000000,-201562500000.000000,,,,,,,,,,,,-149597000000.000000,,,,-702900000000.000000,,-724497000000.000000,-408025041000.000000,,802942721000.000000,394917680000.000000
12M 2017,452413654000.000000,1590529387000.000000,-886307687000.000000,,-144403654000.000000,-107404392000.000000,,,,452413654000.000000,-117157032000.000000,14444612000.000000,,,,,-5292211000.000000,16085636000.000000,,,,-75317160000.000000,-59331926000.000000,,-8476086000.000000,14386713000.000000,,,,,,,,,,,-13656610000.000000,,,,-117157032000.000000,-240516009000.000000,2865851810000.000000,-1528349300000.000000,,,,,,,,,,,,-637938000000.000000,,,,-940080519000.000000,,-240516009000.000000,94740613000.000000,,394917680000.000000,489658293000.000000
