Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Beban Penyusutan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,542924889000.000000,-154766748000.000000,388158141000.000000,-277051592000.000000,-100371844000.000000,-90884626000.000000,-85795122000.000000,-277051592000.000000,111106549000.000000,-357666666000.000000,,,,,,,,,-357666666000.000000,-246560117000.000000,17319011000.000000,17319011000.000000,,,17319011000.000000,-229241106000.000000,,-3922512000.000000,-233163618000.000000,,,-233163618000.000000,-229241106000.000000,-3922512000.000000,-233163618000.000000,,,,
12M 2009,551705287000.000000,-152597355000.000000,399107932000.000000,-319110763000.000000,-103221748000.000000,-88749175000.000000,-127139840000.000000,-319110763000.000000,79997169000.000000,267962655000.000000,,,,,,,,,267962655000.000000,347959824000.000000,-55276698000.000000,-55276698000.000000,,,-55276698000.000000,292683126000.000000,,-156703000.000000,292526423000.000000,,,292526423000.000000,292683126000.000000,-156703000.000000,292526423000.000000,,,,
12M 2010,811316002000.000000,-303314024000.000000,508001978000.000000,-402428261000.000000,,-230532308000.000000,-171895953000.000000,-402428261000.000000,105573717000.000000,497769995000.000000,,,-77982211000.000000,-77982211000.000000,81465526000.000000,423961489000.000000,,70325191000.000000,497769995000.000000,603343712000.000000,-100278004000.000000,-100278004000.000000,,,-100278004000.000000,503065708000.000000,,17345298000.000000,520411006000.000000,,,520411006000.000000,503065708000.000000,17345298000.000000,520411006000.000000,,,,
12M 2011,909589677000.000000,-420164925000.000000,489424752000.000000,-300595892000.000000,,-300595892000.000000,,-300595892000.000000,188828860000.000000,-58234816000.000000,,-63680593000.000000,,-63680593000.000000,,,,5445777000.000000,-58234816000.000000,130594044000.000000,-47624670000.000000,-47624670000.000000,,,-47624670000.000000,82969374000.000000,,,82969374000.000000,158889000.000000,83128263000.000000,82969374000.000000,90716748000.000000,-7747374000.000000,82969374000.000000,83128263000.000000,90875637000.000000,-7747374000.000000,83128263000.000000
12M 2012,1709975626000.000000,-908344202000.000000,801631424000.000000,-354310677000.000000,,-354310677000.000000,,-354310677000.000000,447320747000.000000,-111084733000.000000,,-44278018000.000000,,-44278018000.000000,,,,-66806715000.000000,-111084733000.000000,336236014000.000000,-101510850000.000000,-101510850000.000000,,,-101510850000.000000,234725164000.000000,,,234725164000.000000,,234725164000.000000,234725164000.000000,243934692000.000000,-9209528000.000000,234725164000.000000,234725164000.000000,243934692000.000000,-9209528000.000000,234725164000.000000
12M 2013,1393191548000.000000,-574549249000.000000,818642299000.000000,-401808557000.000000,,-401808557000.000000,,-401808557000.000000,416833742000.000000,-282288097000.000000,,-78430806000.000000,,-78430806000.000000,,,,-203857291000.000000,-282288097000.000000,134545645000.000000,-101202729000.000000,-101202729000.000000,,,-101202729000.000000,33342916000.000000,,,33342916000.000000,,33342916000.000000,33342916000.000000,40547058000.000000,-7204142000.000000,33342916000.000000,33342916000.000000,40547058000.000000,-7204142000.000000,33342916000.000000
12M 2014,1521681297000.000000,-573568691000.000000,948112606000.000000,-445870690000.000000,,-445870690000.000000,,-445870690000.000000,502241916000.000000,-40856521000.000000,,-59215237000.000000,,-59215237000.000000,,,,18358716000.000000,-40856521000.000000,461385395000.000000,-103141252000.000000,-103141252000.000000,,,-103141252000.000000,358244143000.000000,,,358244143000.000000,,358244143000.000000,358244143000.000000,354857082000.000000,3387061000.000000,358244143000.000000,358244143000.000000,354857082000.000000,3387061000.000000,358244143000.000000
12M 2015,1644546338000.000000,-602642137000.000000,1041904201000.000000,-492827371000.000000,,-492827371000.000000,,-492827371000.000000,549076830000.000000,-172641861000.000000,,-62795772000.000000,,-62795772000.000000,,,,-109846089000.000000,-172641861000.000000,376434969000.000000,-96745050000.000000,7367780000.000000,,-104112830000.000000,-96745050000.000000,279689919000.000000,,,279689919000.000000,9051611000.000000,288741530000.000000,279689919000.000000,272243310000.000000,7446609000.000000,279689919000.000000,288741530000.000000,281077568000.000000,7663962000.000000,288741530000.000000
12M 2016,1659204584000.000000,-600218097000.000000,1058986487000.000000,-475366546000.000000,,-475366546000.000000,,-475366546000.000000,583619941000.000000,-55204568000.000000,,-48113727000.000000,,-48113727000.000000,,,,-7090841000.000000,-55204568000.000000,528415373000.000000,197204028000.000000,328088443000.000000,,-130884415000.000000,197204028000.000000,725619401000.000000,,,725619401000.000000,5562106000.000000,731181507000.000000,725619401000.000000,713520677000.000000,12098724000.000000,725619401000.000000,731181507000.000000,719221516000.000000,11959991000.000000,731181507000.000000
12M 2017,1609456677000.000000,-612130920000.000000,997325757000.000000,-456826906000.000000,,-456826906000.000000,,-456826906000.000000,540498851000.000000,-155209334000.000000,,-135498058000.000000,,-135498058000.000000,,,,-19711276000.000000,-155209334000.000000,385289517000.000000,-99000659000.000000,5848171000.000000,,-104848830000.000000,-99000659000.000000,286288858000.000000,,,286288858000.000000,-6602161000.000000,279686697000.000000,286288858000.000000,273011329000.000000,13277529000.000000,286288858000.000000,279686697000.000000,266598705000.000000,13087992000.000000,279686697000.000000
