Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Bunga Dan Komisi,Pendapatan Bunga Yang Diterima,Provisi Dan Komisi Kredit Yang Diterima,Total Penerimaan Dari Bunga Dan Komisi,Beban Bunga Yang Dibayar,Pendapatan Administrasi Jasa Perbankan,Pendapatan Operasional Lainnya,Keuntungan (Kerugian) Penjualan Surat Berharga,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Pembayaran Beban Operasional Lainnya,Penjualan Agunan Yang Diambil Alih,Pendapatan (Beban) Non Operasional - Neto,Pembayaran Pajak Penghasilan,Pembayaran Pajak Final Atas Revaluasi Aset Tetap,Adjustment,Penurunan (Kenaikan) Aset Operasi :,Penempatan Pada Bank Indonesia Dan Bank Lain,Surat-Surat Berharga Yang Diperdagangkan,Efek-Efek Berharga Yang Dibeli Dengan Janji Dijual Kembali,Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Kredit Yang Diberikan Dan Pembiayaan/Piutang Syariah,Biaya Dibayar Dimuka,Aset Yang Diambil Alih,Agunan Yang Diambil Alih,Tagihan Akseptasi,Penyertaan Saham,Aset Lain-Lain,Aset Hak Guna,Total Penurunan (Kenaikan) Aset Operasi :,Kenaikan (Penurunan) Liabilitas Operasi :,Liabilitas Segera,Simpanan Nasabah,Simpanan Dari Bank Lain,Pelunasan Surat Berharga Yang Diterbitkan,Efek Yang Dijual Dengan Janji Dibeli Kembali,Efek Yang Dibeli Dengan Janji Dijual Kembali,Utang Pajak,Utang Akseptasi,Estimasi Kerugian Komitmen Dan Kontinjensi,Keuntungan (Kerugian) Belum Direalisasi Dari Efek Tersedia Untuk Dijual,Beban Akrual Dan Liabilitas Lain-Lain,Beban Akrual,Kewajiban Lain-Lain,Total Beban Akrual Dan Liabilitas Lain-Lain,Dana Syirkah Temporer,Total Kenaikan (Penurunan) Liabilitas Operasi :,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penyertaan Saham,Hak Minoritas,Perolehan Aset Tetap,Penjualan Aset Tetap,Pembelian Aset Tak Berwujud,Pelunasan (Pembelian) Surat-Surat Berharga Yang Tersedia Untuk Dijual Dan Dimiliki Hingga Jatuh Tempo,Surplus Revaluasi Aset Tetap,Penjualan/(Pembelian) Efek-Efek,Perolehan Perangkat Lunak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Modal Disetor Dari :,Penerbitan Surat Berharga,Jatuh Tempo Efek-Efek,Pelaksanaan Waran,Penambahan Modal Disetor,Penerbitan Obligasi,Penambahan Hak Minoritas Atas Aset Neto Atas Anak Perusahan,Penerbitan Saham Tanpa Hak Memesan Terlebih Dahulu,Penawaran Umum Terbatas V Dan Biaya Emisi Efek,Dana Setoran Modal,Total Tambahan Modal Disetor Dari :,Pembayaran Emisi Saham,Pelunasan Surat Berharga Yang Diterbitkan,Pinjaman Yang Diterima,Pelunasan Jatuh Tempo Obligasi,Pembayaran Sewa,Amortisasi Emisi Obligasi,Dividen Kas,Penambahan Cadangan Umum,Selisih Transaksi Perubahan Ekuitas Atas Anak Perusahaan,Pelunasan Pinjaman Subordinasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Kehilangan Pengendalian Entitas Anak,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-156784970000.000000,,502230708000.000000,11822390000.000000,514053098000.000000,-404046229000.000000,,17443396000.000000,,-48845863000.000000,-30845044000.000000,,,533396000.000000,,,,,180040000000.000000,-531598932000.000000,103174525000.000000,,-175457296000.000000,,,,,,-6833585000.000000,,-430675288000.000000,,,508179925000.000000,-291200166000.000000,,,,1890115000.000000,,,,,,6727690000.000000,6727690000.000000,,225597564000.000000,,-156784970000.000000,-46897000000.000000,,,-47751708000.000000,854708000.000000,,,,,,-46897000000.000000,117520396000.000000,,,,,116749855000.000000,,,,,,116749855000.000000,,,,,,,,,,770541000.000000,117520396000.000000,-95344315000.000000,347640841000.000000,,,252296526000.000000
12M 2009,53099621000.000000,,592876078000.000000,18114341000.000000,610990419000.000000,-501977159000.000000,,103044807000.000000,,-25135391000.000000,-51460078000.000000,,,-615508000.000000,,,,,-539645079000.000000,-440923947000.000000,-70925600000.000000,,-654722590000.000000,,,,,,-1616622000.000000,,-1707833838000.000000,,,1565558268000.000000,45764604000.000000,,,,4232505000.000000,,,,,,10530992000.000000,10530992000.000000,,1626086369000.000000,,53099621000.000000,-11170171000.000000,5531000.000000,,-11998550000.000000,822848000.000000,,,,,,-11170171000.000000,399694000.000000,,,,,34424450000.000000,,,,,,34424450000.000000,,,,,,,-35025339000.000000,,,1000583000.000000,399694000.000000,25965467000.000000,252296526000.000000,,,278261993000.000000
12M 2010,452560849000.000000,,697131031000.000000,24076645000.000000,721207676000.000000,-606764492000.000000,,319266569000.000000,,-42798991000.000000,-37705100000.000000,,,33772271000.000000,,,,,-1426513627000.000000,-634030033000.000000,70925600000.000000,,-689374739000.000000,,,,,,-78343421000.000000,,-2757336220000.000000,,,3237091503000.000000,-456059061000.000000,,,,24059246000.000000,,20817836000.000000,,,,-2990388000.000000,-2990388000.000000,,2822919136000.000000,,452560849000.000000,-25408354000.000000,2742008000.000000,,-28150362000.000000,,,,,,,-25408354000.000000,24970714000.000000,,,,,,,,,,24970714000.000000,24970714000.000000,,,,,,,,,,,24970714000.000000,427267676000.000000,278261993000.000000,,,705529669000.000000
12M 2011,-271719840000.000000,,850258575000.000000,30332382000.000000,880590957000.000000,-656566968000.000000,,144790376000.000000,,-49958903000.000000,-68084897000.000000,,,7554104000.000000,,,,,-133788962000.000000,896189759000.000000,,,-2310205991000.000000,,,7164000000.000000,,,5827833000.000000,,-1534813361000.000000,,,352941075000.000000,677760213000.000000,,,,-68295000.000000,,-28394672000.000000,,2530531000.000000,,,2530531000.000000,,1004768852000.000000,,-271719840000.000000,-985794843000.000000,,,-24547096000.000000,1272796000.000000,,-962287104000.000000,,,-233439000.000000,-985794843000.000000,258840082000.000000,,,,8172430000.000000,,,,58870360000.000000,191797292000.000000,,258840082000.000000,,,,,,,,,,,258840082000.000000,-1050510684000.000000,3652385079000.000000,,46000.000000,2601874441000.000000
12M 2012,491917888000.000000,,1066512874000.000000,24148561000.000000,1090661435000.000000,-755759280000.000000,,219341226000.000000,,-63624964000.000000,-103419688000.000000,,,16607996000.000000,,,,,-96957417000.000000,30480480000.000000,,,-1992361702000.000000,,,,,,-26373633000.000000,,-2085212272000.000000,,,2266724273000.000000,-98000560000.000000,,,,5095488000.000000,,,,-495766000.000000,,,-495766000.000000,,2173323435000.000000,,491917888000.000000,-791378802000.000000,,,-22026077000.000000,5530375000.000000,,-774027249000.000000,,,-855851000.000000,-791378802000.000000,105667356000.000000,,500000000000.000000,,5667356000.000000,,,,,,,505667356000.000000,,-400000000000.000000,,,,,,,,,105667356000.000000,-240816728000.000000,2601874441000.000000,,872000.000000,2361058585000.000000
12M 2013,-470664422000.000000,,1513374765000.000000,60350361000.000000,1573725126000.000000,-1066897434000.000000,,-96500965000.000000,,-76878951000.000000,-142643037000.000000,,,15964417000.000000,,,,,-1303075413000.000000,-26975434000.000000,,,-3459285443000.000000,,,,,,-1331408000.000000,,-4790667698000.000000,,,3616523945000.000000,505067231000.000000,,,,-4921633000.000000,,,,-3435423000.000000,,,-3435423000.000000,,4113234120000.000000,,-470664422000.000000,363303722000.000000,,,-15571697000.000000,2020276000.000000,,377197823000.000000,,,-342680000.000000,363303722000.000000,502592383000.000000,,500000000000.000000,,2592383000.000000,,,,,,,502592383000.000000,,,,,,,,,,,502592383000.000000,327696858000.000000,2361058585000.000000,,2822000.000000,2688758265000.000000
12M 2014,1018983718000.000000,2024716330000.000000,,,2024716330000.000000,-1680970240000.000000,,138801699000.000000,,-144636998000.000000,-168489120000.000000,-10446093000.000000,,23192152000.000000,,,,,,,,,-1210467423000.000000,-6784894000.000000,,,,,-16126615000.000000,,-1233378932000.000000,,1714628000.000000,2024896077000.000000,-89665684000.000000,,,,10001528000.000000,,,,,,,,123248371000.000000,2070194920000.000000,,1018983718000.000000,338527192000.000000,,,-14488139000.000000,2215843000.000000,-4310147000.000000,355109635000.000000,,,,338527192000.000000,15889871000.000000,,,,50889871000.000000,,,,,,,50889871000.000000,,,,,,,-35000000000.000000,,,,15889871000.000000,1318044141000.000000,2588863046000.000000,,,3906907187000.000000
12M 2015,584422834000.000000,1940080220000.000000,,,1940080220000.000000,-1656124054000.000000,,204032349000.000000,,-129619671000.000000,-171084112000.000000,-15426854000.000000,5819234000.000000,464379000.000000,,,,,,,-214535000000.000000,,-850403290000.000000,1860810000.000000,,,,,-2100929000.000000,,-1065178409000.000000,,-1913615000.000000,995087995000.000000,548505630000.000000,,,,-5195524000.000000,,,,,,,,-65024734000.000000,1471459752000.000000,,584422834000.000000,-1108174762000.000000,,,-11981007000.000000,895825000.000000,-1879708000.000000,-1095209872000.000000,,,,-1108174762000.000000,30000.000000,,,,30000.000000,,,,,,,30000.000000,,,,,,,,,,,30000.000000,-566779202000.000000,3906907187000.000000,,,3340127985000.000000
12M 2016,827390672000.000000,2119968652000.000000,,,2119968652000.000000,-1851052546000.000000,,338332313000.000000,,-129614057000.000000,-159653320000.000000,-24108550000.000000,65475700000.000000,-3136310000.000000,,,,,,,214535000000.000000,,-1931459462000.000000,-671521000.000000,,,,,-109490861000.000000,,-1827086844000.000000,,1061343000.000000,2351205322000.000000,-243822430000.000000,,101621102000.000000,,-5316908000.000000,,,,,,123783000.000000,123783000.000000,93393422000.000000,2298265634000.000000,,827390672000.000000,-1992936104000.000000,,,-8454984000.000000,19722856000.000000,-2317316000.000000,-2001886660000.000000,,,,-1992936104000.000000,342924264000.000000,,,,75148654000.000000,267775610000.000000,,,,,,342924264000.000000,,,,,,,,,,,342924264000.000000,-852157794000.000000,3340127985000.000000,,,2487970191000.000000
12M 2017,1454581756000.000000,2253681277000.000000,,,2253681277000.000000,-1828324041000.000000,,417586786000.000000,,-136851994000.000000,-176968157000.000000,-20582822000.000000,215663445000.000000,53323555000.000000,,,,,,,,,-1689287118000.000000,-1353182000.000000,181892788000.000000,,,,-163450194000.000000,,-1672197706000.000000,,1121845000.000000,1310448425000.000000,844355095000.000000,,-101621102000.000000,,-1723768000.000000,,,,,,182348000.000000,182348000.000000,296488570000.000000,2349251413000.000000,,1454581756000.000000,-495577160000.000000,,,-9385322000.000000,12406270000.000000,-3347874000.000000,,,-495250234000.000000,,-495577160000.000000,250000000000.000000,,,,,100000000000.000000,150000000000.000000,,,,,250000000000.000000,,,,,,,,,,,250000000000.000000,1162942156000.000000,2487970191000.000000,,,3650912347000.000000
