Period,Total Pendapatan,Pendapatan Bunga Dan Syariah,Pendapatan Bunga,Pendapatan Syariah,Total Pendapatan Bunga Dan Syariah,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga Dan Syariah,Beban Bunga,Beban Syariah,Total Beban Bunga Dan Syariah,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Keuntungan Penjualan Efek-Efek,Provisi Dan Komisi Lainnya,Keuntungan Dari Perubahan Nilai Wajar Efek-Efek,Jasa Administrasi,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Pemulihan Estimasi Kerugian Komitmen Dan Kontinjensi,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan Dan Non-Keuangan,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Non-Keuangan,Total Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan Dan Non-Keuangan,Keuntungan Dari Perubahan Nilai Wajar Efek-Efek,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,523425510000.000000,,511603120000.000000,,511603120000.000000,11822390000.000000,523425510000.000000,-406684969000.000000,,-399048883000.000000,,-399048883000.000000,-7636086000.000000,-406684969000.000000,116740541000.000000,-72638148000.000000,,19964401000.000000,3898885000.000000,,,,23863286000.000000,,,-671894000.000000,,,-671894000.000000,,-58564605000.000000,-30845044000.000000,-6419891000.000000,-96501434000.000000,-72638148000.000000,44102393000.000000,683991000.000000,,,683991000.000000,44786384000.000000,-9523789000.000000,-10829704000.000000,1305915000.000000,-9523789000.000000,35262595000.000000,-1053000.000000,35261542000.000000,,,,,35261542000.000000,35262595000.000000,-1053000.000000,35261542000.000000,,,,
12M 2009,623128878000.000000,,610436724000.000000,,610436724000.000000,12692154000.000000,623128878000.000000,-501977159000.000000,,-493075309000.000000,,-493075309000.000000,-8901850000.000000,-501977159000.000000,121151719000.000000,-58064899000.000000,,158048393000.000000,1459652000.000000,,,,159508045000.000000,,,-119315516000.000000,,,-119315516000.000000,,-51460078000.000000,-35787281000.000000,-11010069000.000000,-217572944000.000000,-58064899000.000000,63086820000.000000,-482648000.000000,,,-482648000.000000,62604172000.000000,-16363677000.000000,-18596766000.000000,2233089000.000000,-16363677000.000000,46240495000.000000,-809000.000000,46239686000.000000,,,,,46239686000.000000,46240495000.000000,-809000.000000,46239686000.000000,,,,
12M 2010,726442883000.000000,,710955978000.000000,,710955978000.000000,15486905000.000000,726442883000.000000,-607796420000.000000,,-595079269000.000000,,-595079269000.000000,-12717151000.000000,-607796420000.000000,118646463000.000000,10624571000.000000,,312905591000.000000,1887930000.000000,,,,314793521000.000000,,,-230986840000.000000,,,-230986840000.000000,,-37705100000.000000,-53139205000.000000,17662195000.000000,-304168950000.000000,10624571000.000000,129271034000.000000,2386440000.000000,,,2386440000.000000,131657474000.000000,-24855533000.000000,-49859816000.000000,25004283000.000000,-24855533000.000000,106801941000.000000,-930000.000000,106801011000.000000,,,,,106801011000.000000,106801941000.000000,-930000.000000,106801011000.000000,,,,
12M 2011,850905933000.000000,,783873747000.000000,32640664000.000000,816514411000.000000,34391522000.000000,850905933000.000000,-679073822000.000000,,-645612767000.000000,-19530379000.000000,-665143146000.000000,-13930676000.000000,-679073822000.000000,171832111000.000000,59852356000.000000,,87914546000.000000,2213918000.000000,5182396000.000000,,,95310860000.000000,,,91697807000.000000,,,91697807000.000000,,-46577040000.000000,-73735824000.000000,-6843447000.000000,-35458504000.000000,59852356000.000000,231684467000.000000,7554058000.000000,,,7554058000.000000,239238525000.000000,-51836083000.000000,-23106316000.000000,-28729767000.000000,-51836083000.000000,187402442000.000000,,187402442000.000000,23185027000.000000,23185027000.000000,23185027000.000000,210587469000.000000,187402442000.000000,187399206000.000000,3236000.000000,187402442000.000000,210587469000.000000,210584233000.000000,3236000.000000,210587469000.000000
12M 2012,1117271941000.000000,,1040647104000.000000,76624837000.000000,1117271941000.000000,,1117271941000.000000,-778518277000.000000,,-719535088000.000000,-38863652000.000000,-758398740000.000000,-20119537000.000000,-778518277000.000000,338753664000.000000,-102766572000.000000,,39444587000.000000,5601444000.000000,2368629000.000000,,37635939000.000000,85050599000.000000,,,-8439736000.000000,,,-8439736000.000000,,-57710031000.000000,-112406003000.000000,-9261401000.000000,-187817171000.000000,-102766572000.000000,235987092000.000000,16607125000.000000,,,16607125000.000000,252594217000.000000,-47023170000.000000,,,-47023170000.000000,205571047000.000000,,205571047000.000000,45840193000.000000,45840193000.000000,45840193000.000000,251411240000.000000,205571047000.000000,205569447000.000000,1600000.000000,205571047000.000000,251411240000.000000,251409640000.000000,1600000.000000,251411240000.000000
12M 2013,1600960281000.000000,,1492721839000.000000,108238442000.000000,1600960281000.000000,,1600960281000.000000,-1123819389000.000000,,-1040858778000.000000,-56616275000.000000,-1097475053000.000000,-26344336000.000000,-1123819389000.000000,477140892000.000000,-162931231000.000000,,58785191000.000000,4934830000.000000,1811353000.000000,,40968345000.000000,106499719000.000000,,,,-13857623000.000000,-423839000.000000,-14281462000.000000,,-76396590000.000000,-154569827000.000000,-24183071000.000000,-269430950000.000000,-162931231000.000000,314209661000.000000,15961594000.000000,,,15961594000.000000,330171255000.000000,-67534825000.000000,,,-67534825000.000000,262636430000.000000,,262636430000.000000,-89645414000.000000,-89645414000.000000,-89645414000.000000,172991016000.000000,262636430000.000000,262635788000.000000,642000.000000,262636430000.000000,172991016000.000000,172990374000.000000,642000.000000,172991016000.000000
12M 2014,2031298947000.000000,2031298947000.000000,,,2031298947000.000000,,2031298947000.000000,-1693679144000.000000,-1693679144000.000000,,,-1693679144000.000000,,-1693679144000.000000,337619803000.000000,-234134966000.000000,,30329151000.000000,5661696000.000000,,,95963518000.000000,131954365000.000000,,,,-44711646000.000000,1247021000.000000,-43464625000.000000,,-130077429000.000000,-182101184000.000000,-10446093000.000000,-366089331000.000000,-234134966000.000000,103484837000.000000,18047864000.000000,,,18047864000.000000,121532701000.000000,-15833357000.000000,,,-15833357000.000000,105699344000.000000,,105699344000.000000,11683091000.000000,11683091000.000000,11683091000.000000,117382435000.000000,105699344000.000000,105703217000.000000,-3873000.000000,105699344000.000000,117382435000.000000,117384729000.000000,-2294000.000000,117382435000.000000
12M 2015,2013810194000.000000,2013810194000.000000,,,2013810194000.000000,,2013810194000.000000,-1657330684000.000000,-1657330684000.000000,,,-1657330684000.000000,,-1657330684000.000000,356479510000.000000,-263651898000.000000,,92237932000.000000,8913906000.000000,3772954000.000000,,98389532000.000000,203314324000.000000,,,,-116984929000.000000,-36487056000.000000,-153471985000.000000,,-131657669000.000000,-166032115000.000000,-15804453000.000000,-466966222000.000000,-263651898000.000000,92827612000.000000,1169794000.000000,,,1169794000.000000,93997406000.000000,75810000.000000,,,75810000.000000,94073216000.000000,,94073216000.000000,259796521000.000000,259796521000.000000,259796521000.000000,353869737000.000000,94073216000.000000,94075618000.000000,-2402000.000000,94073216000.000000,353869737000.000000,353880535000.000000,-10798000.000000,353869737000.000000
12M 2016,2160858817000.000000,2160858817000.000000,,,2160858817000.000000,,2160858817000.000000,-1857234470000.000000,-1857234470000.000000,,,-1857234470000.000000,,-1857234470000.000000,303624347000.000000,-218362486000.000000,,177703907000.000000,15166347000.000000,-2304407000.000000,,122891895000.000000,313457742000.000000,,,,-164068355000.000000,-15379031000.000000,-179447386000.000000,,-147670722000.000000,-176580857000.000000,-28121263000.000000,-531820228000.000000,-218362486000.000000,85261861000.000000,7598925000.000000,,,7598925000.000000,92860786000.000000,7499688000.000000,,,7499688000.000000,100360474000.000000,,100360474000.000000,69292768000.000000,69292768000.000000,69292768000.000000,169653242000.000000,100360474000.000000,100362321000.000000,-1847000.000000,100360474000.000000,169653242000.000000,169652146000.000000,1096000.000000,169653242000.000000
12M 2017,2292718153000.000000,2292718153000.000000,,,2292718153000.000000,,2292718153000.000000,-1835041049000.000000,-1835041049000.000000,,,-1835041049000.000000,,-1835041049000.000000,457677104000.000000,-319596803000.000000,,256695631000.000000,21647137000.000000,-342662000.000000,,138596006000.000000,416596112000.000000,,,,-303942154000.000000,-60381047000.000000,-364323201000.000000,,-156181151000.000000,-193873441000.000000,-21815122000.000000,-736192915000.000000,-319596803000.000000,138080301000.000000,38057168000.000000,,,38057168000.000000,176137469000.000000,-40046708000.000000,,,-40046708000.000000,136090761000.000000,,136090761000.000000,83984291000.000000,83984291000.000000,83984291000.000000,220075052000.000000,136090761000.000000,136090302000.000000,459000.000000,136090761000.000000,220075560000.000000,220075054000.000000,506000.000000,220075560000.000000
