Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Penempatan Pada Bank Indonesia Dan Bank Lain,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Goodwill,Goodwill,Others,Total Goodwill,Aset Tetap,Others,Total Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tak Berwujud,Aset Pajak Tangguhan,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Liabilitas Akseptasi,Simpanan Dari Bank Lain,Efek-Efek Yang Diterbitkan,Utang Pajak,Others,Total Utang Pajak,Liabilitas Pajak Tangguhan,Dana Syirkah Temporer,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Ketiga,Total Simpanan Dari Bank Lain,Total Dana Syirkah Temporer,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,23430643000.000000,223772207000.000000,,384205325000.000000,,384205325000.000000,,51204009000.000000,2143700801000.000000,-71928640000.000000,2122976170000.000000,,4091640000.000000,-1091104000.000000,3000536000.000000,,162088749000.000000,162088749000.000000,,,,7697285000.000000,,2697936653000.000000,5625107568000.000000,,,17974651000.000000,4093417305000.000000,73772772000.000000,4019644533000.000000,4093417305000.000000,,550984798000.000000,396484256000.000000,9273557000.000000,,9273557000.000000,,,,,,,,,,,29013104000.000000,5097147671000.000000,,350249568000.000000,8230055000.000000,192282019000.000000,8000000000.000000,184282019000.000000,192282019000.000000,,10247000.000000,-22811992000.000000,527959897000.000000,5625107568000.000000,3502495680.000000
12M 2009,,23240861000.000000,253020143000.000000,,923850404000.000000,-7050000000.000000,916800404000.000000,,48194880000.000000,2801432520000.000000,-136113319000.000000,2713514081000.000000,,4091640000.000000,-1909432000.000000,2182208000.000000,,162745424000.000000,162745424000.000000,,,,9930374000.000000,,3277584728000.000000,7359018223000.000000,,,23396838000.000000,5658975574000.000000,41338614000.000000,5617636960000.000000,5658975574000.000000,,596749402000.000000,397484839000.000000,15185076000.000000,,15185076000.000000,,,,,,,,,,,37865084000.000000,6729656813000.000000,,384674018000.000000,8230055000.000000,203496366000.000000,10000000000.000000,193496366000.000000,203496366000.000000,,11056000.000000,32949915000.000000,629361410000.000000,7359018223000.000000,3846740180.000000
12M 2010,,28920911000.000000,674473218000.000000,,2350364031000.000000,,2350364031000.000000,,50974870000.000000,3488027269000.000000,-335671618000.000000,3203330521000.000000,,4091640000.000000,-2727760000.000000,1363880000.000000,,146427733000.000000,146427733000.000000,,,,32935006000.000000,,3867037473000.000000,10304852773000.000000,,,31986578000.000000,8896067077000.000000,75069754000.000000,8820997323000.000000,8896067077000.000000,,140690340000.000000,398516767000.000000,39244322000.000000,,39244322000.000000,,,,,,,,,,,55657658000.000000,9562162742000.000000,,409644732000.000000,8227305000.000000,315458029000.000000,12000000000.000000,303458029000.000000,315458029000.000000,,27420000.000000,9332545000.000000,742690031000.000000,10304852773000.000000,4096447315.000000
12M 2011,,32141355000.000000,711465951000.000000,,1987518238000.000000,-1200000000.000000,1986318238000.000000,,40597584000.000000,5761744338000.000000,-243705986000.000000,5558635936000.000000,,,,,,158518535000.000000,158518535000.000000,,1576334000.000000,1576334000.000000,407243000.000000,,3353499350000.000000,11802562942000.000000,,,39263652000.000000,9249008152000.000000,46558651000.000000,9202449501000.000000,9249008152000.000000,,818450553000.000000,399815871000.000000,39176027000.000000,,39176027000.000000,3930347000.000000,,,,,,,,,,40804695000.000000,10590449297000.000000,,654767088000.000000,21945031000.000000,502857235000.000000,14000000000.000000,488857235000.000000,502857235000.000000,,26719000.000000,32517572000.000000,1212113645000.000000,11802562942000.000000,6547670888.000000
12M 2012,,36624392000.000000,975766499000.000000,,1438691908000.000000,-200000000.000000,1438491908000.000000,,36564444000.000000,7787303742000.000000,-242910502000.000000,7580957684000.000000,,,,,,197375339000.000000,197375339000.000000,,2249975000.000000,2249975000.000000,1083714000.000000,,4120290943000.000000,14352840454000.000000,,,48579457000.000000,11515732426000.000000,28713565000.000000,11487018861000.000000,11515732426000.000000,,720449993000.000000,493736882000.000000,44271514000.000000,,44271514000.000000,17485174000.000000,,,,,,,,,,43392730000.000000,12883648176000.000000,,660434444000.000000,21945031000.000000,708426682000.000000,16000000000.000000,692426682000.000000,708426682000.000000,,28356000.000000,78357765000.000000,1469192278000.000000,14352840454000.000000,6604344442.000000
12M 2013,,53249337000.000000,1120640663000.000000,,2903854920000.000000,,2903854920000.000000,,16607356000.000000,11292012340000.000000,-232600525000.000000,11076019171000.000000,,,,,,195948821000.000000,195948821000.000000,,2318773000.000000,2318773000.000000,13464827000.000000,,3805855423000.000000,19171351935000.000000,,,82648295000.000000,15132256370000.000000,32417176000.000000,15099839194000.000000,15132256370000.000000,1225517224000.000000,397117000.000000,990843021000.000000,39349881000.000000,,39349881000.000000,,,,,,,,,,,55563991000.000000,17526575899000.000000,,663026827000.000000,21945031000.000000,971062470000.000000,41000000000.000000,930062470000.000000,971062470000.000000,,29357000.000000,-11287649000.000000,1644776036000.000000,19171351935000.000000,6630268273.000000
12M 2014,,58856561000.000000,1524951197000.000000,,2310711702000.000000,,2310711702000.000000,,26719420000.000000,12403670596000.000000,-184713348000.000000,12245676668000.000000,,,,,,227702215000.000000,227702215000.000000,,5645525000.000000,5645525000.000000,26620398000.000000,,4964718018000.000000,21364882284000.000000,,,4225200000.000000,16177977811000.000000,72134047000.000000,16105843764000.000000,16177977811000.000000,,1067844234000.000000,991652625000.000000,32735537000.000000,32735537000.000000,32735537000.000000,,1170430314000.000000,,3596287000.000000,1113234027000.000000,1116830314000.000000,,53600000000.000000,53600000000.000000,1170430314000.000000,160187688000.000000,19605053409000.000000,,713916698000.000000,21945031000.000000,1023544641000.000000,66000000000.000000,957544641000.000000,1023544641000.000000,,27063000.000000,395442000.000000,1759828875000.000000,21364882284000.000000,7139166980.000000
12M 2015,,68338994000.000000,1425748011000.000000,,1837189165000.000000,,1837189165000.000000,,9614869000.000000,13084433164000.000000,-269304356000.000000,12824743677000.000000,,,,,,567677865000.000000,567677865000.000000,4379608000.000000,,4379608000.000000,15467762000.000000,,6507140569000.000000,23250685651000.000000,,,2311585000.000000,17173065806000.000000,77510376000.000000,17095555430000.000000,17173065806000.000000,,1646350365000.000000,993188799000.000000,36016761000.000000,36016761000.000000,36016761000.000000,35875241000.000000,1105405580000.000000,,1715276000.000000,1081540304000.000000,1083255580000.000000,,22150000000.000000,22150000000.000000,1105405580000.000000,144781268000.000000,21136995405000.000000,,713916728000.000000,21945031000.000000,1123775986000.000000,91000000000.000000,1032775986000.000000,1123775986000.000000,,16265000.000000,254036236000.000000,2113690246000.000000,23250685651000.000000,7139167280.000000
12M 2016,,73136238000.000000,1467640451000.000000,,1449178267000.000000,,1449178267000.000000,,58014358000.000000,14479925709000.000000,-277093053000.000000,14260847014000.000000,,,,,,544490501000.000000,544490501000.000000,5076230000.000000,,5076230000.000000,99374395000.000000,,8100238187000.000000,25999981283000.000000,,,3372928000.000000,19524271129000.000000,61019727000.000000,19463251402000.000000,19524271129000.000000,4682005000.000000,1332527013000.000000,995161071000.000000,30699853000.000000,30699853000.000000,30699853000.000000,,1198799002000.000000,,28774586000.000000,1138774416000.000000,1167549002000.000000,,31250000000.000000,31250000000.000000,1198799002000.000000,284197585000.000000,23373710586000.000000,,789065382000.000000,21945031000.000000,1222303145000.000000,116000000000.000000,1106303145000.000000,1222303145000.000000,,17361000.000000,592939778000.000000,2626270697000.000000,25999981283000.000000,7890653827.000000
12M 2017,,72142423000.000000,1768560694000.000000,,2114572525000.000000,,2114572525000.000000,,87998867000.000000,15743265460000.000000,-254576594000.000000,15576687733000.000000,,,,,,528001117000.000000,528001117000.000000,6036697000.000000,,6036697000.000000,90404164000.000000,,8669203295000.000000,28825608648000.000000,,,4494773000.000000,20774972177000.000000,167375949000.000000,20607596228000.000000,20774972177000.000000,77660147000.000000,2236882484000.000000,1140423161000.000000,41968503000.000000,41968503000.000000,41968503000.000000,,1495287572000.000000,,2707932000.000000,1470979640000.000000,1473687572000.000000,,21600000000.000000,21600000000.000000,1495287572000.000000,207574035000.000000,25979262852000.000000,,867104816000.000000,211681207000.000000,1342391349000.000000,150156165000.000000,1192235184000.000000,1342391349000.000000,,17867000.000000,425150557000.000000,2846345796000.000000,28825608648000.000000,8671048162.000000
