Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Pihak Berelasi,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Jangka Panjang,Piutang Lain-Lain,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Utang Pihak Berelasi,Beban Akrual,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,24483940804.000000,66445240987.000000,65303290315.000000,1141950672.000000,66445240987.000000,20881977123.000000,294660761.000000,,,294660761.000000,26504393967.000000,63049192660.000000,201659406302.000000,,691358720.000000,134369839.000000,112797197742.000000,27387755287.000000,1970506424.000000,1623121878.000000,144604309890.000000,346263716192.000000,,,170983066866.000000,,,45919812527.000000,45919812527.000000,,,20661550.000000,20661550.000000,2203856795.000000,7834818520.000000,2174489125.000000,,107769852441.000000,106879146.000000,3285416844.000000,111162148431.000000,1667279918.000000,170983066866.000000,76784700414.000000,,66747253623.000000,126502882.000000,96089909.000000,66969846414.000000,9814854000.000000,76784700414.000000,247767767280.000000,,78785152500.000000,12869570896.000000,-57528614552.000000,,,-57528614552.000000,30018973671.000000,34350866397.000000,98495948912.000000,346263716192.000000,787851525.000000
12M 2014,,,13703561991.000000,46913640288.000000,46737535497.000000,176104791.000000,46913640288.000000,29164903303.000000,8137208.000000,,,8137208.000000,52258350826.000000,131238446393.000000,273287040009.000000,,360074568.000000,134369840.000000,133943989463.000000,40705677782.000000,2142550269.000000,8135143333.000000,185421805255.000000,458708845264.000000,,,223991867701.000000,,,79940152971.000000,79940152971.000000,,,20130484.000000,20130484.000000,4624392327.000000,12423089380.000000,6631309078.000000,,118728173606.000000,51078691.000000,,118779252297.000000,1573541164.000000,223991867701.000000,136188889535.000000,,125692607402.000000,75424133.000000,,125768031535.000000,10420858000.000000,136188889535.000000,360180757236.000000,,78785152500.000000,12869570896.000000,-65174742032.000000,,,-65174742032.000000,46501024305.000000,25547082359.000000,98528088028.000000,458708845264.000000,787851525.000000
12M 2015,,,18530121074.000000,82158044014.000000,82158044014.000000,,82158044014.000000,22568853963.000000,385838443.000000,,385838443.000000,385838443.000000,111988683777.000000,125886974130.000000,361518515401.000000,,361179399.000000,120369839.000000,151908034034.000000,34238815416.000000,968161110.000000,3361907125.000000,190958466923.000000,552476982324.000000,,,263117912698.000000,,,99388205475.000000,99388205475.000000,,,26011723.000000,26011723.000000,5810056251.000000,16390420085.000000,3319981487.000000,,135758741226.000000,18838796.000000,,135777580022.000000,2405657655.000000,263117912698.000000,165123897717.000000,,160590859725.000000,,,160590859725.000000,4533037992.000000,165123897717.000000,428241810415.000000,,78785152500.000000,12869570896.000000,-56026770358.000000,,,-56026770358.000000,57392622610.000000,31214596261.000000,124235171909.000000,552476982324.000000,787851525.000000
12M 2016,,,6153245986.000000,38931305885.000000,38931305885.000000,,38931305885.000000,22536484956.000000,697466432.000000,,697466432.000000,697466432.000000,104404464872.000000,168859461130.000000,341582429261.000000,,273059828.000000,105869840.000000,105149900368.000000,22680399637.000000,1850154136.000000,7131651894.000000,137191035703.000000,478773464964.000000,,,193209180364.000000,,,51331466978.000000,51331466978.000000,,,6617239.000000,6617239.000000,13237260188.000000,17418716985.000000,1871216434.000000,,108150623212.000000,,,108150623212.000000,1193279328.000000,193209180364.000000,161363041872.000000,,156094758836.000000,,,156094758836.000000,5268283036.000000,161363041872.000000,354572222236.000000,,78785152500.000000,12869570897.000000,-55037647647.000000,,,-55037647647.000000,58133363850.000000,29450803128.000000,124201242728.000000,478773464964.000000,787851525.000000
12M 2017,,,3987390720.000000,34518947619.000000,34518947619.000000,,34518947619.000000,18645217481.000000,1300462511.000000,,1300462511.000000,1300462511.000000,101545226313.000000,198036870050.000000,358034114694.000000,,285712872.000000,95369840.000000,65768923808.000000,12868706415.000000,3138480237.000000,6148138333.000000,88305331505.000000,446339446199.000000,,,200662732923.000000,,,53893831553.000000,53893831553.000000,,,26199654.000000,26199654.000000,7901573699.000000,18774716985.000000,2562555535.000000,,116308799638.000000,,,116308799638.000000,1195055859.000000,200662732923.000000,117801273599.000000,,111045353599.000000,,,111045353599.000000,6755920000.000000,117801273599.000000,318464006522.000000,,78785152500.000000,12869570896.000000,-53812623477.000000,,,-53812623477.000000,60776528029.000000,29256811729.000000,127875439677.000000,446339446199.000000,787851525.000000
12M 2018,,,1646912684.000000,17374184279.000000,17374184279.000000,,17374184279.000000,10047070796.000000,1970917237.000000,,1970917237.000000,1970917237.000000,119107287903.000000,249656354578.000000,399802727477.000000,,299450182.000000,91869840.000000,33625911810.000000,5075601232.000000,2910022092.000000,12179267485.000000,54182122641.000000,453984850118.000000,,,222453058213.000000,,,64998284604.000000,64998284604.000000,,,29478054.000000,29478054.000000,21224660887.000000,21872716985.000000,1821909552.000000,,111394853386.000000,,,111394853386.000000,1111154745.000000,222453058213.000000,104925359441.000000,,97195842016.000000,,,97195842016.000000,7729517425.000000,104925359441.000000,327378417654.000000,,78785152500.000000,12869570896.000000,-56474028785.000000,,,-56474028785.000000,61947490438.000000,29478247415.000000,126606432464.000000,453984850118.000000,787851525.000000
12M 2019,,,2048162340.000000,13786237299.000000,13786237299.000000,,13786237299.000000,4375629396.000000,1553018337.000000,,1553018337.000000,1553018337.000000,82819489206.000000,231516404962.000000,336098941540.000000,,316716351.000000,,24701534008.000000,974999999.000000,3105109842.000000,14369060134.000000,43467420334.000000,379566361874.000000,,,178384935302.000000,,,28428515510.000000,28428515510.000000,,,38038207.000000,38038207.000000,28895136259.000000,24388616985.000000,1617390824.000000,,93889315439.000000,,,93889315439.000000,1127922078.000000,178384935302.000000,73138734438.000000,,65173585074.000000,,,65173585074.000000,7965149364.000000,73138734438.000000,251523669740.000000,,78785152500.000000,12869570896.000000,-56837742516.000000,,,-56837742516.000000,63345715764.000000,29879995490.000000,128042692134.000000,379566361874.000000,787851525.000000
12M 2020,,,2825716869.000000,5236015541.000000,5236015541.000000,,5236015541.000000,7956904557.000000,1490594067.000000,,1490594067.000000,1490594067.000000,73796392862.000000,215730689866.000000,307036313762.000000,,333384295.000000,,17044144363.000000,549999999.000000,4199568489.000000,17811307821.000000,39938404967.000000,346974718729.000000,,,148591079336.000000,,,24209614025.000000,24209614025.000000,,,28942207.000000,28942207.000000,32467717385.000000,26093616985.000000,2155824376.000000,,62515616449.000000,,,62515616449.000000,1119747909.000000,148591079336.000000,74166740780.000000,,65088607928.000000,,,65088607928.000000,9078132852.000000,74166740780.000000,222757820116.000000,,78785152500.000000,12869570896.000000,-60299895186.000000,,,-60299895186.000000,63027406420.000000,29834663983.000000,124216898613.000000,346974718729.000000,787851525.000000
12M 2021,,,1147063774.000000,1128284865.000000,1128284865.000000,,1128284865.000000,3192662354.000000,560481168.000000,,560481168.000000,560481168.000000,2157123125.000000,17922498265.000000,26108113551.000000,,,,16018702123.000000,,4385538116.000000,2398652370.000000,22802892609.000000,48911006160.000000,,,203068192756.000000,,,26641890032.000000,26641890032.000000,,,29118207.000000,29118207.000000,33910606156.000000,65899855885.000000,2370606510.000000,,73223905649.000000,,,73223905649.000000,992210317.000000,203068192756.000000,10860679754.000000,,,,,,10860679754.000000,10860679754.000000,213928872510.000000,,78785152500.000000,12869570896.000000,-234772718046.000000,,,-234772718046.000000,-51046511145.000000,29146639445.000000,-165017866350.000000,48911006160.000000,787851525.000000
