Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,57 B,(23 B),33 B,42.27
12M 2014,27 B,(84 B),(57 B),-72.38
12M 2015,29 B,(61 B),(32 B),-40.81
12M 2016,39 B,(14 B),25 B,31.12
12M 2017,36 B,(5 B),32 B,40.05
12M 2018,15 B,(1 B),15 B,18.43
12M 2019,50 B,(3 B),47 B,60.10
12M 2020,28 B,(0 B),28 B,35.67
12M 2021,8 B,(2 B),6 B,7.62
