Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2015,,,,,,,,,,,,,,,0.0
12M 2016,,,,,,,,,316.69,219.7,1.07,0.72,,,0.0
12M 2017,,,,,,,,,557.8,578.84,1.15,0.93,,,0.0
12M 2018,,,,,,,,,768.48,756.55,0.8,0.62,,,0.0
12M 2019,,,,,,,,,41.53,21.31,0.5,0.35,,,0.0
12M 2020,,,,,,,,,19.37,18.62,0.34,0.35,,,0.0
12M 2021,,,,,,,,,22.64,23.21,0.43,0.41,,,0.0
12M 2022,,,,,,,,,15.47,15.6,0.3,0.31,,,0.0
12M 2023,,,,,,,,,11.3,11.4,0.23,0.24,,,0.0
12M 2024,,,,,,,,,9.4,9.27,0.22,0.22,,,0.0
