Period,Aset,Kas Dan Setara Kas,Investasi Jangka Pendek,Pihak Ketiga,Pihak Berelasi,Total Investasi Jangka Pendek,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Pinjaman Yang Diberikan,Investasi Pada Entitas Asosiasi,Properti Investasi,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Reasuransi,Utang Dari Pihak Ketiga,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Utang Bank,Beban Akrual,Liabilitas Akseptasi,Liabilitas Segera,Simpanan Nasabah,Simpanan Dari Bank Lain,Liabilitas Kontrak Asuransi,Utang Klaim,Surat Berharga Jangka Menengah,Liabilitas Pajak Tangguhan,Obligasi Subordinasi,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,22391116626.000000,,421432518603.000000,10000000000.000000,431432518603.000000,,399996661.000000,399996661.000000,,327171587959.000000,,3679600144.000000,2696794387.000000,15114720911.000000,32737044615.000000,835623379906.000000,,,120148723.000000,,521724560.000000,521724560.000000,521724560.000000,1288777358.000000,,20000000.000000,,,,,213968325694.000000,,,,,1660064154.000000,217579040489.000000,,605000000000.000000,722789952.000000,7805664616.000000,,7805664616.000000,7805664616.000000,30929497.000000,4484955352.000000,618044339417.000000,835623379906.000000,6050000000.000000
12M 2016,,204565913464.000000,,2736539567658.000000,124782876086.000000,2861322443744.000000,,278003530296.000000,278003530296.000000,,349755681132.000000,,11833174495.000000,1948138294.000000,15114720911.000000,13754004199.000000,3736297606535.000000,,,1132558046.000000,302368600.000000,202996907801.000000,202996907801.000000,202996907801.000000,3303253441.000000,,20336646872.000000,,,,,2136330380128.000000,13842009724.000000,,,,2567797853.000000,2380811922465.000000,,1155000000000.000000,155632441208.000000,41588942355.000000,,41588942355.000000,41588942355.000000,32065704.000000,3232234803.000000,1355485684070.000000,3736297606535.000000,11550000000.000000
12M 2017,,397238150602.000000,,3597060633560.000000,24999060790.000000,3622059694350.000000,,320283028178.000000,320283028178.000000,,358594797781.000000,,10289014542.000000,2963368808.000000,15114720911.000000,2276332559349.000000,7002875334521.000000,,,747849856.000000,,64964047258.000000,64964047258.000000,64964047258.000000,1767123610.000000,,17997617761.000000,,,,,2447804587652.000000,6924536301.000000,,,,2969681190365.000000,5509886952803.000000,,1156801350000.000000,156783762452.000000,123646040903.000000,500000000.000000,123146040903.000000,123646040903.000000,657405436.000000,55099822927.000000,1492988381718.000000,7002875334521.000000,11568013500.000000
12M 2018,,120673700149.000000,,8603603795703.000000,,8603603795703.000000,,1741201675522.000000,1741201675522.000000,,373959223781.000000,,11114780156.000000,3076353293.000000,15114720911.000000,2679629364042.000000,13548373613557.000000,,,2001025841.000000,,64421421779.000000,64421421779.000000,64421421779.000000,3123530682.000000,,12517006725.000000,,,,,3404166578866.000000,19037462244.000000,,2052684310.000000,,3986330652699.000000,7493650363146.000000,,5447622618800.000000,202248208206.000000,248051615040.000000,500000000.000000,247551615040.000000,248051615040.000000,1722055680.000000,155078752685.000000,6054723250411.000000,13548373613557.000000,54476226188.000000
12M 2019,,4139276000000.000000,,13598931000000.000000,,13598931000000.000000,,1704500000000.000000,1704500000000.000000,9588614000000.000000,,,583961000000.000000,10234000000.000000,15115000000.000000,6340609000000.000000,35981240000000.000000,,,3035000000.000000,,1134622000000.000000,1134622000000.000000,1134622000000.000000,17781000000.000000,,18275000000.000000,21272000000.000000,13788000000.000000,16073265000000.000000,3595000000.000000,2497866000000.000000,19734000000.000000,,,686669000000.000000,8095516000000.000000,28585418000000.000000,,5447623000000.000000,202248000000.000000,309227000000.000000,500000000.000000,308727000000.000000,309227000000.000000,1034937000000.000000,401787000000.000000,7395822000000.000000,35981240000000.000000,54476232142.000000
12M 2020,,3901823000000.000000,11996540000000.000000,,,11996540000000.000000,,1627829000000.000000,1627829000000.000000,6382269000000.000000,,,630244000000.000000,14077000000.000000,15115000000.000000,9270642000000.000000,33838539000000.000000,,,3806000000.000000,,445908000000.000000,445908000000.000000,445908000000.000000,19035000000.000000,,28607000000.000000,,86491000000.000000,16303766000000.000000,795188000000.000000,3746332000000.000000,13226000000.000000,,5136000000.000000,690071000000.000000,3895238000000.000000,26032804000000.000000,,5447625000000.000000,202249000000.000000,372101000000.000000,500000000.000000,371601000000.000000,372101000000.000000,1215590000000.000000,568170000000.000000,7805735000000.000000,33838539000000.000000,54476253593.000000
12M 2021,,7904295000000.000000,14778163000000.000000,,,14778163000000.000000,,1819553000000.000000,1819553000000.000000,2305357000000.000000,,,744623000000.000000,12376000000.000000,15115000000.000000,10550079000000.000000,38129561000000.000000,,,9122000000.000000,,754360000000.000000,754360000000.000000,754360000000.000000,23014000000.000000,,113081000000.000000,7635000000.000000,133265000000.000000,18665516000000.000000,525062000000.000000,3033212000000.000000,1878000000.000000,997756000000.000000,12003000000.000000,696075000000.000000,4869523000000.000000,29841502000000.000000,,5447627000000.000000,202250000000.000000,391506000000.000000,500000000.000000,391006000000.000000,391506000000.000000,1386721000000.000000,859955000000.000000,8288059000000.000000,38129561000000.000000,54476253593.000000
12M 2022,,4486274000000.000000,14751745000000.000000,,,14751745000000.000000,,389617000000.000000,389617000000.000000,2873856000000.000000,,,691314000000.000000,13603000000.000000,15115000000.000000,11716094000000.000000,34937618000000.000000,,,13124000000.000000,,542973000000.000000,542973000000.000000,542973000000.000000,17725000000.000000,,27555000000.000000,,103805000000.000000,14039578000000.000000,1560116000000.000000,1523495000000.000000,2451000000.000000,998525000000.000000,,498350000000.000000,6722188000000.000000,26049885000000.000000,,5447627000000.000000,202250000000.000000,419516000000.000000,3000000000.000000,416516000000.000000,419516000000.000000,1666571000000.000000,1151769000000.000000,8887733000000.000000,34937618000000.000000,54476269803.000000
12M 2023,,2862512000000.000000,14101379000000.000000,,,14101379000000.000000,,834668000000.000000,834668000000.000000,7022087000000.000000,,,653487000000.000000,27815000000.000000,15115000000.000000,5290385000000.000000,30807448000000.000000,,,16539000000.000000,,404877000000.000000,404877000000.000000,404877000000.000000,23973000000.000000,,19187000000.000000,,232648000000.000000,12504163000000.000000,868716000000.000000,2618459000000.000000,1064000000.000000,1248744000000.000000,,,4247113000000.000000,22185483000000.000000,,5447627000000.000000,202250000000.000000,502107000000.000000,3500000000.000000,498607000000.000000,502107000000.000000,1693916000000.000000,776065000000.000000,8621965000000.000000,30807448000000.000000,54476269803.000000
12M 2024,,3346921000000.000000,13035177000000.000000,,,13035177000000.000000,,258654000000.000000,258654000000.000000,7794763000000.000000,,805000000000.000000,787548000000.000000,25355000000.000000,15115000000.000000,5145626000000.000000,31214159000000.000000,,,11056000000.000000,,479289000000.000000,479289000000.000000,479289000000.000000,33209000000.000000,1000000000000.000000,8159000000.000000,,359777000000.000000,12545006000000.000000,725275000000.000000,2763251000000.000000,376000000.000000,,,,4149244000000.000000,22074642000000.000000,,5447627000000.000000,202250000000.000000,612779000000.000000,4000000000.000000,608779000000.000000,612779000000.000000,1757844000000.000000,1119017000000.000000,9139517000000.000000,31214159000000.000000,54476269803.000000
