Period,Total Pendapatan,Pendapatan Premi,Pendapatan Bunga,Hasil Investasi,Provisi Dan Komisi Kredit,Keuntungan Atas Perdagangan Efek,Jasa Kegiatan Manager Investasi,Others,Total Pendapatan,Total Beban Usaha,Beban Bunga,Beban Umum Dan Administrasi,Beban Komisi,Beban Pemasaran,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,226329099921.000000,209110835071.000000,,8242894029.000000,,4028202885.000000,1026677.000000,4946141259.000000,226329099921.000000,-228168320138.000000,,-13959282339.000000,-17787402.000000,-220317416.000000,-213970932981.000000,-228168320138.000000,-1839220217.000000,1429378149.000000,1883511478.000000,,,-472377315.000000,,18243986.000000,1429378149.000000,-409842068.000000,3432928965.000000,3660955465.000000,-228026500.000000,3432928965.000000,3023086897.000000,4484955352.000000,4484955352.000000,4484955352.000000,7508042249.000000,3023086897.000000,3022848492.000000,238405.000000,3023086897.000000,7508042249.000000,7507255869.000000,786380.000000,7508042249.000000
12M 2016,2456369490044.000000,2236130696992.000000,,163260325888.000000,,20200499856.000000,1663450648.000000,35114516660.000000,2456369490044.000000,-2408763238123.000000,,-38265326839.000000,-3861552329.000000,-5817815057.000000,-2360818543898.000000,-2408763238123.000000,47606251921.000000,-9947143678.000000,3005520354.000000,,,-7798997880.000000,,-5153666152.000000,-9947143678.000000,37659108243.000000,-3875830504.000000,258357046.000000,-4134187550.000000,-3875830504.000000,33783277739.000000,-1239714259.000000,-1239714259.000000,-1239714259.000000,32543563480.000000,33783277739.000000,33780545722.000000,2732017.000000,33783277739.000000,32543563480.000000,32542427273.000000,1136207.000000,32543563480.000000
12M 2017,6169888127732.000000,5717701470132.000000,,418612921705.000000,,,12823165530.000000,20750570365.000000,6169888127732.000000,-6090209180166.000000,,-54679642771.000000,-23067375241.000000,-18415327432.000000,-5994046834722.000000,-6090209180166.000000,79678947566.000000,2900406443.000000,3831072767.000000,,,-1474283923.000000,,543617599.000000,2900406443.000000,82579354009.000000,-304808772.000000,-1633883201.000000,1329074429.000000,-304808772.000000,82274545237.000000,51865827911.000000,51865827911.000000,51865827911.000000,134140373148.000000,82274545237.000000,82277675130.000000,-3129893.000000,82274545237.000000,134140373148.000000,134142531237.000000,-2158089.000000,134140373148.000000
12M 2018,8224145951643.000000,7854313713465.000000,,347452701194.000000,,,19528788961.000000,2850748023.000000,8224145951643.000000,-8089956946302.000000,,-66486175094.000000,-68570589405.000000,-59218154929.000000,-7895682026874.000000,-8089956946302.000000,134189005341.000000,-6301816907.000000,170607420.000000,,,-42241668.000000,,-6430182659.000000,-6301816907.000000,127887188434.000000,-3483191288.000000,-3210091170.000000,-273100118.000000,-3483191288.000000,124403997146.000000,99978929758.000000,99978929758.000000,99978929758.000000,224382926904.000000,124403997146.000000,124405574137.000000,-1576991.000000,124403997146.000000,224382926904.000000,223318276660.000000,1064650244.000000,224382926904.000000
12M 2019,12357904000000.000000,10617314000000.000000,796986000000.000000,847938000000.000000,,37345000000.000000,28598000000.000000,29723000000.000000,12357904000000.000000,-12184960000000.000000,-583726000000.000000,-315504000000.000000,-116571000000.000000,-133462000000.000000,-11035697000000.000000,-12184960000000.000000,172944000000.000000,-149158000000.000000,3618000000.000000,9037000000.000000,,-151000000.000000,-136206000000.000000,-25456000000.000000,-149158000000.000000,23786000000.000000,-9015000000.000000,-9744000000.000000,729000000.000000,-9015000000.000000,14771000000.000000,170384000000.000000,170384000000.000000,170384000000.000000,185155000000.000000,14771000000.000000,61175000000.000000,-46404000000.000000,14771000000.000000,185155000000.000000,209496000000.000000,-24341000000.000000,185155000000.000000
12M 2020,11756823000000.000000,9451901000000.000000,1150436000000.000000,772650000000.000000,,-15339000000.000000,22170000000.000000,375005000000.000000,11756823000000.000000,-11706985000000.000000,-1103081000000.000000,-541331000000.000000,-45854000000.000000,-365390000000.000000,-9651329000000.000000,-11706985000000.000000,49838000000.000000,77266000000.000000,1732000000.000000,-8775000000.000000,,-73000000.000000,104102000000.000000,-19720000000.000000,77266000000.000000,127104000000.000000,-21703000000.000000,-24184000000.000000,2481000000.000000,-21703000000.000000,105401000000.000000,195780000000.000000,195780000000.000000,195780000000.000000,301181000000.000000,105401000000.000000,62874000000.000000,42527000000.000000,105401000000.000000,301181000000.000000,229257000000.000000,71924000000.000000,301181000000.000000
12M 2021,15562573000000.000000,12500614000000.000000,846721000000.000000,1201976000000.000000,9469000000.000000,68554000000.000000,20360000000.000000,914879000000.000000,15562573000000.000000,-15501926000000.000000,-1362416000000.000000,-784835000000.000000,-83041000000.000000,-226100000000.000000,-13045534000000.000000,-15501926000000.000000,60647000000.000000,-4000000.000000,1932000000.000000,-14987000000.000000,,-9702000000.000000,50213000000.000000,-27460000000.000000,-4000000.000000,60643000000.000000,-17661000000.000000,-14553000000.000000,-3108000000.000000,-17661000000.000000,42982000000.000000,295676000000.000000,295676000000.000000,295676000000.000000,338658000000.000000,42982000000.000000,19405000000.000000,23577000000.000000,42982000000.000000,338658000000.000000,311190000000.000000,27468000000.000000,338658000000.000000
12M 2022,11103680000000.000000,8906728000000.000000,625261000000.000000,506110000000.000000,14386000000.000000,162564000000.000000,17241000000.000000,871390000000.000000,11103680000000.000000,-10952938000000.000000,-1020133000000.000000,-746335000000.000000,-113938000000.000000,-272135000000.000000,-8800397000000.000000,-10952938000000.000000,150742000000.000000,-101154000000.000000,7261000000.000000,,,-81155000000.000000,-10883000000.000000,-16377000000.000000,-101154000000.000000,49588000000.000000,-14700000000.000000,-13978000000.000000,-722000000.000000,-14700000000.000000,34888000000.000000,325281000000.000000,325281000000.000000,325281000000.000000,360169000000.000000,34888000000.000000,28010000000.000000,6878000000.000000,34888000000.000000,360169000000.000000,352970000000.000000,7199000000.000000,360169000000.000000
12M 2023,7596468000000.000000,7596468000000.000000,,,,,,,7596468000000.000000,-7397013000000.000000,-1186008000000.000000,-746451000000.000000,-76427000000.000000,-47778000000.000000,-5340349000000.000000,-7397013000000.000000,199455000000.000000,-70653000000.000000,,,,,,-70653000000.000000,-70653000000.000000,128802000000.000000,-31977000000.000000,-31977000000.000000,,-31977000000.000000,96825000000.000000,331980000000.000000,331980000000.000000,331980000000.000000,428805000000.000000,96825000000.000000,82591000000.000000,14234000000.000000,96825000000.000000,428805000000.000000,414485000000.000000,14320000000.000000,428805000000.000000
12M 2024,6769371000000.000000,6769371000000.000000,,,,,,,6769371000000.000000,-6505707000000.000000,-1032545000000.000000,-1059825000000.000000,-81474000000.000000,-36380000000.000000,-4295483000000.000000,-6505707000000.000000,263664000000.000000,-89156000000.000000,,,,,,-89156000000.000000,-89156000000.000000,174508000000.000000,-40618000000.000000,-40618000000.000000,,-40618000000.000000,133890000000.000000,369803000000.000000,369803000000.000000,369803000000.000000,503693000000.000000,133890000000.000000,110672000000.000000,23218000000.000000,133890000000.000000,503693000000.000000,441766000000.000000,61927000000.000000,503693000000.000000
