Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2015,0.00,102.15,0.00,99.65,,,,,
12M 2016,2.32,117.36,2.34,116.05,,,,,
12M 2017,1.68,129.00,1.70,127.70,,,,,
12M 2018,2.79,111.11,2.80,110.84,,,,,
12M 2019,3.58,116.76,3.59,116.49,,,,,
12M 2020,3.11,120.97,3.12,120.70,,,,,
12M 2021,4.18,126.69,4.19,126.41,,,,,
12M 2022,5.43,132.56,5.44,132.28,,,,,
12M 2023,4.87,127.18,4.89,126.90,,,,,
12M 2024,4.17,135.50,4.18,135.23,,,,,
