Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Pihak Ketiga Lainnya,Pembayaran Kepada Karyawan,Pembayaran Beban Operasional Lainnya,Penerimaan Lainnya,Penerimaan Dari Pendapatan Keuangan,Pembayaran Untuk Biaya Keuangan,Pembayaran Beban Pinjaman,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Piutang Lain-Lain,Perolehan Aset Tetap,Perolehan Aset Lainnya,Pembayaran Piutang Dari Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Setoran Modal,Penerbitan Saham Publik,Pembayaran Pinjaman,Penerimaan Pinjaman,Penerimaan Pinjaman Institusi Keuangan,Pembayaran Pinjaman Institusi Keuangan,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Sewa Pembiayaan,Penerimaan Sewa Pembiayaan,Modal Disetor,Agio Saham,Biaya Emisi Saham,Penambahan Beban Yang Ditangguhkan,Penempatan Aset Keuangan Lancar Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,-227214119.000000,27782162696.000000,-24864045361.000000,995057100.000000,-2138392207.000000,2043454749.000000,,,-3063690400.000000,-981760696.000000,-227214119.000000,6755144946.000000,10666689396.000000,-3911544450.000000,,,6755144946.000000,-7370137784.000000,,,-24984436604.000000,17400000000.000000,,,,,,,214298820.000000,,,,,,-7370137784.000000,-842206957.000000,,1820231190.000000,978024233.000000
12M 2022,-13483472974.000000,33713911001.000000,-37234807400.000000,-4113873652.000000,-3425249392.000000,-131137543.000000,,,-2109189272.000000,-183126716.000000,-13483472974.000000,-2234754415.000000,-2079122240.000000,-155632175.000000,,,-2234754415.000000,16579181338.000000,,,-6904171860.000000,16918531049.000000,,,,,,-999271232.000000,1365872489.000000,7300000000.000000,,,-1101779108.000000,,16579181338.000000,860953949.000000,,978024233.000000,1838978182.000000
12M 2023,3125410661.000000,48531404696.000000,-42301680887.000000,,,1161261458.000000,12049334.000000,-3195500462.000000,,-1082123478.000000,3125410661.000000,4484707684.000000,4593292684.000000,-108585000.000000,,,4484707684.000000,-6191008756.000000,,,-21154603083.000000,17022190443.000000,,,,,,-580900077.000000,,,,,-1477696039.000000,,-6191008756.000000,1419109589.000000,,1838978182.000000,3258087771.000000
12M 2024,-82318042433.000000,29180264196.000000,-111484635258.000000,,,3883894081.000000,15361435.000000,-3264576495.000000,,-648350392.000000,-82318042433.000000,1309290626.000000,1847511276.000000,-538220650.000000,,,1309290626.000000,78031392202.000000,15250000000.000000,58140381748.000000,-8934189836.000000,11843219895.000000,2971038000.000000,-505311914.000000,,,,-386150227.000000,,,,,,-347595464.000000,78031392202.000000,-2977359605.000000,,3258087771.000000,280728166.000000
