Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Sewa Pembiayaan,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,978024233.000000,15977161006.000000,,,15977161006.000000,11651961560.000000,,,11651961560.000000,8434183991.000000,19293440754.000000,56334771544.000000,,22282055463.000000,1242263758.000000,,23524319221.000000,79859090765.000000,,,19840206675.000000,16563213426.000000,1112319408.000000,,,1112319408.000000,214298820.000000,1117921.000000,1949257100.000000,,,,,19840206675.000000,1189420473.000000,,,1189420473.000000,1189420473.000000,21029627148.000000,,1500000000.000000,,53708345469.000000,,53708345469.000000,53708345469.000000,3621118148.000000,58829463617.000000,79859090765.000000,1500.000000
12M 2022,,,1838978182.000000,6719647583.000000,,,6719647583.000000,13731083800.000000,,,13731083800.000000,198105500.000000,42418008798.000000,64905823863.000000,,37539019500.000000,,435037086.000000,37974056586.000000,102879880449.000000,,,29394902199.000000,26577572615.000000,,,,,580900077.000000,2236429507.000000,,,,,,29394902199.000000,3092937887.000000,,1589434465.000000,1503503422.000000,3092937887.000000,32487840086.000000,,61000000000.000000,,-7417814588.000000,,-7417814588.000000,-7417814588.000000,16484305562.000000,70066490974.000000,102554331060.000000,61000.000000
12M 2023,,,3258087771.000000,17570217881.000000,,,17570217881.000000,8832024736.000000,52100000.000000,8779924736.000000,8832024736.000000,221672500.000000,37506408468.000000,67388411356.000000,,33621975312.000000,,435337086.000000,34057312398.000000,101445723754.000000,,,26710840584.000000,22445159975.000000,,,,,,3384915965.000000,880764644.000000,,,,,26710840584.000000,3450091517.000000,,1766975102.000000,1683116415.000000,3450091517.000000,30160932101.000000,,61000000000.000000,,-6245101203.000000,,-6245101203.000000,-6245101203.000000,16529892857.000000,71284791654.000000,101445723755.000000,3050000000.000000
12M 2024,,,280728166.000000,59999276945.000000,,,59999276945.000000,7406000717.000000,96850000.000000,7309150717.000000,7406000717.000000,245281475.000000,92832361223.000000,160763648526.000000,,30429069071.000000,1293541767.000000,,31722610838.000000,192486259364.000000,,,38506585500.000000,25354190034.000000,2897405631.000000,,,2897405631.000000,,8497202256.000000,789064643.000000,,574580164.000000,394142772.000000,968722936.000000,38506585500.000000,4377740675.000000,,,4377740675.000000,4377740675.000000,42884326175.000000,,76250000000.000000,58140381748.000000,-5390211167.000000,,-5390211167.000000,-5390211167.000000,20601762608.000000,149601933189.000000,192486259364.000000,3812500000.000000
