Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,32725356532.000000,-20993381214.000000,11731975318.000000,-7078923642.000000,,-7078923642.000000,-7078923642.000000,4653051676.000000,-1020235651.000000,-3063690400.000000,2043454749.000000,-1020235651.000000,3632816025.000000,-692244848.000000,,289515848.000000,-981760696.000000,-692244848.000000,2940571177.000000,3491306067.000000,3491306067.000000,3491306067.000000,6431877244.000000,2940571177.000000,2940571177.000000,,2940571177.000000,6431877244.000000,6431877244.000000,,6431877244.000000
12M 2022,13985007501.000000,-13361408746.000000,623598755.000000,-9670274886.000000,-23114270.000000,-9647160616.000000,-9670274886.000000,-9046676131.000000,-2240326815.000000,-2109189272.000000,-131137543.000000,-2240326815.000000,-11287002946.000000,660842889.000000,,796380278.000000,-135537389.000000,660842889.000000,-10626160057.000000,12863187414.000000,12863187414.000000,12863187414.000000,2237027357.000000,-10626160057.000000,-10626160057.000000,,-10626160057.000000,2237027357.000000,2237027357.000000,,2237027357.000000
12M 2023,59597519053.000000,-45064840323.000000,14532678730.000000,-8979396720.000000,-16072700.000000,-8963324020.000000,-8979396720.000000,5553282010.000000,-3170376128.000000,-2983646418.000000,-186729710.000000,-3170376128.000000,2382905882.000000,-1210192496.000000,,-128069018.000000,-1082123478.000000,-1210192496.000000,1172713386.000000,45587295.000000,45587295.000000,45587295.000000,1218300681.000000,1172713385.000000,1172713385.000000,,1172713385.000000,1218300680.000000,1218300680.000000,,1218300680.000000
12M 2024,72159996781.000000,-51523185692.000000,20636811089.000000,-14120914684.000000,-278722700.000000,-13842191984.000000,-14120914684.000000,6515896405.000000,-3311764737.000000,-3163308961.000000,-148455776.000000,-3311764737.000000,3204131668.000000,-2349241632.000000,,-608949030.000000,-1740292602.000000,-2349241632.000000,854890036.000000,4071869751.000000,4071869751.000000,4071869751.000000,4926759787.000000,854890036.000000,854890036.000000,,854890036.000000,4926759787.000000,4926759787.000000,,4926759787.000000
