Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Keuntungan Atas Penjualan Entitas Anak,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Hak Minoritas,Pos Luar Biasa,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Penyesuaian Proforma,Pos Luar Biasa,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,9759636000000.000000,9759636000000.000000,9759636000000.000000,-6517404000000.000000,3242232000000.000000,-3195041000000.000000,,-957680000000.000000,-1760131000000.000000,-2717811000000.000000,-477230000000.000000,-3195041000000.000000,47191000000.000000,-310858000000.000000,,,,-252709000000.000000,-58149000000.000000,,-310858000000.000000,-263667000000.000000,68772000000.000000,-38218000000.000000,106990000000.000000,,68772000000.000000,-194895000000.000000,3704000000.000000,-5318000000.000000,,,-196509000000.000000,,,-196509000000.000000,-194895000000.000000,-5318000000.000000,3704000000.000000,,-196509000000.000000,,,,
12M 2009,10885698000000.000000,10885698000000.000000,10885698000000.000000,-7214164000000.000000,3671534000000.000000,-2997685000000.000000,,-1117816000000.000000,-2008608000000.000000,-3126424000000.000000,128739000000.000000,-2997685000000.000000,673849000000.000000,-330639000000.000000,,,,-341399000000.000000,10760000000.000000,,-330639000000.000000,343210000000.000000,-82573000000.000000,-29752000000.000000,-52821000000.000000,,-82573000000.000000,260637000000.000000,1149000000.000000,-151095000000.000000,,,110691000000.000000,,,110691000000.000000,260637000000.000000,-151095000000.000000,1149000000.000000,,110691000000.000000,,,,
12M 2010,9537671000000.000000,9537671000000.000000,9537671000000.000000,-7366240000000.000000,2171431000000.000000,-2281282000000.000000,,-800051000000.000000,-1355485000000.000000,-2155536000000.000000,-125746000000.000000,-2281282000000.000000,-109851000000.000000,-13157000000.000000,,,,-18838000000.000000,5681000000.000000,,-13157000000.000000,-123008000000.000000,16904000000.000000,-37317000000.000000,54221000000.000000,,16904000000.000000,-106104000000.000000,114530000000.000000,-2911015000000.000000,5733215000000.000000,,2830626000000.000000,,,2830626000000.000000,-106104000000.000000,-2911015000000.000000,114530000000.000000,5733215000000.000000,2830626000000.000000,,,,
12M 2011,10332842000000.000000,,10332842000000.000000,-8534649000000.000000,1798193000000.000000,-1819895000000.000000,,-520563000000.000000,-1376800000000.000000,-1897363000000.000000,77468000000.000000,-1819895000000.000000,-21702000000.000000,110934000000.000000,122735000000.000000,,,,-11801000000.000000,,110934000000.000000,89232000000.000000,6806000000.000000,-18713000000.000000,25519000000.000000,,6806000000.000000,96038000000.000000,,,,,96038000000.000000,57098000000.000000,153136000000.000000,96038000000.000000,20318000000.000000,75720000000.000000,,,96038000000.000000,153136000000.000000,77415000000.000000,75721000000.000000,153136000000.000000
12M 2012,12642770000000.000000,,12642770000000.000000,-10393875000000.000000,2248895000000.000000,-2025794000000.000000,-2372894000000.000000,,,-2372894000000.000000,347100000000.000000,-2025794000000.000000,223101000000.000000,-68020000000.000000,269030000000.000000,,,-302776000000.000000,-34274000000.000000,,-68020000000.000000,155081000000.000000,11502000000.000000,,,,11502000000.000000,166583000000.000000,,,,,166583000000.000000,89356000000.000000,255939000000.000000,166583000000.000000,28636000000.000000,137947000000.000000,,,166583000000.000000,255939000000.000000,117992000000.000000,137947000000.000000,255939000000.000000
12M 2013,14671670000000.000000,,14671670000000.000000,-12020863000000.000000,2650807000000.000000,-884612000000.000000,-2565606000000.000000,,,-2565606000000.000000,1680994000000.000000,-884612000000.000000,1766195000000.000000,-981000000.000000,131764000000.000000,,,-319849000000.000000,187104000000.000000,,-981000000.000000,1765214000000.000000,-119304000000.000000,,,,-119304000000.000000,1645910000000.000000,,,,,1645910000000.000000,-22762000000.000000,1623148000000.000000,1645910000000.000000,1415091000000.000000,230819000000.000000,,,1645910000000.000000,1623148000000.000000,1392329000000.000000,230819000000.000000,1623148000000.000000
12M 2014,17074247000000.000000,,17074247000000.000000,-14043360000000.000000,3030887000000.000000,-3423144000000.000000,-3299259000000.000000,,,-3299259000000.000000,-123885000000.000000,-3423144000000.000000,-392257000000.000000,2640317000000.000000,110440000000.000000,,,-376847000000.000000,2906724000000.000000,,2640317000000.000000,2248060000000.000000,-139491000000.000000,,,,-139491000000.000000,2108569000000.000000,,,,,2108569000000.000000,40798000000.000000,2149367000000.000000,2108569000000.000000,1894880000000.000000,213689000000.000000,,,2108569000000.000000,2149367000000.000000,1935678000000.000000,213689000000.000000,2149367000000.000000
12M 2015,17866942000000.000000,,17866942000000.000000,-14590058000000.000000,3276884000000.000000,-4125273000000.000000,-3919019000000.000000,,,-3919019000000.000000,-206254000000.000000,-4125273000000.000000,-848389000000.000000,-310605000000.000000,98022000000.000000,,,-566402000000.000000,157775000000.000000,,-310605000000.000000,-1158994000000.000000,-87537000000.000000,-34863000000.000000,,-52674000000.000000,-87537000000.000000,-1246531000000.000000,,,,,-1246531000000.000000,84272000000.000000,-1162259000000.000000,-1246531000000.000000,-1205177000000.000000,-41354000000.000000,,,-1246531000000.000000,-1162259000000.000000,-1119209000000.000000,-43050000000.000000,-1162259000000.000000
12M 2016,17814235000000.000000,,17814235000000.000000,-14625667000000.000000,3188568000000.000000,-2233964000000.000000,-3762656000000.000000,,,-3762656000000.000000,1528692000000.000000,-2233964000000.000000,954604000000.000000,-412113000000.000000,71194000000.000000,,,-594744000000.000000,111437000000.000000,,-412113000000.000000,542491000000.000000,-218210000000.000000,-162789000000.000000,,-55421000000.000000,-218210000000.000000,324281000000.000000,,,,-11902000000.000000,312379000000.000000,89229000000.000000,401608000000.000000,312379000000.000000,243625000000.000000,68754000000.000000,,,312379000000.000000,401608000000.000000,325499000000.000000,76109000000.000000,401608000000.000000
12M 2017,17077396000000.000000,,17077396000000.000000,-14868612000000.000000,2208784000000.000000,-3683470000000.000000,-3787086000000.000000,,,-3787086000000.000000,103616000000.000000,-3683470000000.000000,-1474686000000.000000,-549062000000.000000,169216000000.000000,,,-672571000000.000000,-45707000000.000000,,-549062000000.000000,-2023748000000.000000,101267000000.000000,166568000000.000000,,-65301000000.000000,101267000000.000000,-1922481000000.000000,,,,98949000000.000000,-1823532000000.000000,13159000000.000000,-1810373000000.000000,-1823532000000.000000,-1246872000000.000000,-576660000000.000000,,,-1823532000000.000000,-1810373000000.000000,-1224856000000.000000,-585517000000.000000,-1810373000000.000000
