Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pengeluaran Untuk Pembelian Persediaan,Pembayaran Untuk Beban Usaha,Pembayaran Kepada Karyawan,Pengurang Piutang Lain-Lain,Pembayaran Pajak Penghasilan Badan,Penerimaan Pajak Penghasilan,Penerimaan Kas Dari Pendapatan Sewa,Pembayaran Untuk Beban Sewa,Penambahan Aset Lancar Lainnya,Pembayaran Untuk Beban Penjualan,Pengembalian Dari Sewa Jangka Panjang,Pendapatan Lainnya,Beban Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pendapatan Dividen,Hasil Penjualan Investasi Entitas Asosiasi,Hasil Penjualan Investasi Entitas Anak,Hasil Penjualan Investasi Jangka Pendek,Penambahan Investasi Jangka Pendek,Hasil Penjualan Investasi Jangka Panjang Lainnya,Penambahan Investasi Entitas Asosiasi,Penambahan Liabilitas Tidak Lancar Lainnya,Pembelian Saham Entitas Anak Dan Entitas Asosiasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penerimaan Uang Muka Penjualan Aset Tetap,Penerimaan Uang Jaminan Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pengurangan (Penambahan) Aset Keuangan Lainnya,Pengurangan (Penambahan) Aset Keuangan Tidak Lancar Lainnya,Pengurangan (Penambahan) Aset Tidak Lancar Lainnya,Pengurangan Aset Keuangan Lainnya,Penambahan Aset Lancar Lainnya - Bersih,Penerimaan Dividen Kas Dari Perusahaan Asosiasi,Hasil Dari Penerbitan Exchangeable Right,Hasil Penjualan Properti Investasi,Hasil Penjualan Aset Dari Transaksi Restrukturisasi Entitas Sepengendali,Penambahan Properti Investasi,Penambahan Aset Tidak Berwujud,Pembelian Saham Untuk Exchangeable Right,Penambahan Investasi Jangka Panjang Lainnya,Hasil Pengembalian Uang Muka Dan Jaminan Sewa,Pengurangan (Penambahan) Uang Muka Dan Jaminan Sewa,Pembayaran Untuk Perolehan Aset Non Keuangan Lainnya,Pembelian Investasi Dari Kepentingan Non Pengendali,Pengurangan Hutang Lain-Lain Atas Pengembalian Dana Escrow,Penambahan Investasi Entitas Anak,Hasil Penjualan Sebagian Investasi Saham Pada Entitas Anak,Hasil Penjualan Sebagian Investasi Saham Pada Entitas Asosiasi,Perolehan Entitas Anak Setelah Dikurangi Kas,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Waran,Penerimaan Dari Exchangeable Instrument,Penerimaan Dari Penawaran Umum Terbatas Vii,Penerimaan Dari Pinjaman Dan Surat Promes,Pembayaran Dari Pinjaman Dan Surat Promes,Penambahan Hutang Bank,Penerimaan Dari Pinjaman,Pendapatan Bunga Yang Diterima,Pembayaran Pinjaman,Pembayaran Dividen Tunai Kepada Pihak Kepentingan Non-Pengendali,Pembayaran Beban Bunga,Penambahan Modal Entitas Anak Dari Pihak Non-Pengendali,Penambahan (Pengurangan) Utang Pihak Berelasi Non-Usaha,Pembelian Kembali Notes,Penerimaan Dari Penerbitan Notes,Pembayaran Beban Emisi Saham,Pengeluaran Untuk Beban Emisi Notes,Pembayaran Utang Obligasi Dan Sukuk,Penerimaan Dari Penerbitan Obligasi,Pembelian Kembali Obligasi,Pengeluaran Untuk Beban Emisi Obligasi,Penerimaan Dari Hedging Kontrak Opsi,Penambahan (Pengurangan) Modal Oleh Kepentingan Non-Pengendali,Penerimaan Bersih Dari Penawaran Umum Terbatas Kepada Para Pemegang Saham,Pembayaran Hutang Bank,Pembayaran Hutang Lainnya,Penerimaan Utang Sewa Pembiayaan,Pembayaran Utang Sewa Pembiayaan,Pembayaran Liabilitas Sewa,Penambahan Modal Perusahaan,Penambahan Modal Dari Pihak Non Pengendali,Pengurangan Aset Keuangan Lainnya,Penambahan Aset Keuangan Lainnya,Pembayaran Dividen Tunai Oleh Perusahaan,Penambahan Investasi Pada Entitas Anak Yang Tidak Mengakibatkan Perubahan Pengendalian,Penurunan Liabilitas Jangka Panjang Lainnya,Penambahan Liabilitas Jangka Panjang Lainnya,Perolehan Saham Treasuri,Perolehan Entitas Anak Dan Entitas Asosiasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Awal Atas Entitas Anak Yang Baru Diperoleh,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Entitas Anak Yang Di Lepas,Entitas Anak Yang Tidak Lagi Dikonsolidasi,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,767203000000.000000,12735809000000.000000,,-9254962000000.000000,-775619000000.000000,-840788000000.000000,,-32084000000.000000,,,,,,,,-1065153000000.000000,767203000000.000000,-2062952000000.000000,,,,96827000000.000000,-906377000000.000000,,-13500000000.000000,,,19054000000.000000,-230653000000.000000,,,-339684000000.000000,,,-19383000000.000000,,-4980000000.000000,5000000000.000000,,,,,,,,,-669256000000.000000,,,,,,,,-2062952000000.000000,379128000000.000000,,,,,,,1802768000000.000000,233763000000.000000,-945343000000.000000,-25899000000.000000,-392850000000.000000,,-1784000000.000000,-286948000000.000000,,,,,,-7000000000.000000,,7095000000.000000,,,,2085000000.000000,,,,,,,,-6759000000.000000,,,,,,379128000000.000000,-916621000000.000000,2813725000000.000000,,,,,,1897104000000.000000
12M 2009,1246881000000.000000,14553186000000.000000,,-11253956000000.000000,-1252239000000.000000,-893437000000.000000,,-19615000000.000000,,,,,,,,112942000000.000000,1246881000000.000000,-1429792000000.000000,,52001000000.000000,,1880179000000.000000,-1875293000000.000000,100000000.000000,-444000000.000000,,,7334000000.000000,-264671000000.000000,,,-277995000000.000000,,,25621000000.000000,,10175000000.000000,,,,210834000000.000000,,,,,,-891600000000.000000,,,-306033000000.000000,,,,,-1429792000000.000000,714749000000.000000,8237000000.000000,,,,,,2393844000000.000000,351173000000.000000,-2010841000000.000000,-2500000000.000000,-609232000000.000000,,2089000000.000000,-553820000000.000000,1091975000000.000000,-19510000000.000000,-13672000000.000000,-7882000000.000000,528000000000.000000,-443000000000.000000,,,,709000000.000000,,-821000000.000000,,,,,,,,,,,,,,714749000000.000000,531838000000.000000,1897104000000.000000,,,,,,2428942000000.000000
12M 2010,592351000000.000000,11410635000000.000000,,-8520049000000.000000,-1047159000000.000000,-588796000000.000000,,-1380000000.000000,,,,,,,,-660900000000.000000,592351000000.000000,3913563000000.000000,,5048158000000.000000,,846652000000.000000,-1240112000000.000000,,-289251000000.000000,,,21585000000.000000,-307965000000.000000,,,-137575000000.000000,,,16888000000.000000,,-28902000000.000000,,,,,,,,,,-15915000000.000000,,,,,,,,3913563000000.000000,-3552551000000.000000,374210000000.000000,,,,,,1741086000000.000000,304756000000.000000,-3423941000000.000000,-1010219000000.000000,-385487000000.000000,,-1237000000.000000,-1886225000000.000000,,-2787000000.000000,,,,,,,,753907000000.000000,,,,,,,,,,-16614000000.000000,,,,,,-3552551000000.000000,953363000000.000000,2428942000000.000000,,,,-338517000000.000000,,3043788000000.000000
12M 2011,323322000000.000000,10788156000000.000000,,-8521129000000.000000,-1127914000000.000000,-643608000000.000000,,,,,,,,,568062000000.000000,-740245000000.000000,323322000000.000000,-866464000000.000000,,,,1693030000000.000000,-1284923000000.000000,196465000000.000000,-235731000000.000000,,,68217000000.000000,-541524000000.000000,,,,,,-213377000000.000000,,-1646000000.000000,,,,,,,,,,-546975000000.000000,,,,,,,,-866464000000.000000,-472879000000.000000,,,,,,,3237983000000.000000,277207000000.000000,-2358446000000.000000,-1295139000000.000000,-253069000000.000000,,-2869000000.000000,,,,,,,,,,,,,-1271000000.000000,,,,,,,,-77275000000.000000,,,,,,-472879000000.000000,-1016021000000.000000,3043788000000.000000,,11896000000.000000,,,,2039663000000.000000
12M 2012,619786000000.000000,12538288000000.000000,,-10376676000000.000000,-724508000000.000000,-846544000000.000000,,-79499000000.000000,,408250000000.000000,-679259000000.000000,,,,1121132000000.000000,-741398000000.000000,619786000000.000000,1372126000000.000000,8900000000.000000,,,1038262000000.000000,-95638000000.000000,2000000000.000000,-46671000000.000000,,,97352000000.000000,-669749000000.000000,,,,,-13410000000.000000,-11739000000.000000,,994518000000.000000,,,45000000000.000000,,-470000000.000000,,,,304637000000.000000,-280866000000.000000,,,,,,,,1372126000000.000000,-1195987000000.000000,,,,,,,1717904000000.000000,236147000000.000000,-1283056000000.000000,-20471000000.000000,-297988000000.000000,,3680000000.000000,,,,,-340000000000.000000,,,,,-1204475000000.000000,,,,,,,,,,,-7728000000.000000,,,,,,-1195987000000.000000,795925000000.000000,2039663000000.000000,,39671000000.000000,,,,2875259000000.000000
12M 2013,972267000000.000000,14296418000000.000000,-11615574000000.000000,,-700349000000.000000,-1089147000000.000000,,-120827000000.000000,,389640000000.000000,-732854000000.000000,,,,940949000000.000000,-395989000000.000000,972267000000.000000,415449000000.000000,207031000000.000000,1399997000000.000000,,,,,-307735000000.000000,,,4351000000.000000,-691713000000.000000,,,,214039000000.000000,-105427000000.000000,-253108000000.000000,,,,2840900000000.000000,22550000000.000000,-6412000000.000000,,,-2840900000000.000000,,790203000000.000000,-858327000000.000000,,,,,,,,415449000000.000000,-160702000000.000000,584302000000.000000,,,,,,1752919000000.000000,141187000000.000000,-4122165000000.000000,-506728000000.000000,-216387000000.000000,,-4071000000.000000,,,,,,2009387000000.000000,,,,210919000000.000000,,,,,,,,,,,-10065000000.000000,,,,,,-160702000000.000000,1227014000000.000000,2875259000000.000000,,199188000000.000000,,,,4301461000000.000000
12M 2014,-338038000000.000000,16532394000000.000000,-13651835000000.000000,,-1002460000000.000000,-1481786000000.000000,,-125087000000.000000,,445140000000.000000,-1076214000000.000000,,,,1182580000000.000000,-1160770000000.000000,-338038000000.000000,-966377000000.000000,321783000000.000000,1500000000.000000,,,,,,,,31796000000.000000,-485020000000.000000,,,-598198000000.000000,90910000000.000000,-23627000000.000000,-13384000000.000000,,,,,6975000000.000000,-40000000.000000,,,,,299195000000.000000,-582972000000.000000,,-15295000000.000000,,,,,,-966377000000.000000,-297011000000.000000,,,,,,,384268000000.000000,100188000000.000000,-165713000000.000000,-498855000000.000000,-337304000000.000000,,33961000000.000000,,,,,-188000000000.000000,347281000000.000000,,,,240536000000.000000,,,,,,,,,,,-213373000000.000000,,,,,,-297011000000.000000,-1601426000000.000000,4301461000000.000000,,9260000000.000000,,-1809000000.000000,,2707486000000.000000
12M 2015,-228750000000.000000,17712381000000.000000,-14257621000000.000000,,-970881000000.000000,-1754532000000.000000,,-217472000000.000000,,544216000000.000000,-1163089000000.000000,,,,646027000000.000000,-767779000000.000000,-228750000000.000000,-834598000000.000000,214395000000.000000,,,,,,,,,9188000000.000000,-499111000000.000000,,,-394537000000.000000,35283000000.000000,,-56891000000.000000,,,,,9581000000.000000,,,,,-31750000000.000000,,-63684000000.000000,,,,,,,-57072000000.000000,-834598000000.000000,149691000000.000000,,,,,,,1275835000000.000000,99503000000.000000,-416871000000.000000,-117694000000.000000,-564144000000.000000,,-341000000.000000,,,,,,,,,,,,,,,-31988000000.000000,,,,,,-94609000000.000000,,,,,,149691000000.000000,-913657000000.000000,2707486000000.000000,,58230000000.000000,,,,1852059000000.000000
12M 2016,787728000000.000000,17311087000000.000000,-13068648000000.000000,,-1005883000000.000000,-1690382000000.000000,,-172797000000.000000,,610494000000.000000,-1204040000000.000000,,,,723972000000.000000,-716075000000.000000,787728000000.000000,912366000000.000000,222473000000.000000,,,,,,,,,227288000000.000000,-594419000000.000000,,,-403870000000.000000,-16997000000.000000,,54911000000.000000,,,,,12019000000.000000,,-67075000000.000000,,,-307193000000.000000,,-53607000000.000000,,,,,190332000000.000000,1648504000000.000000,,912366000000.000000,-101159000000.000000,,,,,,,490299000000.000000,103195000000.000000,-157764000000.000000,-76774000000.000000,-541220000000.000000,,-3610000000.000000,,,,,,,,,,,,,,,-27243000000.000000,,,111958000000.000000,,,,,,,,,-101159000000.000000,1598935000000.000000,1852059000000.000000,,-2950000000.000000,,-24390000000.000000,,3423654000000.000000
12M 2017,-512670000000.000000,16613837000000.000000,-14153414000000.000000,,-702322000000.000000,-1636807000000.000000,,-221869000000.000000,,511767000000.000000,-1245824000000.000000,,,,1360474000000.000000,-1038512000000.000000,-512670000000.000000,-1032571000000.000000,372436000000.000000,,,,,,,,,210873000000.000000,-314891000000.000000,,,,-827000000000.000000,,-251534000000.000000,,,,,,,,,,-540915000000.000000,,32944000000.000000,,,,,300842000000.000000,,-15326000000.000000,-1032571000000.000000,1326709000000.000000,,,,,,,4173771000000.000000,168952000000.000000,-493932000000.000000,-17886000000.000000,-739470000000.000000,,19782000000.000000,,,,,-3063970000000.000000,,,,,,,,,,-33196000000.000000,,,21550000000.000000,150651000000.000000,-242339000000.000000,-24155000000.000000,,,1406951000000.000000,,,1326709000000.000000,-218532000000.000000,3423654000000.000000,,1342000000.000000,,-291000000.000000,,3206173000000.000000
