Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Pihak Ketiga,Pihak Berelasi,Total Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Properti Investasi,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Surat Promes,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Liabilitas Keuangan Lainnya,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi,Utang Sukuk,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Kewajiban Kontrak Swap,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Obligasi,Utang Sukuk,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Wesel Bayar,Kewajiban Kontrak Swap,Liabilitas Pajak Tangguhan,Pinjaman Jangka Panjang Lainnya,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1897104000000.000000,1913692000000.000000,757194000000.000000,1156498000000.000000,1913692000000.000000,218575000000.000000,200277000000.000000,18298000000.000000,218575000000.000000,650319000000.000000,,,650319000000.000000,1030304000000.000000,545426000000.000000,6255420000000.000000,,10318000000.000000,,203434000000.000000,,2009858000000.000000,214050000000.000000,116960000000.000000,2651818000000.000000,5206438000000.000000,11461858000000.000000,,,5219822000000.000000,466879000000.000000,3285000000.000000,,1252375000000.000000,28000000.000000,1252403000000.000000,459468000000.000000,,,459468000000.000000,526239000000.000000,,68439000000.000000,,118004000000.000000,441640000000.000000,1292079000000.000000,,1851723000000.000000,495230000000.000000,96156000000.000000,5219822000000.000000,3062210000000.000000,3643000000.000000,,2368247000000.000000,,,,2368247000000.000000,,18002000000.000000,9457000000.000000,313434000000.000000,349427000000.000000,3062210000000.000000,8282032000000.000000,,1550058000000.000000,14397000000.000000,-59739000000.000000,300000000.000000,-60039000000.000000,-59739000000.000000,1631091000000.000000,44019000000.000000,3179826000000.000000,11461858000000.000000,6785159000.000000
12M 2009,,,2428942000000.000000,1648049000000.000000,315290000000.000000,1332759000000.000000,1648049000000.000000,104546000000.000000,81914000000.000000,22632000000.000000,104546000000.000000,142509000000.000000,,,142509000000.000000,1233082000000.000000,367599000000.000000,5924727000000.000000,,9447000000.000000,,156806000000.000000,,2282299000000.000000,207285000000.000000,61641000000.000000,3226172000000.000000,5943650000000.000000,11868377000000.000000,,,3625814000000.000000,249128000000.000000,,,1330841000000.000000,498000000.000000,1331339000000.000000,187163000000.000000,,,187163000000.000000,634378000000.000000,,55071000000.000000,,1093518000000.000000,,,,1093518000000.000000,8544000000.000000,66673000000.000000,3625814000000.000000,4799972000000.000000,5731000000.000000,,1744074000000.000000,521807000000.000000,,,2265881000000.000000,1788211000000.000000,,1372000000.000000,430781000000.000000,307996000000.000000,4799972000000.000000,8425786000000.000000,,1550058000000.000000,14397000000.000000,50952000000.000000,300000000.000000,50652000000.000000,50952000000.000000,1856128000000.000000,-28944000000.000000,3442591000000.000000,11868377000000.000000,6785159560.000000
12M 2010,,,3043788000000.000000,2038600000000.000000,257000000000.000000,1781600000000.000000,2038600000000.000000,225004000000.000000,219322000000.000000,5682000000.000000,225004000000.000000,198754000000.000000,,,198754000000.000000,1057447000000.000000,429674000000.000000,6993267000000.000000,,1113357000000.000000,,316542000000.000000,,2012332000000.000000,117499000000.000000,310429000000.000000,3153260000000.000000,7023419000000.000000,14016686000000.000000,,,3705603000000.000000,403648000000.000000,,,1182944000000.000000,156000000.000000,1183100000000.000000,672749000000.000000,,,672749000000.000000,694149000000.000000,,112485000000.000000,,472629000000.000000,,,,472629000000.000000,,166843000000.000000,3705603000000.000000,1810532000000.000000,246897000000.000000,,411601000000.000000,523666000000.000000,,,935267000000.000000,,,5685000000.000000,359432000000.000000,263251000000.000000,1810532000000.000000,5516135000000.000000,,2153183000000.000000,162391000000.000000,2864964000000.000000,600000000.000000,2864364000000.000000,2864964000000.000000,3659220000000.000000,-339207000000.000000,8500551000000.000000,14016686000000.000000,7727542830.000000
12M 2011,,,2039663000000.000000,1627793000000.000000,347191000000.000000,1280602000000.000000,1627793000000.000000,193499000000.000000,147988000000.000000,45511000000.000000,193499000000.000000,262702000000.000000,258671000000.000000,4031000000.000000,262702000000.000000,1413534000000.000000,462473000000.000000,5999664000000.000000,,53212000000.000000,1171346000000.000000,642806000000.000000,,2262732000000.000000,175966000000.000000,339505000000.000000,3669476000000.000000,8315043000000.000000,14314707000000.000000,,,4042864000000.000000,225254000000.000000,,,1569213000000.000000,709000000.000000,1569922000000.000000,357336000000.000000,,,357336000000.000000,812531000000.000000,,65757000000.000000,,523562000000.000000,339431000000.000000,,,862993000000.000000,,149071000000.000000,4042864000000.000000,2123104000000.000000,3811000000.000000,,1421634000000.000000,186505000000.000000,,,1608139000000.000000,,,9239000000.000000,491668000000.000000,10247000000.000000,2123104000000.000000,6165968000000.000000,,2153183000000.000000,162391000000.000000,2808007000000.000000,900000000.000000,2807107000000.000000,2808007000000.000000,2946955000000.000000,78203000000.000000,8148739000000.000000,14314707000000.000000,7727542830.000000
12M 2012,,,2875259000000.000000,,,,,231454000000.000000,155800000000.000000,75654000000.000000,231454000000.000000,,,,,2064262000000.000000,1790431000000.000000,6961406000000.000000,,49026000000.000000,78000000.000000,606472000000.000000,107913000000.000000,2593069000000.000000,177331000000.000000,262104000000.000000,3330784000000.000000,7126777000000.000000,14088183000000.000000,,,4671652000000.000000,503849000000.000000,,,1905621000000.000000,2401000000.000000,1908022000000.000000,,,,,670918000000.000000,330148000000.000000,113871000000.000000,,626456000000.000000,,,,626456000000.000000,,518388000000.000000,4671652000000.000000,2363458000000.000000,3305000000.000000,,1493054000000.000000,51747000000.000000,135493000000.000000,,1680294000000.000000,,,5175000000.000000,490723000000.000000,183961000000.000000,2363458000000.000000,7035110000000.000000,,2153183000000.000000,162391000000.000000,2828916000000.000000,1200000000.000000,2827716000000.000000,2828916000000.000000,2076941000000.000000,-168358000000.000000,7053073000000.000000,14088183000000.000000,7727543468.000000
12M 2013,,,4301461000000.000000,,,,,349050000000.000000,224138000000.000000,124912000000.000000,349050000000.000000,,,,,2925163000000.000000,4480287000000.000000,12055961000000.000000,,51099000000.000000,,1866102000000.000000,103096000000.000000,3019244000000.000000,193331000000.000000,380324000000.000000,2586112000000.000000,8199308000000.000000,20255269000000.000000,,,7851921000000.000000,117062000000.000000,,,2672217000000.000000,5014000000.000000,2677231000000.000000,,,,,924650000000.000000,483267000000.000000,97626000000.000000,,70141000000.000000,51939000000.000000,135898000000.000000,,257978000000.000000,,3294107000000.000000,7851921000000.000000,3426221000000.000000,307000000.000000,,68380000000.000000,2394726000000.000000,,,2463106000000.000000,,,6422000000.000000,707615000000.000000,248771000000.000000,3426221000000.000000,11278142000000.000000,,2386904000000.000000,123485000000.000000,4233942000000.000000,1500000000.000000,4232442000000.000000,4233942000000.000000,1924063000000.000000,308733000000.000000,8977127000000.000000,20255269000000.000000,7727542830.000000
12M 2014,,,2707486000000.000000,,,,,564312000000.000000,247237000000.000000,317075000000.000000,564312000000.000000,,,,,3406548000000.000000,4599982000000.000000,11278328000000.000000,,17044000000.000000,,4333697000000.000000,102197000000.000000,3451142000000.000000,203941000000.000000,546751000000.000000,2865105000000.000000,11519877000000.000000,22798205000000.000000,,,8371770000000.000000,385910000000.000000,,,2671552000000.000000,7847000000.000000,2679399000000.000000,,,,,1138899000000.000000,398255000000.000000,211522000000.000000,,75982000000.000000,,,,75982000000.000000,,3481803000000.000000,8371770000000.000000,4130864000000.000000,1212000000.000000,,26565000000.000000,2830196000000.000000,,,2856761000000.000000,,,6885000000.000000,962168000000.000000,303838000000.000000,4130864000000.000000,12502634000000.000000,,2386904000000.000000,-228139000000.000000,5915449000000.000000,1800000000.000000,5913649000000.000000,5915449000000.000000,1839637000000.000000,381720000000.000000,10295571000000.000000,22798205000000.000000,10064747323.000000
12M 2015,,,1852059000000.000000,,,,,339270000000.000000,171377000000.000000,167893000000.000000,339270000000.000000,,,,,3643184000000.000000,5029177000000.000000,10863690000000.000000,,17382000000.000000,,4353288000000.000000,100892000000.000000,3550288000000.000000,241624000000.000000,652374000000.000000,2954264000000.000000,11870112000000.000000,22733802000000.000000,,,8875098000000.000000,913526000000.000000,,,2386300000000.000000,8415000000.000000,2394715000000.000000,,,,,1384071000000.000000,480444000000.000000,129321000000.000000,,34654000000.000000,,,39717000000.000000,74371000000.000000,,3498650000000.000000,8875098000000.000000,4946073000000.000000,1212000000.000000,,419363000000.000000,3149429000000.000000,,155105000000.000000,3723897000000.000000,,,4444000000.000000,842321000000.000000,374199000000.000000,4946073000000.000000,13821171000000.000000,,2386904000000.000000,-228139000000.000000,4619669000000.000000,2100000000.000000,4617569000000.000000,4619669000000.000000,1670021000000.000000,464176000000.000000,8912631000000.000000,22733802000000.000000,10064747323.000000
12M 2016,,,3417015000000.000000,,,,,493621000000.000000,275803000000.000000,217818000000.000000,493621000000.000000,,,,,3471557000000.000000,5076097000000.000000,12458290000000.000000,,20993000000.000000,,3719505000000.000000,165969000000.000000,3353565000000.000000,212157000000.000000,317321000000.000000,3874871000000.000000,11664381000000.000000,24122671000000.000000,,,9481086000000.000000,504666000000.000000,,,2958434000000.000000,2961000000.000000,2961395000000.000000,,,,,1494641000000.000000,512627000000.000000,121071000000.000000,,72085000000.000000,,,24536000000.000000,96621000000.000000,,3790065000000.000000,9481086000000.000000,5277114000000.000000,1212000000.000000,,780630000000.000000,3075258000000.000000,,117989000000.000000,3973877000000.000000,,,1972000000.000000,901302000000.000000,398751000000.000000,5277114000000.000000,14758200000000.000000,,2386904000000.000000,-223907000000.000000,4732147000000.000000,2100000000.000000,4730047000000.000000,4732147000000.000000,1677623000000.000000,791704000000.000000,9364471000000.000000,24122671000000.000000,10064747323.000000
12M 2017,,,3197507000000.000000,,,,,486344000000.000000,278458000000.000000,207886000000.000000,486344000000.000000,,,,,1860579000000.000000,5406325000000.000000,10950755000000.000000,,,,3403823000000.000000,165903000000.000000,3199960000000.000000,150350000000.000000,652221000000.000000,4341783000000.000000,11914040000000.000000,22864795000000.000000,,,9438998000000.000000,1642747000000.000000,,,1926057000000.000000,7282000000.000000,1933339000000.000000,,,,,1260365000000.000000,425314000000.000000,114354000000.000000,,347220000000.000000,,,46092000000.000000,393312000000.000000,,3669567000000.000000,9438998000000.000000,5889907000000.000000,,,3111276000000.000000,,,130645000000.000000,3241921000000.000000,,,2671000000.000000,2173092000000.000000,472223000000.000000,5889907000000.000000,15328905000000.000000,,2386904000000.000000,-224678000000.000000,3461120000000.000000,2400000000.000000,3458720000000.000000,3461120000000.000000,1095770000000.000000,816774000000.000000,7535890000000.000000,22864795000000.000000,10064747323.000000
