Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Piutang Pihak Berelasi,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Pihak Berelasi,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pembelian Aset Tetap,Pihak Ketiga,Pihak Berelasi,Total Utang Pembelian Aset Tetap,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Pinjaman Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pemegang Saham,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Pajak Tangguhan,Pinjaman Jangka Panjang Lainnya,Pihak Ketiga,Pihak Berelasi,Total Pinjaman Jangka Panjang Lainnya,Utang Pemegang Saham,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,109477098864.000000,352669726321.000000,352377138296.000000,292588025.000000,352669726321.000000,1779788053.000000,1779788053.000000,,1779788053.000000,88914821564.000000,33254333471.000000,586095768273.000000,,38516326076.000000,12318566601.000000,,,,,,,6653081734.000000,57487974411.000000,643583742684.000000,,,346595399169.000000,,,,253071443615.000000,27652354868.000000,280723798483.000000,,301744935.000000,,301744935.000000,,,,,36667874257.000000,23413468689.000000,,,2446013579.000000,,,2446013579.000000,,3042499226.000000,346595399169.000000,8874049458.000000,,,751326225.000000,,751326225.000000,,,,2027463173.000000,2027463173.000000,,,,,,,,,,,6095260060.000000,8874049458.000000,355469448627.000000,,101750000000.000000,56963383388.000000,20129222373.000000,100000000.000000,20029222373.000000,20129222373.000000,161661490089.000000,-52389801793.000000,288114294057.000000,643583742684.000000,1017500000.000000
12M 2009,,,112198013186.000000,287133056062.000000,286598183055.000000,534873007.000000,287133056062.000000,1228140489.000000,1228140489.000000,,1228140489.000000,98849773641.000000,101036345051.000000,600445328429.000000,,324856482790.000000,8014286319.000000,,,,2231449.000000,46547390470.000000,3784465238.000000,22218308973.000000,405423165239.000000,1005868493668.000000,,,334136252849.000000,27587533600.000000,,,233702180839.000000,20315696979.000000,254017877818.000000,,104000000.000000,,104000000.000000,,,,,10262977356.000000,19008064294.000000,,18868920424.000000,867393161.000000,,,19736313585.000000,,3419486196.000000,334136252849.000000,260201957675.000000,,223668371588.000000,250486300.000000,,223918857888.000000,14290000000.000000,,,,,10453053042.000000,,,,,,,,,,11540046745.000000,260201957675.000000,594338210524.000000,,124361111100.000000,149252274780.000000,33962006200.000000,200000000.000000,33762006200.000000,33962006200.000000,271718572217.000000,-167763681154.000000,411530283143.000000,1005868493667.000000,1765927777.000000
12M 2010,,,41790000000.000000,309937000000.000000,309481000000.000000,456000000.000000,309937000000.000000,4734000000.000000,4734000000.000000,,4734000000.000000,143312000000.000000,139109000000.000000,638882000000.000000,,582789000000.000000,13431000000.000000,,,,215000000.000000,31425000000.000000,2968000000.000000,17408000000.000000,648236000000.000000,1287118000000.000000,,,453018000000.000000,102691000000.000000,,,199703000000.000000,18036000000.000000,217739000000.000000,,2035000000.000000,,2035000000.000000,,16792000000.000000,10448000000.000000,27240000000.000000,6037000000.000000,20981000000.000000,,73077000000.000000,729000000.000000,,,73806000000.000000,,2489000000.000000,453018000000.000000,378536000000.000000,,333525000000.000000,1224000000.000000,,334749000000.000000,24986000000.000000,,,,,4772000000.000000,,,,,,,,,,14029000000.000000,378536000000.000000,831554000000.000000,,176593000000.000000,97020000000.000000,51038000000.000000,300000000.000000,50738000000.000000,51038000000.000000,298115000000.000000,-167202000000.000000,455564000000.000000,1287118000000.000000,1765927777.000000
12M 2011,,,83992000000.000000,258647000000.000000,258551000000.000000,96000000.000000,258647000000.000000,2982000000.000000,2982000000.000000,,2982000000.000000,124814000000.000000,157967000000.000000,628402000000.000000,,877710000000.000000,18548000000.000000,,,,743000000.000000,9477000000.000000,2968000000.000000,14593000000.000000,924039000000.000000,1552441000000.000000,,,686412000000.000000,120015000000.000000,20677000000.000000,,208904000000.000000,85865000000.000000,294769000000.000000,,4027000000.000000,,4027000000.000000,,46636000000.000000,,46636000000.000000,7487000000.000000,22598000000.000000,,154841000000.000000,1481000000.000000,1578000000.000000,,157900000000.000000,,12303000000.000000,686412000000.000000,438336000000.000000,,383242000000.000000,592000000.000000,3026000000.000000,386860000000.000000,36696000000.000000,,,,,,,,,,,,,,,14780000000.000000,438336000000.000000,1124748000000.000000,,176593000000.000000,97020000000.000000,29787000000.000000,400000000.000000,29387000000.000000,29787000000.000000,289827000000.000000,-165534000000.000000,427693000000.000000,1552441000000.000000,1765927777.000000
12M 2012,,,5895799.000000,59321974.000000,59321974.000000,,59321974.000000,181898.000000,181898.000000,,181898.000000,23262943.000000,18951404.000000,107614018.000000,,100921481.000000,3777901.000000,,,,74930.000000,1094955.000000,540352.000000,7119622.000000,113529241.000000,221143259.000000,,,151626238.000000,26285758.000000,,,48829669.000000,25331236.000000,74160905.000000,,582224.000000,,582224.000000,,2437779.000000,986661.000000,3424440.000000,1011052.000000,2233634.000000,,41722434.000000,155885.000000,471927.000000,,42350246.000000,,1577979.000000,151626238.000000,22733793.000000,,12461090.000000,197234.000000,322552.000000,12980876.000000,4635717.000000,,,,,3350217.000000,,,,,,,,,,1766983.000000,22733793.000000,174360031.000000,,18593438.000000,-1545771.000000,-3978304.000000,43052.000000,-4021356.000000,-3978304.000000,33713865.000000,,46783228.000000,221143259.000000,1765927777.000000
12M 2013,,,5584693.000000,50815231.000000,50758675.000000,56556.000000,50815231.000000,83736.000000,83736.000000,,83736.000000,22637603.000000,23535466.000000,102656729.000000,,111893810.000000,2105794.000000,4503430.000000,4503430.000000,4503430.000000,72518.000000,1207929.000000,540352.000000,5850693.000000,126174526.000000,228831255.000000,,,123009606.000000,20974361.000000,,,43050194.000000,12333694.000000,55383888.000000,,1303830.000000,,1303830.000000,,584925.000000,,584925.000000,1755198.000000,3856580.000000,,36463318.000000,215155.000000,1025765.000000,,37704238.000000,,1446586.000000,123009606.000000,61700595.000000,,50644470.000000,325898.000000,1382287.000000,52352655.000000,5684506.000000,,,,,2119675.000000,,,,,,,,,,1543759.000000,61700595.000000,184710201.000000,,18593438.000000,-999273.000000,-6604365.000000,43052.000000,-6647417.000000,-6604365.000000,33131254.000000,,44121054.000000,228831255.000000,1765927777.000000
12M 2014,,,19639440.000000,36505445.000000,36360810.000000,144635.000000,36505445.000000,311458.000000,311458.000000,,311458.000000,20246160.000000,17920635.000000,94623138.000000,,124720339.000000,2730340.000000,11345587.000000,11345587.000000,11345587.000000,69283.000000,1237098.000000,540352.000000,6590009.000000,147233008.000000,241856146.000000,,,142278897.000000,26486077.000000,,,47424891.000000,9070130.000000,56495021.000000,,1138718.000000,,1138718.000000,,484449.000000,,484449.000000,2007215.000000,2673603.000000,,50244763.000000,232780.000000,1365480.000000,,51843023.000000,,1150791.000000,142278897.000000,62526793.000000,,47646508.000000,212021.000000,1496374.000000,49354903.000000,8782014.000000,,2411576.000000,,2411576.000000,412908.000000,,,,,,,,,,1565392.000000,62526793.000000,204805690.000000,,18593438.000000,-703462.000000,-12111458.000000,43052.000000,-12154510.000000,-12111458.000000,31271938.000000,,37050456.000000,241856146.000000,1765927777.000000
12M 2015,,,4246709.000000,24106601.000000,24106601.000000,,24106601.000000,384914.000000,384914.000000,,384914.000000,14969070.000000,13252489.000000,56959783.000000,,118388232.000000,6518573.000000,,,,,1266693.000000,,4243029.000000,130416527.000000,187376310.000000,,,153600373.000000,26991768.000000,,,33714133.000000,7132984.000000,40847117.000000,,803855.000000,,803855.000000,,301674.000000,,301674.000000,1300006.000000,2566159.000000,,76243865.000000,128225.000000,1617719.000000,,77989809.000000,,2799985.000000,153600373.000000,13695851.000000,,,31787.000000,934697.000000,966484.000000,7520319.000000,,2174701.000000,,2174701.000000,,,,,,,,,,,3034347.000000,13695851.000000,167296224.000000,,18593438.000000,-2330925.000000,-22453026.000000,43052.000000,-22496078.000000,-22453026.000000,23354184.000000,2916415.000000,20080086.000000,187376310.000000,1765927777.000000
12M 2016,,,4290404.000000,13929650.000000,13929650.000000,,13929650.000000,171017.000000,171017.000000,,171017.000000,13980178.000000,11915567.000000,44286816.000000,,109814316.000000,7796092.000000,,,,,1298789.000000,,4651496.000000,123560693.000000,167847509.000000,,,119642948.000000,17338627.000000,173998.000000,,19243638.000000,10633194.000000,29876832.000000,,987212.000000,,987212.000000,,,,,1851246.000000,3449856.000000,,62654273.000000,22739.000000,597311.000000,,63274323.000000,,2690854.000000,119642948.000000,37158046.000000,,15662383.000000,7912.000000,286879.000000,15957174.000000,930336.000000,2530515.000000,,,2530515.000000,,,,,,11428749.000000,2956381.000000,,,2956381.000000,3354891.000000,37158046.000000,156800994.000000,,18593438.000000,-2330925.000000,-26705547.000000,43052.000000,-26748599.000000,-26705547.000000,19300057.000000,2189492.000000,11046515.000000,167847509.000000,1765927777.000000
12M 2017,,,5302482.000000,21152396.000000,21152396.000000,,21152396.000000,149359.000000,149359.000000,,149359.000000,16805746.000000,7640450.000000,51050433.000000,,103720843.000000,10645392.000000,,,,,1335927.000000,,20954926.000000,136657088.000000,187707521.000000,,,124723183.000000,19708173.000000,276302.000000,,28379945.000000,837809.000000,29217754.000000,,141295.000000,,141295.000000,,,,,2598369.000000,4613803.000000,,63657276.000000,7847.000000,212703.000000,,63877826.000000,,4289661.000000,124723183.000000,42907550.000000,,13630766.000000,,43848.000000,13674614.000000,,4222025.000000,,,4222025.000000,,,,,,8089159.000000,,,13088423.000000,13088423.000000,3833329.000000,42907550.000000,167630733.000000,,18593438.000000,-2330925.000000,-14739715.000000,43052.000000,-14782767.000000,-14739715.000000,17184419.000000,1369571.000000,20076788.000000,187707521.000000,1765927777.000000
