Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.58,124.28,1.58,124.28,2 B,1 B,3 B,(106 B),240 B
12M 2009,6.82,79.17,7.01,77.03,47 B,238 B,286 B,173 B,266 B
12M 2010,4.15,89.16,4.23,87.48,204 B,360 B,563 B,522 B,186 B
12M 2011,3.20,78.07,3.27,76.39,325 B,424 B,748 B,664 B,(58 B)
12M 2012,2.79,71.57,2.92,68.61,697 B,170 B,867 B,810 B,(426 B)
12M 2013,2.09,75.91,2.20,72.18,723 B,708 B,"1,431 B","1,363 B",(248 B)
12M 2014,2.73,40.71,3.01,36.90,981 B,723 B,"1,704 B","1,459 B",(593 B)
12M 2015,-3.64,-25.58,-3.64,-25.58,"1,452 B",117 B,"1,569 B","1,511 B","(1,333 B)"
12M 2016,-0.80,-62.80,-0.80,-62.80,"1,083 B",380 B,"1,464 B","1,406 B","(1,012 B)"
12M 2017,17.49,22.19,17.49,22.19,"1,132 B",295 B,"1,427 B","1,355 B",(998 B)
12M 2018,-17.98,-9.29,-17.98,-9.29,613 B,886 B,"1,499 B","1,418 B",(540 B)
12M 2019,-6.60,-29.70,-6.60,-29.70,574 B,879 B,"1,453 B","1,384 B",(480 B)
12M 2020,-1.24,-83.15,-1.24,-83.15,763 B,688 B,"1,451 B","1,400 B",(670 B)
12M 2021,-0.76,-112.93,-0.76,-112.93,368 B,"1,050 B","1,418 B","1,358 B",(399 B)
12M 2022,-1.52,-68.94,-1.52,-68.94,647 B,703 B,"1,350 B","1,230 B",(635 B)
12M 2023,1.35,69.06,1.35,69.06,202 B,931 B,"1,133 B",997 B,54 B
12M 2024,0.72,138.90,0.72,138.90,70 B,850 B,920 B,866 B,282 B
