Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Penyesuaian Proforma,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1037122146855.000000,-792301734534.000000,244820412321.000000,-68462599235.000000,-30054884038.000000,-38407715197.000000,,-68462599235.000000,176357813086.000000,8553656974.000000,3329110045.000000,-105918212.000000,-2349156.000000,3541160763.000000,1791653534.000000,8553656974.000000,184911470060.000000,-56225745734.000000,-62917760600.000000,6692014866.000000,-56225745734.000000,128685724326.000000,-28188580846.000000,-84331191946.000000,16165951534.000000,,,16165951534.000000,128685724326.000000,-28188580846.000000,-84331191946.000000,16165951534.000000,,,,
12M 2009,1326294161071.000000,-1063950353845.000000,262343807226.000000,-115859564394.000000,-51520735503.000000,-64338828891.000000,,-115859564394.000000,146484242832.000000,-35808734780.000000,3420315439.000000,-9398443903.000000,-146770000.000000,-14550900319.000000,-15132935997.000000,-35808734780.000000,110675508052.000000,-40665360630.000000,-36051335217.000000,-4614025413.000000,-40665360630.000000,70010147422.000000,-46173866731.000000,-5170371864.000000,18665908827.000000,,,18665908827.000000,70010147422.000000,-46173866731.000000,-5170371864.000000,18665908827.000000,,,,
12M 2010,1398205000000.000000,-1156649000000.000000,241556000000.000000,-145948000000.000000,-63005000000.000000,-82943000000.000000,,-145948000000.000000,95608000000.000000,-10814000000.000000,5096000000.000000,-28471000000.000000,-116000000.000000,1793000000.000000,10884000000.000000,-10814000000.000000,84794000000.000000,-25333000000.000000,-36430000000.000000,11097000000.000000,-25333000000.000000,59461000000.000000,-41449000000.000000,,18012000000.000000,,,18012000000.000000,59461000000.000000,-41449000000.000000,,18012000000.000000,,,,
12M 2011,1195077000000.000000,-1008799000000.000000,186278000000.000000,-170797000000.000000,-72445000000.000000,-81960000000.000000,-16392000000.000000,-170797000000.000000,15481000000.000000,-25035000000.000000,4801000000.000000,-29836000000.000000,,,,-25035000000.000000,-9554000000.000000,-3442000000.000000,-13331000000.000000,9889000000.000000,-3442000000.000000,-12996000000.000000,,,-12996000000.000000,,-12996000000.000000,-12996000000.000000,-19450000000.000000,6454000000.000000,,-12996000000.000000,-12996000000.000000,-19450000000.000000,6454000000.000000,-12996000000.000000
12M 2012,180847036.000000,-147836656.000000,33010380.000000,-27510935.000000,-9932776.000000,-11124294.000000,-6453865.000000,-27510935.000000,5499445.000000,-8804026.000000,56554.000000,-8860580.000000,,,,-8804026.000000,-3304581.000000,-1667919.000000,-425249.000000,-1242670.000000,-1667919.000000,-4972500.000000,,,-4972500.000000,,-4972500.000000,-4972500.000000,-7626556.000000,2654056.000000,,-4972500.000000,-4972500.000000,-7626556.000000,2654056.000000,-4972500.000000
12M 2013,199357718.000000,-166566575.000000,32791143.000000,-23520938.000000,-8630369.000000,-11554863.000000,-3335706.000000,-23520938.000000,9270205.000000,-9787121.000000,151359.000000,-9938480.000000,,,,-9787121.000000,-516916.000000,-1338186.000000,,,-1338186.000000,-1855102.000000,,,-1855102.000000,,-1855102.000000,-1855102.000000,-1855102.000000,,,-1855102.000000,-1855102.000000,-2626061.000000,770959.000000,-1855102.000000
12M 2014,183405709.000000,-150100323.000000,33305386.000000,-29603427.000000,-7418602.000000,-12860507.000000,-9324318.000000,-29603427.000000,3701959.000000,-11600761.000000,56295.000000,-11657056.000000,,,,-11600761.000000,-7898802.000000,532393.000000,,,532393.000000,-7366409.000000,,,-7366409.000000,,-7366409.000000,-7366409.000000,-5507093.000000,-1859316.000000,,-7366409.000000,-7366409.000000,-5507093.000000,-1859316.000000,-7366409.000000
12M 2015,160859900.000000,-140759015.000000,20100885.000000,-30588365.000000,-5769421.000000,-10515670.000000,-14303274.000000,-30588365.000000,-10487480.000000,-10481774.000000,169574.000000,-10617439.000000,,,-33909.000000,-10481774.000000,-20969254.000000,3362376.000000,,,3362376.000000,-17606878.000000,,,-17606878.000000,-618174.000000,-18225052.000000,-17606878.000000,-10402063.000000,-7204815.000000,,-17606878.000000,-18225052.000000,-10740126.000000,-7484926.000000,-18225052.000000
12M 2016,101327506.000000,-91736845.000000,9590661.000000,-12946078.000000,-5407650.000000,-7538428.000000,,-12946078.000000,-3355417.000000,-6926332.000000,42085.000000,-8696643.000000,,,1728226.000000,-6926332.000000,-10281749.000000,1760106.000000,,,1760106.000000,-8521643.000000,,,-8521643.000000,-391723.000000,-8913366.000000,-8521643.000000,-4252521.000000,-4269122.000000,,-8521643.000000,-8913366.000000,-4477290.000000,-4436076.000000,-8913366.000000
12M 2017,104870333.000000,-95087943.000000,9782390.000000,-8999585.000000,-4567118.000000,-7336169.000000,2903702.000000,-8999585.000000,782805.000000,6563860.000000,127021.000000,-7701339.000000,,,14138178.000000,6563860.000000,7346665.000000,2659324.000000,,,2659324.000000,10005989.000000,,,10005989.000000,382854.000000,10388843.000000,10005989.000000,11965833.000000,-1959844.000000,,10005989.000000,10388843.000000,12211172.000000,-1822329.000000,10388843.000000
12M 2018,137732195.000000,-117831092.000000,19901103.000000,-17375749.000000,-5020875.000000,-6205185.000000,-6149689.000000,-17375749.000000,2525354.000000,-8726792.000000,170106.000000,-8516530.000000,,,-380368.000000,-8726792.000000,-6201438.000000,-718524.000000,,,-718524.000000,-6919962.000000,,,-6919962.000000,256161.000000,-6663801.000000,-6919962.000000,-5367431.000000,-1552531.000000,,-6919962.000000,-6663801.000000,-5254646.000000,-1409155.000000,-6663801.000000
12M 2019,161793840.000000,-135127193.000000,26666647.000000,-15497689.000000,-6676215.000000,-6727581.000000,-2093893.000000,-15497689.000000,11168958.000000,-10309847.000000,166352.000000,-10442928.000000,,,-33271.000000,-10309847.000000,859111.000000,378331.000000,,,378331.000000,1237442.000000,,,1237442.000000,-329401.000000,908041.000000,1237442.000000,135144.000000,1102298.000000,,1237442.000000,908041.000000,-29863.000000,937904.000000,908041.000000
12M 2020,108304264.000000,-90728789.000000,17575475.000000,-13189595.000000,-6188307.000000,-5153106.000000,-1848182.000000,-13189595.000000,4385880.000000,-8617865.000000,158878.000000,-8744967.000000,,,-31776.000000,-8617865.000000,-4231985.000000,-4232476.000000,,,-4232476.000000,-8464461.000000,,,-8464461.000000,-16934.000000,-8481395.000000,-8464461.000000,-6440083.000000,-2024378.000000,,-8464461.000000,-8481395.000000,-6438401.000000,-2042994.000000,-8481395.000000
12M 2021,108870790.000000,-84072587.000000,24798203.000000,-18454129.000000,-6113293.000000,-7100856.000000,-5239980.000000,-18454129.000000,6344074.000000,-9872114.000000,166784.000000,-10005541.000000,,,-33357.000000,-9872114.000000,-3528040.000000,-2451346.000000,,,-2451346.000000,-5979386.000000,,,-5979386.000000,-128937.000000,-6108323.000000,-5979386.000000,-5755439.000000,-223947.000000,,-5979386.000000,-6108323.000000,-5815209.000000,-293114.000000,-6108323.000000
12M 2022,158302374.000000,-112063403.000000,46238971.000000,-15257070.000000,-7141578.000000,-9244289.000000,1128797.000000,-15257070.000000,30981901.000000,-9391446.000000,174240.000000,-9530837.000000,,,-34849.000000,-9391446.000000,21590455.000000,-5252156.000000,,,-5252156.000000,16338299.000000,,,16338299.000000,-518471.000000,15819828.000000,16338299.000000,7003644.000000,9334655.000000,,16338299.000000,15819828.000000,6750610.000000,9069218.000000,15819828.000000
12M 2023,185090463.000000,-134099356.000000,50991107.000000,-29176844.000000,-8293846.000000,-13414565.000000,-7468433.000000,-29176844.000000,21814263.000000,-7424915.000000,228517.000000,-7607728.000000,,,-45704.000000,-7424915.000000,14389348.000000,-6010450.000000,,,-6010450.000000,8378898.000000,,,8378898.000000,-205702.000000,8173196.000000,8378898.000000,1442431.000000,6936467.000000,,8378898.000000,8173196.000000,1337839.000000,6835357.000000,8173196.000000
12M 2024,182200632.000000,-126748006.000000,55452626.000000,-15732497.000000,-7848036.000000,-11194692.000000,3310231.000000,-15732497.000000,39720129.000000,-4712788.000000,221704.000000,-4890151.000000,,,-44341.000000,-4712788.000000,35007341.000000,-9056528.000000,,,-9056528.000000,25950813.000000,,,25950813.000000,106904.000000,26057717.000000,25950813.000000,10287423.000000,15663390.000000,,25950813.000000,26057717.000000,10344036.000000,15713681.000000,26057717.000000
