Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok Dan Pihak Ketiga Lainnya,Pembayaran Kepada Karyawan,Penghasilan Bunga Yang Diterima,Pembayaran Pajak Penghasilan Dan Pajak Lainnya - Bersih,Penerimaan Kas Dari Jasa Managemen,Penerimaan Dari Restitusi Pajak,Pembayaran Dividen Dari Aktivitas Operasi,Pembayaran Bunga,Pembayaran Beban Usaha Dan Beban Lainnya,Penerimaan (Pembayaran) Kegiatan Usaha Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,(Kenaikan) Penurunan Dana Yang Dibatasi Penggunaannya,Hasil Penjualan Ruang Kantor,Hasil Penjualan Aset Tetap,Akuisisi Anak Perusahaan,Penerimaan Kas Dari Pinjaman Kepada - Pihak Berelasi,Peningkatan Kepemilikan Saham Pada Anak Perusahaan,Penambahan Aset Eksplorasi Dan Evaluasi,Hasil Penjualan Investasi Di Anak Perusahaan,Kenaikan Aset Tidak Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,(Kenaikan) Penurunan Dana Yang Dibatasi Penggunaannya,Pembayaran Utang Pembelian Aset Tetap,Penerimaan (Pembayaran) Utang Bank Jangka Pendek - Bersih,Penerimaan (Pembayaran) Utang Pihak Berelasi/Pemegang Saham - Bersih,Penerimaan Pinjaman Pemegang Saham,Penerimaan (Pembayaran) Utang Pembiayaan Konsumen,Pembayaran Pembelian Aktiva Pembiayaan Konsumen,Pembayaran Utang Sewa Pembiayaan,Pembayaran Liabilitas Sewa,Penerimaan Pembiayaan Konsumen,Pembayaran Dividen,Pemilik Entitas Induk,Kepentingan Non-Pengendali,Total Pembayaran Dividen,Pembayaran Utang Dividen,Penerimaan (Pembayaran) Pinjaman Bank Jangka Panjang Dan Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Penerimaan Utang Bank Jangka Panjang,Pembayaran Bunga,Penerimaan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Penerimaan Pinjaman Jangka Pendek,Penerimaan Dari Penerbitan Modal Saham Anak Perusahaan - Bersih,Pembayaran Biaya Komisi Pinjaman Bank Jangka Panjang,Penerimaan Dari Penawaran Umum Terbatas,Setoran Modal Saham Anak Perusahaan Oleh Pemegang Saham Minoritas,Penerimaan Pinjaman Dari Pihak Berelasi-Neto,Pembayaran Pinjaman Kepada Pihak Berelasi,Penambahan Piutang Pihak Ketiga,Penurunan Piutang Hubungan Istimewa,Perubahan Kepentingan Non-Pengendali,Kenaikan Hutang Hubungan Istimewa,Kenaikan Hutang Pihak Ketiga,Biaya Emisi Put Ii,Penambahan Piutang Afiliasi,Penambahan (Pengurangan) Utang Afiliasi,Penerimaan (Pembayaran) Pinjaman Pihak Ketiga,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Saldo Awal Kas Anak Perusahaan Yang Diperoleh Tahun Berjalan Pada Tanggal Akuisisi,Kas Dan Setara Kas Akhir Periode
12M 2008,102119182235.000000,933581744629.000000,-772270160031.000000,-36459583830.000000,3320885715.000000,-25367220503.000000,,,,,-686483745.000000,,102119182235.000000,-142789988727.000000,-3149139821.000000,,1122000000.000000,597151094.000000,-141360000000.000000,,,,,,-142789988727.000000,60056662057.000000,,,,,,-2908455650.000000,,,,,,,-78888880000.000000,-78888880000.000000,,,,,,,,,,,139784709515.000000,,,2069288192.000000,,,,,,,,,,60056662057.000000,19385855565.000000,,90091243299.000000,,109477098864.000000
12M 2009,132871006982.000000,1410699774449.000000,-1095855973389.000000,-88965886281.000000,2421443788.000000,-95428351585.000000,,,,,,,132871006982.000000,-399743686115.000000,-143118612469.000000,-35866636146.000000,,241562500.000000,-222980000000.000000,,,,1980000000.000000,,-399743686115.000000,271593085819.000000,,,,14290000000.000000,,-2079460343.000000,,,,,,-4833125000.000000,-27549349248.000000,-32382474248.000000,,238766064557.000000,-48909652898.000000,,-4637038667.000000,,,,,-8030820000.000000,114900002492.000000,1000000.000000,,-324535074.000000,,,,,,,,,,271593085819.000000,4720406686.000000,-5794788390.000000,109477098864.000000,3795296025.000000,112198013185.000000
12M 2010,-46236000000.000000,1375400000000.000000,-1288710000000.000000,-120465000000.000000,827000000.000000,-18287000000.000000,4999000000.000000,,,,,,-46236000000.000000,-271556000000.000000,-274460000000.000000,-7813000000.000000,,330000000.000000,,10387000000.000000,,,,,-271556000000.000000,248895000000.000000,,,302815000000.000000,15090000000.000000,,-2338000000.000000,,,,,,-936000000.000000,-12213000000.000000,-13149000000.000000,,,-21339000000.000000,,-32184000000.000000,,,,,,,,,,,,,,,,,,,248895000000.000000,-68897000000.000000,-1511000000.000000,112198000000.000000,,41790000000.000000
12M 2011,72641000000.000000,1233728000000.000000,-1059660000000.000000,-118952000000.000000,705000000.000000,976000000.000000,15844000000.000000,,,,,,72641000000.000000,-248292000000.000000,-299036000000.000000,20389000000.000000,,5253000000.000000,,25102000000.000000,,,,,-248292000000.000000,217729000000.000000,,,316427000000.000000,12678000000.000000,,-1513000000.000000,,,,,,-1801000000.000000,-2956000000.000000,-4757000000.000000,,,-62926000000.000000,,-42180000000.000000,,,,,,,,,,,,,,,,,,,217729000000.000000,42078000000.000000,124000000.000000,41790000000.000000,,83992000000.000000
12M 2012,15655299.000000,148711591.000000,-116932434.000000,-14876253.000000,56554.000000,-1562659.000000,258500.000000,,,,,,15655299.000000,-13864618.000000,-13246002.000000,-618616.000000,,,,,,,,,-13864618.000000,-5157298.000000,,,13050756.000000,-1684296.000000,,124560.000000,,-501175.000000,,,,,-2054107.000000,-2054107.000000,,10956775.000000,-16189231.000000,,-8860580.000000,,,,,,,,,,,,,,,,,,,-5157298.000000,-3366617.000000,,9262416.000000,,5895799.000000
12M 2013,147285.000000,205990935.000000,-189209133.000000,-17355053.000000,151359.000000,569177.000000,,,,,,,147285.000000,-19413542.000000,-20528172.000000,986497.000000,,128133.000000,,,,,,,-19413542.000000,18955151.000000,,,-5311397.000000,1048788.000000,,187934.000000,,-451106.000000,,,,,-892530.000000,-892530.000000,,110085115.000000,-77160851.000000,,-8550802.000000,,,,,,,,,,,,,,,,,,,18955151.000000,-311106.000000,,5895799.000000,,5584693.000000
12M 2014,26728999.000000,198274645.000000,-158308658.000000,-17373056.000000,56295.000000,4079773.000000,,,,,,,26728999.000000,-20024463.000000,-20440323.000000,414199.000000,,1661.000000,,,,,,,-20024463.000000,7350211.000000,,,5511716.000000,2148951.000000,,-96251.000000,,-1570612.000000,,,,,-158469.000000,-158469.000000,,42545031.000000,-30654023.000000,,-10376132.000000,,,,,,,,,,,,,,,,,,,7350211.000000,14054747.000000,,5584693.000000,,19639440.000000
12M 2015,14790438.000000,181139815.000000,-157432599.000000,-14920703.000000,135665.000000,5868260.000000,,,,,,,14790438.000000,-441824.000000,-2573421.000000,2001409.000000,,130188.000000,,,,,,,-441824.000000,-29741345.000000,,,505691.000000,2027135.000000,,-284789.000000,,-1903392.000000,,,,,,,,971366.000000,-21647406.000000,,-9409950.000000,,,,,,,,,,,,,,,,,,,-29741345.000000,-15392731.000000,,19639440.000000,,4246709.000000
12M 2016,17549061.000000,111457169.000000,-85613466.000000,-12585717.000000,9989.000000,4281086.000000,,,,,,,17549061.000000,-1478842.000000,-1504342.000000,869.000000,,24631.000000,,,,,,,-1478842.000000,-16079810.000000,,,,1113248.000000,,-129361.000000,,-1668226.000000,,,,,,,,-9653141.000000,,,-6838557.000000,,,,,,,,,,,-7650380.000000,,8746607.000000,,,,,,-16079810.000000,-9591.000000,53286.000000,4246709.000000,,4290404.000000
12M 2017,9165072.000000,109239700.000000,-94409005.000000,-13551138.000000,101617.000000,7783898.000000,,,,,,,9165072.000000,-3289440.000000,-1549068.000000,100000.000000,,155313.000000,-1995685.000000,,,,,,-3289440.000000,-4752525.000000,,,1753027.000000,1719459.000000,,-24767.000000,,-627639.000000,,,,,,,,1592608.000000,,,-7112433.000000,,,,,,,,,,,-3744290.000000,,1691510.000000,,,,,,-4752525.000000,1123107.000000,-111029.000000,4290404.000000,,5302482.000000
