Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,154137626042.000000,-108633869031.000000,45503757011.000000,-35626529446.000000,-936397227.000000,-34690132219.000000,-35626529446.000000,9877227565.000000,-9025596334.000000,-11367956819.000000,3778347614.000000,-1435987129.000000,-9025596334.000000,851631231.000000,227428760.000000,-217078400.000000,444507160.000000,227428760.000000,1079059991.000000,2818575338.000000,3897635329.000000,1079059991.000000,1079059991.000000,,1079059991.000000,3897635329.000000,3897635329.000000,,3897635329.000000
12M 2021,111964057107.000000,-81283197503.000000,30680859604.000000,-23131730472.000000,-557769632.000000,-22573960840.000000,-23131730472.000000,7549129132.000000,9900559154.000000,-9652459703.000000,16725465634.000000,2827553223.000000,9900559154.000000,17449688286.000000,-2430149311.000000,-1125463240.000000,-1304686071.000000,-2430149311.000000,15019538975.000000,587734293.000000,15607273268.000000,15019538975.000000,15019538975.000000,,15019538975.000000,15607273268.000000,15607273268.000000,,15607273268.000000
12M 2022,195008507024.000000,-138304894456.000000,56703612568.000000,-38938798264.000000,-1366842398.000000,-37571955866.000000,-38938798264.000000,17764814304.000000,-16057091222.000000,-7612461918.000000,116480072.000000,-8561109376.000000,-16057091222.000000,1707723082.000000,-3362464747.000000,-3435967260.000000,73502513.000000,-3362464747.000000,-1654741665.000000,522980796.000000,-1131760869.000000,-1654741665.000000,-1654741665.000000,,-1654741665.000000,-1131760869.000000,-1131760869.000000,,-1131760869.000000
12M 2023,232154374128.000000,-155524338070.000000,76630036058.000000,-44289943160.000000,-1837462058.000000,-42452481102.000000,-44289943160.000000,32340092898.000000,5908300580.000000,-8185217868.000000,,14093518448.000000,5908300580.000000,38248393478.000000,-6014396325.000000,-6033648060.000000,19251735.000000,-6014396325.000000,32233997153.000000,-244958782.000000,31989038371.000000,32233997153.000000,32233997153.000000,,32233997153.000000,31989038371.000000,31989038371.000000,,31989038371.000000
12M 2024,356262936436.000000,-229267845553.000000,126995090883.000000,-56525137537.000000,-4278940333.000000,-52246197204.000000,-56525137537.000000,70469953346.000000,-17564229130.000000,-14558708488.000000,,-3005520642.000000,-17564229130.000000,52905724216.000000,-12230452011.000000,-13573538660.000000,1343086649.000000,-12230452011.000000,40675272205.000000,388150080.000000,41063422285.000000,40675272205.000000,40675272205.000000,,40675272205.000000,41063422285.000000,41063422285.000000,,41063422285.000000
