Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2020,16 B,(2 B),14 B,312014.78
12M 2021,(24 B),(1 B),(25 B),-558993.67
12M 2022,30 B,(8 B),22 B,494501.30
12M 2023,34 B,(62 B),(27 B),-10.45
12M 2024,(92 B),(34 B),(126 B),-38.80
