Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan (Pembayarn) Biaya Operasi,Penghasilan Keuangan,Pembayaran Bunga Dan Beban Keuangan,Penerimaan (Pembayaran) Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Pembelian Aset Tetap,Uang Muka Penjualan Aset Tetap,Perolehan Aset Tidak Berwujud,Hasil Penjualan Aset Tetap,Penerimaan Dividen,Hasil Penjualan Investasi,Pencairan (Penempatan) Pencairan Deposito,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Modal Saham,Biaya Emisi Saham,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Utang Pihak Berelasi,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Dividen,Pembayaran Utang Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2020,16188659246.000000,168375147495.000000,-91257275696.000000,-26595006841.000000,-18317793706.000000,,-9924826613.000000,-6091585393.000000,16188659246.000000,141844491.000000,-2147994265.000000,-97408400.000000,,,2387247156.000000,,,,141844491.000000,-17748880545.000000,,,205375701001.000000,-212372347721.000000,,-7995221036.000000,-449100000.000000,-1201175396.000000,,-1106737393.000000,-17748880545.000000,-1418376808.000000,3389350405.000000,161759.000000,1971135356.000000
12M 2021,-23816386416.000000,115589938711.000000,-101316555661.000000,-29523887017.000000,3595793124.000000,,-9265688533.000000,-2895987040.000000,-23816386416.000000,31808429629.000000,-1338328764.000000,-4860000.000000,,-558882000.000000,1095229745.000000,32615270648.000000,,,31808429629.000000,-7115438921.000000,,,275972092863.000000,-267460177371.000000,2206994058.000000,-8219651109.000000,-6400000000.000000,-720953641.000000,,-2493743721.000000,-7115438921.000000,876604292.000000,1971145356.000000,297348.000000,2848046996.000000
12M 2022,29924195404.000000,164530424523.000000,-106358339951.000000,-20542622169.000000,-16747859118.000000,,-7612461919.000000,16655054038.000000,29924195404.000000,6830182844.000000,-7671636731.000000,-1097561834.000000,500000000.000000,,849381409.000000,,16250000000.000000,-2000000000.000000,6830182844.000000,-24242804048.000000,,,348739797343.000000,-335899328312.000000,,-12671091184.000000,-18828100413.000000,-84081482.000000,-5500000000.000000,,-24242804048.000000,12511574200.000000,2848046996.000000,2446608.000000,15362067804.000000
12M 2023,34403509253.000000,233002072342.000000,-135215648107.000000,-24881207616.000000,-23625907262.000000,,-8185217868.000000,-6690582236.000000,34403509253.000000,-47020200473.000000,-61578412742.000000,-5955656410.000000,,,18513868679.000000,,,2000000000.000000,-47020200473.000000,10512066308.000000,,,134044053171.000000,-162982828265.000000,46759521282.000000,-6868107025.000000,,-440572855.000000,,,10512066308.000000,-2104624912.000000,15362067804.000000,315714.000000,13257758606.000000
12M 2024,-92049681267.000000,314651545524.000000,-302767890169.000000,-31729147131.000000,-54115092225.000000,962654908.000000,-14308863797.000000,-4742888377.000000,-92049681267.000000,-48432767130.000000,-34051741366.000000,,,-153030000.000000,272004236.000000,,,-14500000000.000000,-48432767130.000000,167605257054.000000,74750000000.000000,-2220501500.000000,636159353174.000000,-532916448499.000000,5579938096.000000,-11941084617.000000,,-1805999600.000000,,,167605257054.000000,27122808657.000000,13257758606.000000,103136886.000000,40483704149.000000
