Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,172390663400.000000,-142840341764.000000,29550321636.000000,-4677197327.000000,-523351910.000000,-4153845417.000000,-4677197327.000000,24873124309.000000,5000842895.000000,428596679.000000,,4528023544.000000,,,,44222672.000000,5000842895.000000,29873967204.000000,-9050905570.000000,20823061634.000000,,20823061634.000000,20823061634.000000,20823061634.000000,,20823061634.000000,,,,
12M 2009,133110644620.000000,-111061324448.000000,22049320172.000000,-5115232130.000000,-1015349093.000000,-4099883037.000000,-5115232130.000000,16934088042.000000,-4042442025.000000,546273624.000000,,-4657028762.000000,,,,68313113.000000,-4042442025.000000,12891646017.000000,-3503489347.000000,9388156670.000000,,9388156670.000000,9388156670.000000,9388156670.000000,,9388156670.000000,,,,
12M 2010,127918509530.000000,-111139640956.000000,16778868574.000000,-5079167032.000000,-539474132.000000,-4539692900.000000,-5079167032.000000,11699701542.000000,-343030924.000000,236512177.000000,,-631411899.000000,,,,51868798.000000,-343030924.000000,11356670618.000000,-2963269146.000000,8393401472.000000,,8393401472.000000,8393401472.000000,8393401472.000000,,8393401472.000000,,,,
12M 2011,153646138180.000000,-128657607225.000000,24988530955.000000,-5180240003.000000,-624127908.000000,-4556112095.000000,-5180240003.000000,19808290952.000000,4678005920.000000,357643817.000000,,1207212956.000000,,2192848882.000000,,920300265.000000,4678005920.000000,24486296872.000000,-5339600396.000000,19146696476.000000,-41560813.000000,19105135663.000000,19146696476.000000,19146696476.000000,,19146696476.000000,19105135663.000000,19105135663.000000,,19105135663.000000
12M 2012,155005683770.000000,-124592395513.000000,30413288257.000000,-5007796475.000000,-144737642.000000,-4863058833.000000,-5007796475.000000,25405491782.000000,6985300924.000000,1363350457.000000,,4330073272.000000,,1025002940.000000,,266874255.000000,6985300924.000000,32390792706.000000,-7629165556.000000,24761627150.000000,-107614164.000000,24654012986.000000,24761627150.000000,24761627150.000000,,24761627150.000000,24654012986.000000,24654012986.000000,,24654012986.000000
12M 2013,113547870414.000000,-98500026502.000000,15047843912.000000,-5676026124.000000,-158595737.000000,-5517430387.000000,-5676026124.000000,9371817788.000000,23900255861.000000,2082283668.000000,,19815742721.000000,,2021485132.000000,,-19255660.000000,23900255861.000000,33272073649.000000,-7389150663.000000,25882922986.000000,-244465436.000000,25638457550.000000,25882922986.000000,25882922986.000000,,25882922986.000000,25638457550.000000,25638457550.000000,,25638457550.000000
12M 2014,96008496750.000000,-84296093141.000000,11712403609.000000,-6486658006.000000,-174693540.000000,-6311964466.000000,-6486658006.000000,5225745603.000000,4353940869.000000,2369486987.000000,,2298915886.000000,,-306642489.000000,,-7819515.000000,4353940869.000000,9579686472.000000,-1949356382.000000,7630330090.000000,192475020.000000,7822805110.000000,7630330090.000000,7630330090.000000,,7630330090.000000,7822805110.000000,7822805110.000000,,7822805110.000000
12M 2015,67679530150.000000,-65445759149.000000,2233771001.000000,-7022223849.000000,-200603367.000000,-6821620482.000000,-7022223849.000000,-4788452848.000000,12592714945.000000,2759120264.000000,,11133484182.000000,,-1234397815.000000,,-65491686.000000,12592714945.000000,7804262097.000000,-1480484072.000000,6323778025.000000,-501243191.000000,5822534834.000000,6323778025.000000,6323778025.000000,,6323778025.000000,5822534834.000000,5822534834.000000,,5822534834.000000
12M 2016,62760109860.000000,-61788701504.000000,971408356.000000,-7986062567.000000,-217917568.000000,-7768144999.000000,-7986062567.000000,-7014654211.000000,-1200044753.000000,1069514054.000000,,-2916598971.000000,,697500254.000000,,-50460090.000000,-1200044753.000000,-8214698964.000000,2239960980.000000,-5974737984.000000,403571298.000000,-5571166686.000000,-5974737984.000000,-5974737984.000000,,-5974737984.000000,-5571166686.000000,-5571166686.000000,,-5571166686.000000
12M 2017,88010862980.000000,-68011442761.000000,19999420219.000000,-7718920824.000000,-230898438.000000,-7488022386.000000,-7718920824.000000,12280499395.000000,2456557661.000000,1518142640.000000,,932806587.000000,,226263341.000000,,-220654907.000000,2456557661.000000,14737057056.000000,-3366129844.000000,11370927212.000000,-265424956.000000,11105502256.000000,11370927212.000000,11370927212.000000,,11370927212.000000,11105502256.000000,11105502256.000000,,11105502256.000000
