Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Investasi Jangka Pendek,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,33817922345.000000,13093604803.000000,13093156806.000000,447997.000000,13093604803.000000,237890685.000000,,,237890685.000000,,13122456401.000000,,151895677.000000,60423769911.000000,,,1299551627.000000,,8785493039.000000,,10085044666.000000,70508814577.000000,,,13982135245.000000,,6565783615.000000,359494013.000000,6925277628.000000,714410.000000,,,714410.000000,6275445938.000000,780697269.000000,,,13982135245.000000,1288429879.000000,,,1288429879.000000,1288429879.000000,15270565124.000000,,18000000000.000000,529666050.000000,36708583403.000000,,36708583403.000000,36708583403.000000,,55238249453.000000,70508814577.000000,180000000.000000
12M 2009,,,13514188389.000000,14473593261.000000,14473593261.000000,,14473593261.000000,15601825.000000,,,15601825.000000,,6971662603.000000,,107143977.000000,35082190055.000000,,,1458644560.000000,26148720000.000000,7094322789.000000,,34701687349.000000,69783877404.000000,,,3707865748.000000,,1560282086.000000,409153764.000000,1969435850.000000,,,,,822407408.000000,916022490.000000,,,3707865748.000000,1449605533.000000,,,1449605533.000000,1449605533.000000,5157471281.000000,,18000000000.000000,529666050.000000,46096740073.000000,,46096740073.000000,46096740073.000000,,64626406123.000000,69783877404.000000,180000000.000000
12M 2010,,,29281406162.000000,13634089158.000000,13634089158.000000,,13634089158.000000,73767298.000000,,,73767298.000000,,8277154054.000000,,2135283063.000000,53401699735.000000,,,1400388914.000000,27933449116.000000,7088476952.000000,,36422314982.000000,89824014717.000000,,,14845255861.000000,,12218901451.000000,830921610.000000,13049823061.000000,,524293013.000000,,524293013.000000,365999071.000000,905140716.000000,,,14845255861.000000,1785059196.000000,121917415.000000,,1663141781.000000,1785059196.000000,16630315057.000000,,18000000000.000000,529666050.000000,54490141545.000000,,54490141545.000000,54490141545.000000,173892065.000000,73193699660.000000,89824014717.000000,180000000.000000
12M 2011,,,132738880.000000,18850237220.000000,18850237220.000000,,18850237220.000000,175925712.000000,,,175925712.000000,,10513255747.000000,,47806680250.000000,77478837809.000000,,,1261548733.000000,30125955582.000000,9849216309.000000,,41236720624.000000,118715558433.000000,,,24693864425.000000,,20025544469.000000,1025237123.000000,21050781592.000000,248120168.000000,,,248120168.000000,2338781083.000000,1056181582.000000,,,24693864425.000000,1896750750.000000,,,1896750750.000000,1896750750.000000,26590615175.000000,,18000000000.000000,529666050.000000,73636838021.000000,,73636838021.000000,73636838021.000000,-41560813.000000,92124943258.000000,118715558433.000000,180000000.000000
12M 2012,,,50613832135.000000,14361470534.000000,14349965535.000000,11504999.000000,14361470534.000000,,,,,,9735538165.000000,,23338773163.000000,98049613997.000000,,,1158766800.000000,31172094975.000000,14720052295.000000,,47050914070.000000,145100528067.000000,,,29749033028.000000,,25809621518.000000,446278891.000000,26255900409.000000,153626464.000000,,,153626464.000000,2485544900.000000,853961255.000000,,,29749033028.000000,2172538795.000000,,,2172538795.000000,2172538795.000000,31921571823.000000,,18000000000.000000,529666050.000000,94798465171.000000,,94798465171.000000,94798465171.000000,-149174977.000000,113178956244.000000,145100528067.000000,180000000.000000
12M 2013,,,65982811683.000000,10853173217.000000,10853173217.000000,,10853173217.000000,,,,,,16062727652.000000,,33991278647.000000,126889991199.000000,,,1167927154.000000,33184832220.000000,14893545834.000000,,49246305208.000000,176136296407.000000,,,34947792874.000000,,31337354203.000000,149718764.000000,31487072967.000000,36579170.000000,,,36579170.000000,2901849697.000000,522291040.000000,,,34947792874.000000,2371089739.000000,,,2371089739.000000,2371089739.000000,37318882613.000000,,18000000000.000000,529666050.000000,120681388157.000000,,120681388157.000000,120681388157.000000,-393640413.000000,138817413794.000000,176136296407.000000,180000000.000000
12M 2014,,,70974189441.000000,9317662847.000000,9317662847.000000,,9317662847.000000,,,,,,9084619107.000000,,36187251401.000000,125563722796.000000,,,1089211034.000000,32877606538.000000,14238319647.000000,388687000.000000,48593824219.000000,174157547015.000000,,,24837582186.000000,,23805865308.000000,105930253.000000,23911795561.000000,16511993.000000,,,16511993.000000,206218175.000000,703056457.000000,,,24837582186.000000,2679745925.000000,,,2679745925.000000,2679745925.000000,27517328111.000000,,18000000000.000000,529666050.000000,128311718247.000000,,128311718247.000000,128311718247.000000,-201165393.000000,146640218904.000000,174157547015.000000,180000000.000000
12M 2015,,,112630703156.000000,8422549863.000000,8422549863.000000,,8422549863.000000,,,,,,13238783961.000000,,2262973584.000000,136555010564.000000,,,1360939232.000000,31652065607.000000,13159542885.000000,388687000.000000,46561234724.000000,183116245288.000000,,,31337185002.000000,,30365301667.000000,188572073.000000,30553873740.000000,3586680.000000,,,3586680.000000,258232188.000000,521492394.000000,,,31337185002.000000,2674463531.000000,,,2674463531.000000,2674463531.000000,34011648533.000000,,18000000000.000000,529666050.000000,131322799257.000000,,131322799257.000000,131322799257.000000,-747868552.000000,149104596755.000000,183116245288.000000,180000000.000000
12M 2016,,,111954774302.000000,7364106377.000000,7168055236.000000,196051141.000000,7364106377.000000,,,,,,7351791153.000000,,2130804254.000000,128801476086.000000,,,3461284735.000000,32261750730.000000,11883973967.000000,882143400.000000,48489152832.000000,177290628918.000000,,,30523107064.000000,,29405574000.000000,216705310.000000,29622279310.000000,,,,,123903338.000000,776924416.000000,,,30523107064.000000,3234091785.000000,,,3234091785.000000,3234091785.000000,33757198849.000000,,18000000000.000000,529666050.000000,125094746871.000000,,125094746871.000000,125094746871.000000,-90982852.000000,143533430069.000000,177290628918.000000,720000000.000000
12M 2017,,,116069453677.000000,11126739229.000000,11126739229.000000,,11126739229.000000,,,,,,9266415834.000000,,1698791229.000000,138161399969.000000,,,898987161.000000,32551192675.000000,11007927237.000000,882143400.000000,45340250473.000000,183501650442.000000,,,25235541036.000000,,23305522517.000000,316121966.000000,23621644483.000000,,,,,899143707.000000,714752846.000000,,,25235541036.000000,3627177081.000000,,,3627177081.000000,3627177081.000000,28862718117.000000,,18000000000.000000,529666050.000000,136577350177.000000,,136577350177.000000,136577350177.000000,-468083902.000000,154638932325.000000,183501650442.000000,720000000.000000
12M 2018,,,149296593372.000000,15194542194.000000,15194542194.000000,,15194542194.000000,,,,,,11196210433.000000,,386847689.000000,176074193688.000000,,,396384597.000000,30857845879.000000,10034535847.000000,,41288766323.000000,217362960011.000000,,,30419618514.000000,,25403899510.000000,514560060.000000,25918459570.000000,,,,,3511342799.000000,989816145.000000,,,30419618514.000000,3788112567.000000,,,3788112567.000000,3788112567.000000,34207731081.000000,,18000000000.000000,529666050.000000,164465638726.000000,,164465638726.000000,164465638726.000000,159924154.000000,183155228930.000000,217362960011.000000,720000000.000000
12M 2019,,,166924738802.000000,10953941213.000000,10895831194.000000,58110019.000000,10953941213.000000,,,,,,10678336299.000000,,606234704.000000,189163251018.000000,,,260255535.000000,31274703735.000000,8842386839.000000,1020526647.000000,41397872756.000000,230561123774.000000,,,41766036803.000000,,37949617210.000000,508856381.000000,38458473591.000000,,29943617.000000,,29943617.000000,220662289.000000,1034963729.000000,,2021993577.000000,41766036803.000000,4560990628.000000,,,4560990628.000000,4560990628.000000,46327027431.000000,,18000000000.000000,529666050.000000,165833250855.000000,,165833250855.000000,165833250855.000000,-128820562.000000,184234096343.000000,230561123774.000000,720000000.000000
12M 2020,,,178465864260.000000,8587773121.000000,8587773121.000000,,8587773121.000000,,,,,,7215030929.000000,,558751029.000000,194827419339.000000,,,137854396.000000,29777490122.000000,9141725814.000000,1020526647.000000,40077596979.000000,234905016318.000000,,,41344686413.000000,,39830296000.000000,222549910.000000,40052845910.000000,,416556108.000000,,416556108.000000,422812429.000000,452471966.000000,,,41344686413.000000,4853900844.000000,,,4853900844.000000,4853900844.000000,46198587257.000000,,18000000000.000000,529666050.000000,170319334794.000000,,170319334794.000000,170319334794.000000,-142571783.000000,188706429061.000000,234905016318.000000,720000000.000000
12M 2021,,,177839978497.000000,7468747307.000000,7468747307.000000,,7468747307.000000,,,,,36880783306.000000,10958967210.000000,,670798307.000000,233819274627.000000,,,,28619552541.000000,8230712896.000000,,36850265437.000000,270669540064.000000,,,67363136940.000000,,36973890110.000000,265585028.000000,37239475138.000000,,225000000.000000,,225000000.000000,1692341202.000000,906320600.000000,27300000000.000000,,67363136940.000000,5540797491.000000,,107685011.000000,5433112480.000000,5540797491.000000,72903934431.000000,,18000000000.000000,529666050.000000,179955293292.000000,,179955293292.000000,179955293292.000000,-719353709.000000,197765605633.000000,270669540064.000000,720000000.000000
12M 2022,,,477601191.000000,17998577322.000000,17983214922.000000,15362400.000000,17998577322.000000,,,,,269792370697.000000,14737067329.000000,,256059916.000000,303261676455.000000,,,,33901503514.000000,7389816682.000000,,41291320196.000000,344552996651.000000,,,101907257891.000000,,99034883427.000000,363555662.000000,99398439089.000000,,25241980.000000,,25241980.000000,1648101208.000000,835475614.000000,,,101907257891.000000,4440733915.000000,,155398539.000000,4285335376.000000,4440733915.000000,106347991806.000000,,18000000000.000000,529666050.000000,219857692253.000000,,219857692253.000000,219857692253.000000,-182353458.000000,238205004845.000000,344552996651.000000,720000000.000000
12M 2023,,,872904563.000000,19896742888.000000,19896742888.000000,,19896742888.000000,,,,,277357852655.000000,18787091283.000000,,43320079.000000,316957911468.000000,,,,38070530226.000000,6584624973.000000,,44655155199.000000,361613066667.000000,,,101750696413.000000,,99625193000.000000,627337574.000000,100252530574.000000,,,,,633458198.000000,864707641.000000,,,101750696413.000000,2618421937.000000,,575746785.000000,2042675152.000000,2618421937.000000,104369118350.000000,,18000000000.000000,529666050.000000,237388144871.000000,,237388144871.000000,237388144871.000000,1326137396.000000,257243948317.000000,361613066667.000000,720000000.000000
12M 2024,,,785892073.000000,23179503866.000000,23179503866.000000,,23179503866.000000,,,,,306062370319.000000,22662270701.000000,,42861103.000000,352732898062.000000,,,,37678566914.000000,6292264825.000000,,43970831739.000000,396703729801.000000,,,114656450550.000000,,113076170000.000000,438339747.000000,113514509747.000000,,,,,308515867.000000,833424936.000000,,,114656450550.000000,2390769651.000000,,681103427.000000,1709666224.000000,2390769651.000000,117047220201.000000,,18000000000.000000,529666050.000000,259800499772.000000,,259800499772.000000,259800499772.000000,1326343778.000000,279656509600.000000,396703729801.000000,720000000.000000
