Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Pemasok,Karyawan Dan Pihak Lainnya",Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,"Total Pembayaran Kas Kepada Pemasok,Karyawan Dan Pihak Lainnya",Pembayaran Lainnya,Penghasilan Bunga,Laba Penjualan Aset Tetap,Pembayaran Dividen,Laba Yang Direaliasi Atas Penjualan Efek,Pembayaran Bunga Dan Beban Keuangan,Penerimaan Restitusi Pajak,Pembayaran Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Dividen Tunai,Investasi Saham Dan Deposito,Pencairan Deposito,Laba Investasi Saham Jangka Pendek,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penarikan Pinjaman Bank Jangka Pendek,Pembayaran Dividen,Penghasilan Bunga,Penambahan (Pembayaran) Utang Bank Jangka Pendek,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,21114989041.000000,196361432829.000000,-169081687997.000000,,,-169081687997.000000,,214323729.000000,,,,,97152555.000000,-6476232075.000000,21114989041.000000,-44612000.000000,-44612000.000000,,,,,,,-44612000.000000,,,,,,,21070377041.000000,8219521760.000000,4528023544.000000,33817922345.000000
12M 2009,10821274745.000000,145115027315.000000,-125645512765.000000,,,-125645512765.000000,,768355486.000000,,,,,,-9416595291.000000,10821274745.000000,-26467979938.000000,-319259938.000000,,,-26148720000.000000,,,,-26467979938.000000,,,,,,,-15646705193.000000,33817922345.000000,-4657028762.000000,13514188390.000000
12M 2010,21402190054.000000,141768664593.000000,-117318445089.000000,,,-117318445089.000000,,178346703.000000,,,,,,-3226376153.000000,21402190054.000000,-5003560382.000000,-1553599753.000000,,,-3449960629.000000,,,,-5003560382.000000,,,,,,,16398629672.000000,13514188389.000000,-631411899.000000,29281406162.000000
12M 2011,33565190036.000000,163903181370.000000,-128186015760.000000,,,-128186015760.000000,,243120292.000000,2000000.000000,,824878459.000000,,,-3221974325.000000,33565190036.000000,-62713670238.000000,-3662908321.000000,,,-59050761917.000000,,,,-62713670238.000000,,,,,,,-29148480202.000000,29281406162.000000,-187080.000000,132738880.000000
12M 2012,26137526275.000000,174944928949.000000,-139193799976.000000,,,-139193799976.000000,,939880242.000000,282000000.000000,-3600000000.000000,,,,-7235482940.000000,26137526275.000000,24345736587.000000,-5693156416.000000,,,30038893003.000000,,,,24345736587.000000,,,,,,,50483262862.000000,132738880.000000,-2169607.000000,50613832135.000000
12M 2013,11077976307.000000,128399593536.000000,,-102762880956.000000,-8506005932.000000,-111268886888.000000,-1336087772.000000,1961416241.000000,,,,,,-6678058810.000000,11077976307.000000,-8006124304.000000,-1022629432.000000,,,-6983494872.000000,,,,-8006124304.000000,,,,,,,3071852003.000000,50613832135.000000,12297127545.000000,65982811683.000000
12M 2014,7643755010.000000,107121805966.000000,,-85623814035.000000,-8882680473.000000,-94506494508.000000,-2071585931.000000,2264335983.000000,,,,,,-5164306500.000000,7643755010.000000,-3154308652.000000,-543032721.000000,,,-2726275931.000000,,,115000000.000000,-3154308652.000000,,,,,,,4489446358.000000,65982811683.000000,501931400.000000,70974189441.000000
12M 2015,-1520287645.000000,75336568231.000000,,-62800914374.000000,-9530154959.000000,-72331069333.000000,-2854532857.000000,3367801314.000000,,-3600000000.000000,,,,-1439055000.000000,-1520287645.000000,41537137718.000000,-309167774.000000,,,41766305492.000000,,,80000000.000000,41537137718.000000,,,,,,,40016850073.000000,70974189441.000000,1639663642.000000,112630703156.000000
12M 2016,-1794007269.000000,70090606223.000000,,-59345358255.000000,-9852930696.000000,-69198288951.000000,-3087335235.000000,1163403491.000000,,,,,335399853.000000,-1097792650.000000,-1794007269.000000,-855788305.000000,-19005000.000000,,,-836783305.000000,,,,-855788305.000000,,,,,,,-2649795574.000000,112630703156.000000,1973866720.000000,111954774302.000000
12M 2017,6005724423.000000,93065461510.000000,,-74494081638.000000,-11442442088.000000,-85936523726.000000,-2441322314.000000,1332895112.000000,,,,,,-14786159.000000,6005724423.000000,-3968875340.000000,-182050000.000000,,,-3786825340.000000,,,,-3968875340.000000,,,,,,,2036849083.000000,111954774302.000000,2077830292.000000,116069453677.000000
