Period,Arus Kas Dari Aktivitas Operasi,"Penerimaan Bunga, Provisi Dan Komisi Dan Pendapatan Syariah",Penerimaan Bunga,Penerimaan Pendapatan Syariah,"Total Penerimaan Bunga, Provisi Dan Komisi Dan Pendapatan Syariah","Pembayaran Bunga, Beban Dan Komisi Dan Pendapatan Syariah",Pembayaran Bunga,Pembayaran Beban Syariah,"Total Pembayaran Bunga, Beban Dan Komisi Dan Pendapatan Syariah",Keuntungan (Kerugian) Transaksi Mata Uang Asing Kurs,Pendapatan Operasional Lainnya,Penerimaan Kembali Kredit Yang Telah Dihapusbukukan,Pembayaran Gaji Dan Tunjangan Karyawan,Beban Operasional Lainnya,Pendapatan (Beban) Non-Operasional,Beban Bukan Operasional,Kerugian Atas Transaksi Valuta Asing,Pembayaran Pajak Penghasilan Badan,Adjustment,Kenaikan (Penurunan) Aset Operasi :,Surat-Surat Berharga Diperdagangkan,Penempatan Pada Bank Indonesia Dan Bank Lain,Surat-Surat Berharga - Kredit Yang Diberikan Dan Piutang,Surat-Surat Berharga Yang Dibeli Dengan Janji Dijual Kembali,Kredit Yang Diberikan Dan Pembiayaan /Piutang Syariah,Tagihan Akseptasi,Aset Lain-Lain,Total Kenaikan (Penurunan) Aset Operasi :,Kenaikan (Penurunan) Liabilitas Operasi :,Surat Berharga Yang Dijual Dengan Janji Dibeli Kembali,Simpanan Nasabah :,Giro,Tabungan,Deposito Berjangka,Total Simpanan Nasabah :,Simpanan Dari Bank Lain,Liabilitas Akseptasi,Utang Pajak,Liabilitas Segera Dan Lain-Lain,Liabilitas Segera,Liabilitas Lain-Lain,Total Liabilitas Segera Dan Lain-Lain,Total Kenaikan (Penurunan) Liabilitas Operasi :,Hak Minoritas,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Penjualan Surat-Surat Berharga Yang Tersedia Untuk Dijual,Penerimaan Dari Surat-Surat Berharga Yang Jatuh Tempo,"Penjualan (Pembelian) Surat-Surat Berharga Yang Tersedia Untuk Dijual,Dimiliki Hingga Jatuh Tempo Dan Biaya Perolehan",Penerimaan (Pembayaran) Surat-Surat Berharga Yang Dibeli Dengan Janji Dijual Kembali,Penerimaan,Pembayaran,Total Penerimaan (Pembayaran) Surat-Surat Berharga Yang Dibeli Dengan Janji Dijual Kembali,Pembayaran Atas Surat-Surat Berharga Yang Dijual Dengan Janji Dibeli Kembali,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Kas Bersih Diperoleh Melalui Akuisisi Anak Perusahaan,Perolehan Perangkat Lunak,Penurunan (Kenaikan) Penyertaan Saham,Penerimaan (Pengeluaran) Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Dari Surat-Surat Berharga Yang Dijual Dengan Janji Dibeli Kembali,Penerimaan Atas Jatuh Tempo Surat-Surat Berharga Yang Dijual Dengan Janji Dibeli Kembali,Pembayaran Atas Jatuh Tempo Surat-Surat Berharga Yang Dijual Dengan Janji Dibeli Kembali,Kenaikan (Penurunan) Dari Surat-Surat Berharga Yang Dibeli Dengan Janji Dijual Kembali,Kenaikan (Penurunan) Efek Yang Diterbitkan,Pembayaran Atas Surat Berharga Yang Diterbitkan,Penerimaan Dari Pinjaman Yang Diterima,Pembayaran Pinjaman Yang Diterima,Penerimaan Pinjaman Subordinasi,Pembagian Deviden Kas,Eksekusi Opsi Kepemilikan Saham Oleh Karyawan,Penerimaan Modal Disetor Dan Agio Saham Dari Penawaran Umum Terbatas Iv,Penerimaan Modal Disetor Dan Agio Saham Dari Penawaran Umum Terbatas Iii,Penerimaan Modal Disetor Dan Agio Saham Dari Penawaran Umum Terbatas Ii,Penerimaan Modal Disetor Dan Agio Saham Dari Penawaran Umum Terbatas I,Penerimaan Modal Dari Penawaran Umum Terbatas Vi,Penerimaan Modal Dari Penawaran Umum Terbatas Vii,Penerimaan Modal Disetor Dari Penawaran Umum Saham,Penerimaan Agio Saham Dari Penawaran Umum Saham,Penerimaan Modal Disetor Dari Penawaran Eksekusi Opsi Saham,Penerimaan Agio Saham Dari Penawaran Eksekusi Opsi Saham,Penerimaan Atas Penerbitan Obligasi Senior,Penerimaan Dana Setoran Modal,Biaya Penerbitan Surat Berharga Yang Diterbitkan,Pembayaran Surat Berharga Yang Telah Jatuh Tempo Dan Obligasi Subordinasi,Penerimaan Dari Surat Beharga Yang Diterbitkan,Penerimaan Dari Kik-Eba,Pembelian Kembali Surat-Surat Berharga Yang Diterbitkan,Penerimaan (Pengeluaran) Kas Lainnya,Adjustment,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2006,7003119000000.000000,,3057647000000.000000,,3057647000000.000000,,-1828028000000.000000,,-1828028000000.000000,,171571000000.000000,129213000000.000000,-336074000000.000000,-418755000000.000000,29899000000.000000,,,-127091000000.000000,,,8492000000.000000,917029000000.000000,,22810000000.000000,-1027055000000.000000,-28854000000.000000,118009000000.000000,10431000000.000000,,494650000000.000000,,594591000000.000000,274022000000.000000,3856948000000.000000,4725561000000.000000,251673000000.000000,28457000000.000000,-105173000000.000000,,904839000000.000000,14299000000.000000,919138000000.000000,6314306000000.000000,,,7003119000000.000000,-7139910000000.000000,,,-7024278000000.000000,,,,,,-83083000000.000000,1769000000.000000,2557000000.000000,,-36875000000.000000,,,-7139910000000.000000,61125000000.000000,,,,,,,36725000000.000000,-129167000000.000000,,-115504000000.000000,,,,,,,,84377000000.000000,184694000000.000000,,,,,,,,,,,,,61125000000.000000,-75666000000.000000,2827198000000.000000,,2751532000000.000000
12M 2007,-2197021000000.000000,,3242188000000.000000,,3242188000000.000000,,-1924430000000.000000,,-1924430000000.000000,,224336000000.000000,104134000000.000000,-377999000000.000000,-510822000000.000000,18138000000.000000,,,-194640000000.000000,,,5983000000.000000,-648095000000.000000,,-7085000000.000000,-4520827000000.000000,-12269000000.000000,-128212000000.000000,-5310505000000.000000,,-494650000000.000000,,553838000000.000000,970806000000.000000,2882198000000.000000,4406842000000.000000,-53688000000.000000,12269000000.000000,-9917000000.000000,,-1380922000000.000000,52645000000.000000,-1328277000000.000000,2532579000000.000000,,,-2197021000000.000000,3679579000000.000000,,,3779474000000.000000,,,,,,-101479000000.000000,1584000000.000000,,,,,,3679579000000.000000,-50428000000.000000,,,,,,,43797000000.000000,,,-126086000000.000000,41861000000.000000,,,,,,,,,,,,,,,,,-10000000000.000000,,,,-50428000000.000000,1432130000000.000000,2751532000000.000000,,4183662000000.000000
12M 2008,-2594636000000.000000,,3418291000000.000000,,3418291000000.000000,,-1893196000000.000000,,-1893196000000.000000,,361517000000.000000,37821000000.000000,-425012000000.000000,-615938000000.000000,-29752000000.000000,,,-185642000000.000000,,,159187000000.000000,2213172000000.000000,,-77938000000.000000,-3986815000000.000000,-57040000000.000000,25249000000.000000,-1724185000000.000000,,,,-3072665000000.000000,1151188000000.000000,150805000000.000000,-1770672000000.000000,266039000000.000000,57040000000.000000,23381000000.000000,,-30324000000.000000,-84004000000.000000,-114328000000.000000,-1538540000000.000000,,,-2594636000000.000000,1797571000000.000000,,,2007335000000.000000,,,,,,-135696000000.000000,25932000000.000000,,,-100000000000.000000,,,1797571000000.000000,-731454000000.000000,,,,,,,89412000000.000000,-59035000000.000000,,-187563000000.000000,732000000.000000,,,,,,,,,,,,,,,,,-575000000000.000000,,,,-731454000000.000000,-1528519000000.000000,4183662000000.000000,,2655143000000.000000
12M 2009,-2119392000000.000000,,3676394000000.000000,,3676394000000.000000,,-2312962000000.000000,,-2312962000000.000000,-11651000000.000000,389543000000.000000,39929000000.000000,-463796000000.000000,-719316000000.000000,-19712000000.000000,,,-193478000000.000000,,,-6008436000000.000000,895945000000.000000,,,-1632497000000.000000,86069000000.000000,-64243000000.000000,-6723162000000.000000,,,,1643342000000.000000,2334070000000.000000,416885000000.000000,4394297000000.000000,-13936000000.000000,-86069000000.000000,-5143000000.000000,,-57239000000.000000,-13091000000.000000,-70330000000.000000,4218819000000.000000,,,-2119392000000.000000,2135984000000.000000,,,2261573000000.000000,,,,,,-142712000000.000000,17123000000.000000,,,,,,2135984000000.000000,99057000000.000000,,,,110980000000.000000,,,62169000000.000000,-78667000000.000000,,-110634000000.000000,3957000000.000000,,,,111252000000.000000,,,,,,,,,,,,,,,,,99057000000.000000,115649000000.000000,2655143000000.000000,,2770792000000.000000
12M 2010,5185523000000.000000,,3806581000000.000000,,3806581000000.000000,,-2035532000000.000000,,-2035532000000.000000,1625000000.000000,496596000000.000000,97506000000.000000,-539397000000.000000,-919027000000.000000,16377000000.000000,,,-160967000000.000000,,,,,,,-5624066000000.000000,3751000000.000000,19260000000.000000,-5601055000000.000000,,,,2011912000000.000000,2710970000000.000000,4738870000000.000000,9461752000000.000000,518028000000.000000,-3751000000.000000,10941000000.000000,,103604000000.000000,-67758000000.000000,35846000000.000000,10022816000000.000000,,,5185523000000.000000,-4889781000000.000000,,,-4814489000000.000000,,,,,,-76975000000.000000,1683000000.000000,,,,,,-4889781000000.000000,-318812000000.000000,,,,-93257000000.000000,,,25293000000.000000,-139786000000.000000,,-181095000000.000000,70033000000.000000,,,,,,,,,,,,,,,,,,,,,-318812000000.000000,-23070000000.000000,9464975000000.000000,,9441905000000.000000
12M 2011,-3205341000000.000000,,4533060000000.000000,,4533060000000.000000,,-2493333000000.000000,,-2493333000000.000000,3444000000.000000,578259000000.000000,77235000000.000000,-586182000000.000000,-924986000000.000000,3665000000.000000,,,-207188000000.000000,,,-206000000.000000,,-7988000000.000000,,-10623001000000.000000,-102370000000.000000,-41039000000.000000,-10774604000000.000000,,,,-1356184000000.000000,1931431000000.000000,5983323000000.000000,6558570000000.000000,-285893000000.000000,102370000000.000000,1511000000.000000,,218919000000.000000,-10188000000.000000,208731000000.000000,6585289000000.000000,,,-3205341000000.000000,80333000000.000000,,,4151237000000.000000,-3979278000000.000000,,,-3979278000000.000000,,-73005000000.000000,5825000000.000000,,-24446000000.000000,,,,80333000000.000000,2344377000000.000000,1597047000000.000000,,,,,,158135000000.000000,-153179000000.000000,,-172409000000.000000,8135000000.000000,,,906648000000.000000,,,,,,,,,,,,,,,,,,2344377000000.000000,-780631000000.000000,9441905000000.000000,-36105000000.000000,8625169000000.000000
12M 2012,2877767000000.000000,,5019110000000.000000,,5019110000000.000000,,-2652569000000.000000,,-2652569000000.000000,-4538000000.000000,613334000000.000000,43358000000.000000,-682642000000.000000,-1002866000000.000000,-7037000000.000000,,,-224182000000.000000,,,-4099000000.000000,,-87486000000.000000,,-4804739000000.000000,22622000000.000000,-118231000000.000000,-4991933000000.000000,,,,311722000000.000000,2631036000000.000000,2921407000000.000000,5864165000000.000000,803479000000.000000,-22622000000.000000,6876000000.000000,,87477000000.000000,28357000000.000000,115834000000.000000,6767732000000.000000,,,2877767000000.000000,-925621000000.000000,,,867880000000.000000,,,-1738984000000.000000,-1738984000000.000000,,-53181000000.000000,61000000.000000,,-1397000000.000000,,,,-925621000000.000000,629983000000.000000,-1597047000000.000000,,,,,,1183984000000.000000,-230601000000.000000,,-221449000000.000000,7189000000.000000,,,,,,,,,,,,,,,1487907000000.000000,,,,,,629983000000.000000,2582129000000.000000,8625169000000.000000,46340000000.000000,11253638000000.000000
12M 2013,-939659000000.000000,,5962892000000.000000,,5962892000000.000000,,-3482881000000.000000,,-3482881000000.000000,,733420000000.000000,78971000000.000000,-784810000000.000000,-1188672000000.000000,-3409000000.000000,,,-210619000000.000000,,,-17841000000.000000,-26872000000.000000,95161000000.000000,,-2591002000000.000000,-482282000000.000000,-196800000000.000000,-3219636000000.000000,,,,423574000000.000000,518827000000.000000,190547000000.000000,1132948000000.000000,-218157000000.000000,482282000000.000000,-1994000000.000000,,-266748000000.000000,46754000000.000000,-219994000000.000000,1175085000000.000000,,,-939659000000.000000,-698342000000.000000,586524000000.000000,1164465000000.000000,-6049360000000.000000,,44922290000000.000000,-41070289000000.000000,3852001000000.000000,,-271520000000.000000,35594000000.000000,,-16046000000.000000,,,,-698342000000.000000,525881000000.000000,1038277000000.000000,,-365658000000.000000,,,,811084000000.000000,-1299677000000.000000,,-249458000000.000000,3822000000.000000,,343411000000.000000,,,,,,,,,,244080000000.000000,,,,,,,,,525881000000.000000,-1112120000000.000000,11253638000000.000000,377226000000.000000,10518744000000.000000
12M 2014,3435304000000.000000,,7005568000000.000000,,7005568000000.000000,,-4582777000000.000000,,-4582777000000.000000,,949956000000.000000,56165000000.000000,-879894000000.000000,-1337394000000.000000,17382000000.000000,,,-235872000000.000000,,,20554000000.000000,-77021000000.000000,-62521000000.000000,,-6840283000000.000000,645694000000.000000,-95587000000.000000,-6409164000000.000000,,,,-88533000000.000000,1159325000000.000000,8429830000000.000000,9500622000000.000000,31286000000.000000,-645694000000.000000,22701000000.000000,,-56261000000.000000,-1320000000.000000,-57581000000.000000,8851334000000.000000,,,3435304000000.000000,26490000000.000000,6089407000000.000000,671726000000.000000,-6357261000000.000000,,40066049000000.000000,-40236317000000.000000,-170268000000.000000,,-210681000000.000000,13792000000.000000,,-10225000000.000000,,,,26490000000.000000,-58227000000.000000,1928559000000.000000,,-2603249000000.000000,,,,2353992000000.000000,-1603157000000.000000,,-278913000000.000000,,,144541000000.000000,,,,,,,,,,,,,,,,,,,-58227000000.000000,3403567000000.000000,10518744000000.000000,-24790000000.000000,13897521000000.000000
12M 2015,476581000000.000000,,7619275000000.000000,552319000000.000000,8171594000000.000000,,-5027102000000.000000,-337331000000.000000,-5364433000000.000000,,1185212000000.000000,47865000000.000000,-997782000000.000000,-1419099000000.000000,4692000000.000000,,,-232880000000.000000,,,-108382000000.000000,97702000000.000000,14190000000.000000,,-10625080000000.000000,35771000000.000000,-788874000000.000000,-11374673000000.000000,,,,-952303000000.000000,1381234000000.000000,9870864000000.000000,10299795000000.000000,-44988000000.000000,-35771000000.000000,-7372000000.000000,,202181000000.000000,42240000000.000000,244421000000.000000,10456085000000.000000,,,476581000000.000000,-816414000000.000000,4690575000000.000000,4471902000000.000000,-9887628000000.000000,,14150572000000.000000,-13860197000000.000000,290375000000.000000,,-342775000000.000000,1249000000.000000,,-40512000000.000000,400000000.000000,,,-816414000000.000000,3238454000000.000000,8423676000000.000000,,-5342462000000.000000,,,,1888434000000.000000,-1908470000000.000000,,-217511000000.000000,,,,,,,,,,,,,,,,394787000000.000000,,,,,,3238454000000.000000,2898621000000.000000,13897521000000.000000,236879000000.000000,17033021000000.000000
