Period,Total Pendapatan,Pendapatan Bunga,Provisi Dan Komisi Kredit,Pendapatan Syariah,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Beban Syariah,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Keuntungan Dari Penjualan Aset-Aset Keuangan,Laba (Rugi) Selisih Kurs,Pemulihan Cadangan Kerugian Penurunan Nilai Aset Keuangan,Pemulihan Estimasi Kerugian Komitmen Dan Kontinjensi,Pemulihan Cadangan Kerugian Penurunan Nilai Aset Non- Keuangan,Keuntungan Dari Perubahan Nilai Wajar Efek-Efek,Kenaikan Nilai Wajar Aset Keuangan,Keuntungan Transaksi Mata Uang Asing,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Beban Operasional Lainnya,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Adjustment,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Pra Akuisisi,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Laba Pra Akuisisi,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2006,3068743000000.000000,2892843000000.000000,123034000000.000000,52866000000.000000,3068743000000.000000,-1842111000000.000000,-1813233000000.000000,-28878000000.000000,-1842111000000.000000,1226632000000.000000,-796505000000.000000,,26586000000.000000,,15136000000.000000,-144554000000.000000,-19175000000.000000,,9066000000.000000,,,128184000000.000000,15243000000.000000,,-433774000000.000000,-341169000000.000000,,-36805000000.000000,-811748000000.000000,-796505000000.000000,,430127000000.000000,29776000000.000000,459903000000.000000,-144397000000.000000,-161328000000.000000,16931000000.000000,,-144397000000.000000,315506000000.000000,-142000000.000000,-148000000.000000,315216000000.000000,,,,,315216000000.000000,315506000000.000000,-142000000.000000,-148000000.000000,315216000000.000000,,,,
12M 2007,3211879000000.000000,2960196000000.000000,187701000000.000000,63982000000.000000,3211879000000.000000,-1924020000000.000000,-1894839000000.000000,-29181000000.000000,-1924020000000.000000,1287859000000.000000,-759738000000.000000,,39387000000.000000,,27409000000.000000,-33001000000.000000,-1522000000.000000,-11066000000.000000,5212000000.000000,,,199447000000.000000,225866000000.000000,,-510504000000.000000,-418127000000.000000,,-56973000000.000000,-985604000000.000000,-759738000000.000000,,528121000000.000000,15490000000.000000,543611000000.000000,-168350000000.000000,-177068000000.000000,8718000000.000000,,-168350000000.000000,375261000000.000000,-135000000.000000,,375126000000.000000,,,,,375126000000.000000,375261000000.000000,-135000000.000000,,375126000000.000000,,,,
12M 2008,3371830000000.000000,3084410000000.000000,198700000000.000000,88720000000.000000,3371830000000.000000,-1903932000000.000000,-1872705000000.000000,-31227000000.000000,-1903932000000.000000,1467898000000.000000,-915115000000.000000,,80189000000.000000,,17602000000.000000,-85212000000.000000,635000000.000000,-3516000000.000000,-18222000000.000000,,,211602000000.000000,203078000000.000000,,-592052000000.000000,-464688000000.000000,,-61453000000.000000,-1118193000000.000000,-915115000000.000000,,552783000000.000000,-1946000000.000000,550837000000.000000,-181995000000.000000,-207103000000.000000,25108000000.000000,,-181995000000.000000,368842000000.000000,-62000000.000000,,368780000000.000000,,,,,368780000000.000000,368842000000.000000,-62000000.000000,,368780000000.000000,,,,
12M 2009,3687295000000.000000,3375081000000.000000,149770000000.000000,162444000000.000000,3687295000000.000000,-2304828000000.000000,-2201904000000.000000,-102924000000.000000,-2304828000000.000000,1382467000000.000000,-855969000000.000000,,88280000000.000000,68115000000.000000,41296000000.000000,15272000000.000000,-254000000.000000,-12600000000.000000,1653000000.000000,,-11651000000.000000,240362000000.000000,430473000000.000000,,-752259000000.000000,-475635000000.000000,,-58548000000.000000,-1286442000000.000000,-855969000000.000000,,526498000000.000000,-6165000000.000000,520333000000.000000,-158096000000.000000,-160724000000.000000,2628000000.000000,,-158096000000.000000,362237000000.000000,-46000000.000000,,362191000000.000000,,,,,362191000000.000000,362237000000.000000,-46000000.000000,,362191000000.000000,,,,
12M 2010,3832626000000.000000,3629908000000.000000,,202718000000.000000,3832626000000.000000,-2036101000000.000000,-1926959000000.000000,-109142000000.000000,-2036101000000.000000,1796525000000.000000,-1160254000000.000000,,395510000000.000000,38769000000.000000,20623000000.000000,-131710000000.000000,-4901000000.000000,-5469000000.000000,-235000000.000000,,1625000000.000000,64248000000.000000,378460000000.000000,,-911052000000.000000,-556307000000.000000,,-71355000000.000000,-1538714000000.000000,-1160254000000.000000,,636271000000.000000,30794000000.000000,667065000000.000000,-174304000000.000000,-181406000000.000000,7102000000.000000,,-174304000000.000000,492761000000.000000,-162000000.000000,,492599000000.000000,,,,,492599000000.000000,492761000000.000000,-162000000.000000,,492599000000.000000,,,,
12M 2011,4617461000000.000000,4405214000000.000000,,212247000000.000000,4617461000000.000000,-2516190000000.000000,-2376334000000.000000,-139856000000.000000,-2516190000000.000000,2101271000000.000000,-1169080000000.000000,,457255000000.000000,18214000000.000000,63804000000.000000,-172263000000.000000,32783000000.000000,1898000000.000000,-451000000.000000,,3444000000.000000,97307000000.000000,501991000000.000000,,-970017000000.000000,-613296000000.000000,,-87758000000.000000,-1671071000000.000000,-1169080000000.000000,,932191000000.000000,8213000000.000000,940404000000.000000,-198926000000.000000,-183613000000.000000,-15313000000.000000,,-198926000000.000000,741478000000.000000,,,741478000000.000000,5780000000.000000,5780000000.000000,5780000000.000000,747258000000.000000,741478000000.000000,738163000000.000000,3315000000.000000,,741478000000.000000,747258000000.000000,743943000000.000000,3315000000.000000,747258000000.000000
12M 2012,5126381000000.000000,4842434000000.000000,,283947000000.000000,5126381000000.000000,-2664675000000.000000,-2498043000000.000000,-166632000000.000000,-2664675000000.000000,2461706000000.000000,-1395234000000.000000,,501322000000.000000,10288000000.000000,59209000000.000000,940000000.000000,,-156333000000.000000,725000000.000000,,-4538000000.000000,92930000000.000000,504543000000.000000,,-1073446000000.000000,-720481000000.000000,,-105850000000.000000,-1899777000000.000000,-1395234000000.000000,,1066472000000.000000,-7102000000.000000,1059370000000.000000,-224651000000.000000,-226864000000.000000,2213000000.000000,,-224651000000.000000,834719000000.000000,,,834719000000.000000,3818000000.000000,3818000000.000000,3818000000.000000,838537000000.000000,834719000000.000000,830489000000.000000,4230000000.000000,,834719000000.000000,838537000000.000000,834307000000.000000,4230000000.000000,838537000000.000000
12M 2013,5950023000000.000000,5583880000000.000000,,366143000000.000000,5950023000000.000000,-3506183000000.000000,-3287658000000.000000,-218525000000.000000,-3506183000000.000000,2443840000000.000000,-1269574000000.000000,,548303000000.000000,23612000000.000000,58114000000.000000,99513000000.000000,,4847000000.000000,-7000000.000000,,,155647000000.000000,890029000000.000000,,-1169001000000.000000,-873391000000.000000,,-117211000000.000000,-2159603000000.000000,-1269574000000.000000,,1174266000000.000000,19339000000.000000,1193605000000.000000,-258983000000.000000,-235180000000.000000,-23803000000.000000,,-258983000000.000000,934622000000.000000,,,934622000000.000000,-49993000000.000000,-49993000000.000000,-49993000000.000000,884629000000.000000,934622000000.000000,929712000000.000000,4910000000.000000,,934622000000.000000,884629000000.000000,879719000000.000000,4910000000.000000,884629000000.000000
12M 2014,7093455000000.000000,6641363000000.000000,,452092000000.000000,7093455000000.000000,-4620055000000.000000,-4297226000000.000000,-322829000000.000000,-4620055000000.000000,2473400000000.000000,-1529661000000.000000,,668330000000.000000,39042000000.000000,63405000000.000000,-164642000000.000000,-92000000.000000,-13123000000.000000,95000000.000000,,-10000000.000000,174028000000.000000,767033000000.000000,,-1294312000000.000000,-879894000000.000000,,-122488000000.000000,-2296694000000.000000,-1529661000000.000000,,943739000000.000000,27382000000.000000,971121000000.000000,-244313000000.000000,-226523000000.000000,-17790000000.000000,,-244313000000.000000,726808000000.000000,,,726808000000.000000,15675000000.000000,15675000000.000000,15675000000.000000,742483000000.000000,726808000000.000000,724447000000.000000,2361000000.000000,,726808000000.000000,742483000000.000000,740122000000.000000,2361000000.000000,742483000000.000000
12M 2015,8303973000000.000000,7832927000000.000000,,471046000000.000000,8303973000000.000000,-5406535000000.000000,-5056300000000.000000,-350235000000.000000,-5406535000000.000000,2897438000000.000000,-1724775000000.000000,,886131000000.000000,2844000000.000000,117544000000.000000,-363566000000.000000,92000000.000000,2248000000.000000,503000000.000000,,10000000.000000,171708000000.000000,817514000000.000000,,-1360376000000.000000,-1033260000000.000000,,-148653000000.000000,-2542289000000.000000,-1724775000000.000000,,1172663000000.000000,6065000000.000000,1178728000000.000000,-214421000000.000000,-244204000000.000000,29783000000.000000,,-214421000000.000000,964307000000.000000,,,964307000000.000000,-17313000000.000000,-17313000000.000000,-17313000000.000000,946994000000.000000,964307000000.000000,960425000000.000000,3882000000.000000,,964307000000.000000,946944000000.000000,942377000000.000000,4567000000.000000,946944000000.000000
12M 2016,9408677000000.000000,8833553000000.000000,,575124000000.000000,9408677000000.000000,-5815627000000.000000,-5432168000000.000000,-383459000000.000000,-5815627000000.000000,3593050000000.000000,-2203474000000.000000,,1059765000000.000000,26279000000.000000,56776000000.000000,-649057000000.000000,,-14132000000.000000,-274000000.000000,,-2014000000.000000,230787000000.000000,708130000000.000000,,-1563956000000.000000,-1179844000000.000000,,-167804000000.000000,-2911604000000.000000,-2203474000000.000000,,1389576000000.000000,-32406000000.000000,1357170000000.000000,-266535000000.000000,-259761000000.000000,-6774000000.000000,,-266535000000.000000,1090635000000.000000,,,1090635000000.000000,1200245000000.000000,1200245000000.000000,1200245000000.000000,2290880000000.000000,1090635000000.000000,1086605000000.000000,4030000000.000000,,1090635000000.000000,2290880000000.000000,2283240000000.000000,7640000000.000000,2290880000000.000000
12M 2017,9623094000000.000000,9092807000000.000000,,530287000000.000000,9623094000000.000000,-6489782000000.000000,-6112928000000.000000,-376854000000.000000,-6489782000000.000000,3133312000000.000000,-3011729000000.000000,,395831000000.000000,57651000000.000000,84001000000.000000,-810317000000.000000,,-8383000000.000000,274000000.000000,,4973000000.000000,229926000000.000000,-46044000000.000000,,-1741025000000.000000,-1034708000000.000000,,-189952000000.000000,-2965685000000.000000,-3011729000000.000000,,121583000000.000000,236000000.000000,121819000000.000000,14082000000.000000,-2729000000.000000,16811000000.000000,,14082000000.000000,135901000000.000000,,,135901000000.000000,39033000000.000000,39033000000.000000,39033000000.000000,174934000000.000000,135901000000.000000,135279000000.000000,622000000.000000,,135901000000.000000,174934000000.000000,174240000000.000000,694000000.000000,174934000000.000000
12M 2018,7980892000000.000000,7491899000000.000000,,488993000000.000000,7980892000000.000000,-5387749000000.000000,-5082247000000.000000,-305502000000.000000,-5387749000000.000000,2593143000000.000000,-2448256000000.000000,,445897000000.000000,91268000000.000000,36367000000.000000,-467365000000.000000,,-1829000000.000000,,,-2846000000.000000,210061000000.000000,311553000000.000000,,-1604349000000.000000,-996636000000.000000,,-158824000000.000000,-2759809000000.000000,-2448256000000.000000,,144887000000.000000,71448000000.000000,216335000000.000000,-26365000000.000000,-47348000000.000000,20983000000.000000,,-26365000000.000000,189970000000.000000,,,189970000000.000000,188966000000.000000,188966000000.000000,188966000000.000000,378936000000.000000,189970000000.000000,189595000000.000000,375000000.000000,,189970000000.000000,378936000000.000000,378410000000.000000,526000000.000000,378936000000.000000
12M 2019,7764858000000.000000,7289461000000.000000,,475397000000.000000,7764858000000.000000,-5750319000000.000000,-5422479000000.000000,-327840000000.000000,-5750319000000.000000,2014539000000.000000,-1918841000000.000000,,538496000000.000000,28304000000.000000,32254000000.000000,102139000000.000000,,-3312000000.000000,226000000.000000,,2000000.000000,184826000000.000000,882935000000.000000,,-1766688000000.000000,-885408000000.000000,,-149680000000.000000,-2801776000000.000000,-1918841000000.000000,,95698000000.000000,38096000000.000000,133794000000.000000,82955000000.000000,-5447000000.000000,-31844000000.000000,120246000000.000000,82955000000.000000,216749000000.000000,,,216749000000.000000,94299000000.000000,94299000000.000000,94299000000.000000,311048000000.000000,216749000000.000000,216324000000.000000,425000000.000000,,216749000000.000000,311048000000.000000,310605000000.000000,443000000.000000,311048000000.000000
12M 2020,5308366000000.000000,4948179000000.000000,,360187000000.000000,5308366000000.000000,-4756310000000.000000,-4498700000000.000000,-257610000000.000000,-4756310000000.000000,552056000000.000000,-4502928000000.000000,,665893000000.000000,165191000000.000000,-6816000000.000000,-2622451000000.000000,-29689000000.000000,-14722000000.000000,-226000000.000000,,-108266000000.000000,206481000000.000000,-1744605000000.000000,,-1742001000000.000000,-872063000000.000000,,-144259000000.000000,-2758323000000.000000,-4502928000000.000000,,-3950872000000.000000,28003000000.000000,-3922869000000.000000,664760000000.000000,-2411000000.000000,667171000000.000000,,664760000000.000000,-3258109000000.000000,,,-3258109000000.000000,216319000000.000000,216319000000.000000,216319000000.000000,-3041790000000.000000,-3258109000000.000000,-3255895000000.000000,-2214000000.000000,,-3258109000000.000000,-3041790000000.000000,-3039576000000.000000,-2214000000.000000,-3041790000000.000000
12M 2021,4217615000000.000000,3919306000000.000000,,298309000000.000000,4217615000000.000000,-3388098000000.000000,-3169293000000.000000,-218805000000.000000,-3388098000000.000000,829517000000.000000,-3919538000000.000000,,419959000000.000000,19498000000.000000,-423525000000.000000,-1051148000000.000000,24968000000.000000,-95606000000.000000,-12683000000.000000,,107115000000.000000,135233000000.000000,-876189000000.000000,,-1858758000000.000000,-1105054000000.000000,,-79537000000.000000,-3043349000000.000000,-3919538000000.000000,,-3090021000000.000000,-54004000000.000000,-3144025000000.000000,841746000000.000000,-525000000.000000,842271000000.000000,,841746000000.000000,-2302279000000.000000,,,-2302279000000.000000,3135000000.000000,3135000000.000000,3135000000.000000,-2299144000000.000000,-2302279000000.000000,-2282245000000.000000,-20034000000.000000,,-2302279000000.000000,-2299144000000.000000,-2279110000000.000000,-20034000000.000000,-2299144000000.000000
12M 2022,4128670000000.000000,3721413000000.000000,,407257000000.000000,4128670000000.000000,-3079167000000.000000,-2828375000000.000000,-250792000000.000000,-3079167000000.000000,1049503000000.000000,-6106271000000.000000,,323340000000.000000,13082000000.000000,31815000000.000000,-3948482000000.000000,-2272000000.000000,-81325000000.000000,-147542000000.000000,,-1919000000.000000,131272000000.000000,-3682031000000.000000,,-1571018000000.000000,-734432000000.000000,,-118790000000.000000,-2424240000000.000000,-6106271000000.000000,,-5056768000000.000000,-88888000000.000000,-5145656000000.000000,113152000000.000000,,113152000000.000000,,113152000000.000000,-5032504000000.000000,,,-5032504000000.000000,43205000000.000000,43205000000.000000,43205000000.000000,-4989299000000.000000,-5032504000000.000000,-5027460000000.000000,-5044000000.000000,,-5032504000000.000000,-4989299000000.000000,-4984356000000.000000,-4943000000.000000,-4989299000000.000000
