Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pihak Berelasi,Pihak Ketiga,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Obligasi Pemerintah,Aset Tetap,Others,Total Aset Tetap,Aset Pajak Tangguhan,Goodwill,Aset Tak Berwujud,Others,Total Aset Tak Berwujud,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Simpanan Dari Bank Lain,Liabilitas Derivatif,Liabilitas Akseptasi,Pinjaman Yang Diterima,Obligasi Subordinasi,Beban Akrual,Utang Pajak,Liabilitas Pajak Tangguhan,Adjustment,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2006,,275562000000.000000,2422298000000.000000,,98208000000.000000,3024574000000.000000,,3122782000000.000000,,,4731719000000.000000,9676876000000.000000,,14408595000000.000000,,,268882000000.000000,268882000000.000000,10155000000.000000,,,859000000.000000,859000000.000000,11047010000000.000000,31556143000000.000000,,,1589403000000.000000,24885036000000.000000,5179673000000.000000,19705363000000.000000,24885036000000.000000,914290000000.000000,211433000000.000000,702857000000.000000,914290000000.000000,260000000.000000,65561000000.000000,851991000000.000000,585000000000.000000,,86173000000.000000,,,905630000000.000000,29883344000000.000000,,773756000000.000000,184694000000.000000,703661000000.000000,,,703661000000.000000,,4796000000.000000,5892000000.000000,1672799000000.000000,31556143000000.000000,5625103528.000000
12M 2007,,421803000000.000000,3687390000000.000000,,176517000000.000000,3580998000000.000000,,3757515000000.000000,,,5428371000000.000000,13372971000000.000000,,18801342000000.000000,,,321991000000.000000,321991000000.000000,18873000000.000000,,,668000000.000000,668000000.000000,7436595000000.000000,34446177000000.000000,,,208481000000.000000,29291878000000.000000,3257331000000.000000,26034547000000.000000,29291878000000.000000,860602000000.000000,304200000000.000000,556402000000.000000,860602000000.000000,699000000.000000,77830000000.000000,895788000000.000000,575000000000.000000,,58684000000.000000,,,507491000000.000000,32476453000000.000000,,782479000000.000000,217832000000.000000,952701000000.000000,,,952701000000.000000,,4931000000.000000,11781000000.000000,1969724000000.000000,34446177000000.000000,5712338028.000000
12M 2008,,683155000000.000000,1199882000000.000000,,,1523430000000.000000,,1523430000000.000000,,,30000000000.000000,22371357000000.000000,,22401357000000.000000,,,407528000000.000000,407528000000.000000,75046000000.000000,,,295711000000.000000,295711000000.000000,6046954000000.000000,32633063000000.000000,,,178157000000.000000,27521206000000.000000,317390000000.000000,27203816000000.000000,27521206000000.000000,1126641000000.000000,,1126641000000.000000,1126641000000.000000,2233000000.000000,134870000000.000000,922566000000.000000,,,103526000000.000000,,,475894000000.000000,30465093000000.000000,,782633000000.000000,218410000000.000000,1133918000000.000000,,,1133918000000.000000,,4803000000.000000,28206000000.000000,2167970000000.000000,32633063000000.000000,5713859028.000000
12M 2009,,767238000000.000000,1525404000000.000000,,,620392000000.000000,,620392000000.000000,,,7299913000000.000000,16713809000000.000000,,24013722000000.000000,,,628413000000.000000,628413000000.000000,77706000000.000000,,,275837000000.000000,275837000000.000000,9264606000000.000000,37173318000000.000000,,,120918000000.000000,31915503000000.000000,1693215000000.000000,30222288000000.000000,31915503000000.000000,1112705000000.000000,,1112705000000.000000,1112705000000.000000,2571000000.000000,48801000000.000000,906545000000.000000,,,65629000000.000000,,,459282000000.000000,34631954000000.000000,,812062000000.000000,304190000000.000000,1385475000000.000000,,,1385475000000.000000,,4849000000.000000,34788000000.000000,2541364000000.000000,37173318000000.000000,6008158296.000000
12M 2010,,778743000000.000000,2799972000000.000000,,,5473939000000.000000,,5473939000000.000000,,,6416441000000.000000,22981880000000.000000,,29398321000000.000000,,,632192000000.000000,632192000000.000000,89862000000.000000,,,255963000000.000000,255963000000.000000,8060374000000.000000,47489366000000.000000,,,224522000000.000000,41377255000000.000000,2147700000000.000000,39229555000000.000000,41377255000000.000000,1630733000000.000000,170000000.000000,1630563000000.000000,1630733000000.000000,901000000.000000,45050000000.000000,792052000000.000000,,,97009000000.000000,,,429886000000.000000,44597408000000.000000,,826656000000.000000,359629000000.000000,1684140000000.000000,,,1684140000000.000000,,5011000000.000000,16522000000.000000,2891958000000.000000,47489366000000.000000,6154100296.000000
12M 2011,,747411000000.000000,3476496000000.000000,,,4250166000000.000000,-48252000000.000000,4201914000000.000000,,,,40748306000000.000000,-897153000000.000000,39851153000000.000000,,,624507000000.000000,624507000000.000000,73398000000.000000,,,272036000000.000000,272036000000.000000,7936548000000.000000,57183463000000.000000,,,443523000000.000000,47929226000000.000000,,47929226000000.000000,47929226000000.000000,1359424000000.000000,,1359424000000.000000,1359424000000.000000,,151258000000.000000,810076000000.000000,,,74944000000.000000,,,2040918000000.000000,52809369000000.000000,,1006749000000.000000,1094319000000.000000,2249894000000.000000,,,2249894000000.000000,,8326000000.000000,14806000000.000000,4374094000000.000000,57183463000000.000000,7955034791.000000
12M 2012,,908662000000.000000,4012427000000.000000,,,6139578000000.000000,-35321000000.000000,6104257000000.000000,,,,45530740000000.000000,-936059000000.000000,44594681000000.000000,,,608075000000.000000,608075000000.000000,74338000000.000000,,,230393000000.000000,230393000000.000000,9156997000000.000000,65689830000000.000000,,,531857000000.000000,53957758000000.000000,,53957758000000.000000,53957758000000.000000,2177280000000.000000,,2177280000000.000000,2177280000000.000000,,137446000000.000000,1791872000000.000000,1489347000000.000000,,84501000000.000000,,,523027000000.000000,60693088000000.000000,,1008252000000.000000,1100005000000.000000,2858934000000.000000,,,2858934000000.000000,,12556000000.000000,16995000000.000000,4996742000000.000000,65689830000000.000000,7970061291.000000
12M 2013,,1020193000000.000000,4563362000000.000000,,,4706044000000.000000,-33425000000.000000,4672619000000.000000,,,,48461043000000.000000,-797984000000.000000,47663059000000.000000,,,802257000000.000000,802257000000.000000,67198000000.000000,,,237459000000.000000,237459000000.000000,10431516000000.000000,69457663000000.000000,,,279451000000.000000,55822392000000.000000,,55822392000000.000000,55822392000000.000000,1975216000000.000000,,1975216000000.000000,1975216000000.000000,,729360000000.000000,1487859000000.000000,1491074000000.000000,,107068000000.000000,,,1351874000000.000000,63244294000000.000000,,1061315000000.000000,1394041000000.000000,3539188000000.000000,,,3539188000000.000000,,17466000000.000000,201359000000.000000,6213369000000.000000,69457663000000.000000,8500687441.000000
12M 2014,,1023317000000.000000,5156569000000.000000,,,7424367000000.000000,,7424367000000.000000,,,,55262577000000.000000,-918865000000.000000,54343712000000.000000,,,943283000000.000000,943283000000.000000,44184000000.000000,,,214025000000.000000,214025000000.000000,9901811000000.000000,79051268000000.000000,,,222014000000.000000,65390790000000.000000,,65390790000000.000000,65390790000000.000000,2006502000000.000000,,2006502000000.000000,2006502000000.000000,1425000000.000000,65827000000.000000,2218074000000.000000,1492082000000.000000,,120420000000.000000,,,712654000000.000000,72229788000000.000000,,1119908000000.000000,1724069000000.000000,3984722000000.000000,,,3984722000000.000000,,19827000000.000000,-27046000000.000000,6821480000000.000000,79051268000000.000000,9086620432.000000
12M 2015,,850473000000.000000,5467027000000.000000,,,10074600000000.000000,,10074600000000.000000,,,,66043142000000.000000,-1179851000000.000000,64863291000000.000000,,,1211292000000.000000,1211292000000.000000,74762000000.000000,,,239025000000.000000,239025000000.000000,11586032000000.000000,94366502000000.000000,,,421362000000.000000,76163970000000.000000,,76163970000000.000000,76163970000000.000000,1961514000000.000000,,1961514000000.000000,1961514000000.000000,,35760000000.000000,2287823000000.000000,1891333000000.000000,,124372000000.000000,,,3945189000000.000000,86831323000000.000000,,1119908000000.000000,1724069000000.000000,4718722000000.000000,,,4718722000000.000000,,24237000000.000000,-51757000000.000000,7535179000000.000000,94366502000000.000000,9086620432.000000
12M 2016,,679665000000.000000,5404563000000.000000,,,9407491000000.000000,,9407491000000.000000,,,,72474597000000.000000,-1507748000000.000000,70966849000000.000000,,,2658228000000.000000,2658228000000.000000,63289000000.000000,,,242963000000.000000,242963000000.000000,15982955000000.000000,105406003000000.000000,,,557280000000.000000,83869295000000.000000,,83869295000000.000000,83869295000000.000000,2047732000000.000000,,2047732000000.000000,2047732000000.000000,2014000000.000000,231454000000.000000,1295106000000.000000,2352109000000.000000,,108493000000.000000,,,5404587000000.000000,95868070000000.000000,,1119908000000.000000,1724069000000.000000,5518897000000.000000,,,5518897000000.000000,,31877000000.000000,1143181000000.000000,9537932000000.000000,105406002000000.000000,9086620432.000000
12M 2017,,678480000000.000000,4618073000000.000000,,,9563256000000.000000,,9563256000000.000000,,,,72632404000000.000000,-2152584000000.000000,70479820000000.000000,,,2755288000000.000000,2755288000000.000000,53157000000.000000,,,249310000000.000000,249310000000.000000,18045614000000.000000,106442998000000.000000,,,666912000000.000000,88586160000000.000000,,88586160000000.000000,88586160000000.000000,1584645000000.000000,,1584645000000.000000,1584645000000.000000,643000000.000000,170227000000.000000,846980000000.000000,3291894000000.000000,,63434000000.000000,,,4473152000000.000000,99684047000000.000000,,1119908000000.000000,1724069000000.000000,2712306000000.000000,,,2712306000000.000000,,21495000000.000000,1181174000000.000000,6758952000000.000000,106442999000000.000000,9086620432.000000
12M 2018,,816250000000.000000,4031064000000.000000,,,6354843000000.000000,,6354843000000.000000,,,,66444209000000.000000,-2078902000000.000000,64365307000000.000000,,,3075041000000.000000,3075041000000.000000,80241000000.000000,,,226337000000.000000,226337000000.000000,16694840000000.000000,95643923000000.000000,,,296666000000.000000,76149550000000.000000,,76149550000000.000000,76149550000000.000000,3121804000000.000000,,3121804000000.000000,3121804000000.000000,,134915000000.000000,1279392000000.000000,3295506000000.000000,,116184000000.000000,,,2655469000000.000000,87049486000000.000000,,1376437000000.000000,2923938000000.000000,2945004000000.000000,,,2945004000000.000000,,22021000000.000000,1327037000000.000000,8594437000000.000000,95643923000000.000000,11651908748.000000
12M 2019,,836192000000.000000,4101417000000.000000,,,4847957000000.000000,,4847957000000.000000,,,,69545545000000.000000,-1709772000000.000000,67835773000000.000000,,,3012215000000.000000,3012215000000.000000,21717000000.000000,,,247890000000.000000,247890000000.000000,19361087000000.000000,100264248000000.000000,,,488661000000.000000,80813460000000.000000,,80813460000000.000000,80813460000000.000000,1154348000000.000000,,1154348000000.000000,1154348000000.000000,,111321000000.000000,1072147000000.000000,1797946000000.000000,,89179000000.000000,,,5831701000000.000000,91358763000000.000000,,1376437000000.000000,2923938000000.000000,3200834000000.000000,,,3200834000000.000000,,22464000000.000000,1381812000000.000000,8905485000000.000000,100264248000000.000000,11651908748.000000
12M 2020,,600087000000.000000,1406196000000.000000,,,3680004000000.000000,,3680004000000.000000,,,427563000000.000000,60541011000000.000000,-4702358000000.000000,56266216000000.000000,,,3504403000000.000000,3504403000000.000000,987447000000.000000,,,203711000000.000000,203711000000.000000,13290514000000.000000,79938578000000.000000,,,1021561000000.000000,44042838000000.000000,114788000000.000000,43928050000000.000000,44042838000000.000000,13198900000000.000000,2810000000000.000000,10388900000000.000000,13198900000000.000000,112828000000.000000,66182000000.000000,3953365000000.000000,1800104000000.000000,,56987000000.000000,,,7219371000000.000000,71472136000000.000000,,3478571000000.000000,4769251000000.000000,-1408501000000.000000,,,-1408501000000.000000,,20250000000.000000,1606871000000.000000,8466442000000.000000,79938578000000.000000,32673251194.000000
