Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Pendapatan Keuangan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,138672232688.000000,-89306119024.000000,49366113664.000000,-48565951531.000000,,,-48565951531.000000,800162133.000000,546777783.000000,,-558950989.000000,,,1105728772.000000,546777783.000000,1346939916.000000,-72713355.000000,,,,-72713355.000000,1274226561.000000,134708740.000000,1408935301.000000,,,,,1408935301.000000,1274226561.000000,134708740.000000,1408935301.000000,,,,
12M 2009,70544943658.000000,-45306911607.000000,25238032051.000000,-54843388909.000000,,,-54843388909.000000,-29605356858.000000,9237821.000000,,-972333502.000000,,,981571323.000000,9237821.000000,-29596119037.000000,758477761.000000,,,,758477761.000000,-28837641276.000000,363063241.000000,-28474578035.000000,,,,,-28474578035.000000,-28837641276.000000,363063241.000000,-28474578035.000000,,,,
12M 2010,13841329053.000000,-8810038869.000000,5031290184.000000,-16368594143.000000,,,-16368594143.000000,-11337303959.000000,282096164.000000,67000000.000000,-58655043.000000,,,273751207.000000,282096164.000000,-11055207795.000000,-132091972.000000,,,,-132091972.000000,-11187299767.000000,140768555.000000,-11046531212.000000,,,,,-11046531212.000000,-11187299767.000000,140768555.000000,-11046531212.000000,,,,
12M 2011,6650457992.000000,-4744514096.000000,1905943896.000000,-16491723439.000000,,,-16491723439.000000,-14585779543.000000,744763854.000000,105143750.000000,-66940228.000000,,,706560332.000000,744763854.000000,-13841015689.000000,1085074627.000000,,1085074627.000000,,1085074627.000000,-12755941062.000000,,-12755941062.000000,,,,-12755941062.000000,-12755941062.000000,-12716403650.000000,-39537412.000000,-12755941062.000000,-12755941062.000000,-12716403650.000000,-39537412.000000,-12755941062.000000
12M 2012,5550959243.000000,-5169831892.000000,381127351.000000,-12201369540.000000,,,-12201369540.000000,-11820242189.000000,-29276682.000000,,-24189866.000000,,,-5086816.000000,-29276682.000000,-11849518871.000000,62808393.000000,,62808393.000000,,62808393.000000,-11786710478.000000,,-11786710478.000000,,,,-11786710478.000000,-11786710478.000000,-11745857926.000000,-40852552.000000,-11786710478.000000,-11786710478.000000,-11745857926.000000,-40852552.000000,-11786710478.000000
12M 2013,291175956.000000,-285201128.000000,5974828.000000,-5724150579.000000,,,-5724150579.000000,-5718175751.000000,-58055497.000000,,-6197887.000000,,,-51857610.000000,-58055497.000000,-5776231248.000000,98584422.000000,,98584422.000000,,98584422.000000,-5677646826.000000,,-5677646826.000000,,,,-5677646826.000000,-5677646827.000000,-5649003673.000000,-28643154.000000,-5677646827.000000,-5677646827.000000,-5649003673.000000,-28643154.000000,-5677646827.000000
12M 2014,122848342.000000,-109024845.000000,13823497.000000,-4886632338.000000,,,-4886632338.000000,-4872808841.000000,14023053.000000,,,,,14023053.000000,14023053.000000,-4858785788.000000,91543106.000000,,91543106.000000,,91543106.000000,-4767242682.000000,,-4767242682.000000,,,,-4767242682.000000,-4767242681.000000,-4752751420.000000,-14491261.000000,-4767242681.000000,-4767242681.000000,-4752751420.000000,-14491261.000000,-4767242681.000000
12M 2015,99191329.000000,-76548546.000000,22642783.000000,-3547394772.000000,,,-3547394772.000000,-3524751989.000000,-1211362595.000000,,,,,-1211362595.000000,-1211362595.000000,-4736114584.000000,9250620.000000,,9250620.000000,,9250620.000000,-4726863964.000000,,-4726863964.000000,-5224147.000000,-5224147.000000,-5224147.000000,-4732088111.000000,-4726863964.000000,-4699242937.000000,-27621027.000000,-4726863964.000000,-4732088111.000000,-4732088111.000000,,-4732088111.000000
12M 2016,46841454.000000,-35968100.000000,10873354.000000,-3301295385.000000,,,-3301295385.000000,-3290422031.000000,61265964.000000,,,,,61265964.000000,61265964.000000,-3229156067.000000,82343141.000000,,82343141.000000,,82343141.000000,-3146812926.000000,,-3146812926.000000,-5933245.000000,-5933245.000000,-5933245.000000,-3152746171.000000,-3146812925.000000,-3137917699.000000,-8895226.000000,-3146812925.000000,-3152746171.000000,-3152746171.000000,,-3152746171.000000
12M 2017,283485882883.000000,-173070027985.000000,110415854898.000000,-79610833338.000000,-5331191536.000000,-74279641802.000000,-79610833338.000000,30805021560.000000,31127470993.000000,,,,,31127470993.000000,31127470993.000000,61932492553.000000,-468087192.000000,,-468087192.000000,,-468087192.000000,61464405361.000000,,61464405361.000000,612273887.000000,,612273887.000000,62076679248.000000,61464405361.000000,59733032188.000000,1731373173.000000,61464405361.000000,62076679248.000000,60345306075.000000,1731373173.000000,62076679248.000000
