Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Dari (Pembayaran) Kas Untuk:,Pemasok,Gaji Dan Tunjangan Lain,Total Penerimaan Dari (Pembayaran) Kas Untuk:,Penerimaan Dari (Pembayaran Untuk) Kas:,Beban Bunga,Beban Usaha,Kegiatan Operasional Lainnya,Total Penerimaan Dari (Pembayaran Untuk) Kas:,Pembayaran Kas Lainnya Untuk Beban Operasi,Penghasilan Bunga,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Properti Investasi,Hasil Penjualan Asset Tetap,Penjualan Properti Investasi,Penambahan Investasi Pada Entitas Asosiasi,Akuisisi Entitas Anak,Penambahan Uang Jaminan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan (Pembayaran) Utang Pembelian Aset Tetap,Setoran Modal,Tambahan Setoran Modal,Pembayaran Liabilitas Sewa Pembiayaan,Penerimaan (Pembayaran) Utang Pihak Berelasi,Penerimaan Utang Jangka Menengah,Pembayaran Utang Jangka Menengah,Penambahan (Pembayaran) Hutang Sewa Guna Usaha,Penerimaan (Pembayaran) Utang Jangka Pendek,Pelunasan Hutang Bank,Pembayaran Pinjaman Lainnya,Penerimaan Dari Penerbitan Saham Biasa,Pembayaran Utang Jangka Panjang,Penerimaan (Pembayaran) Utang Lain-Lain Jangka Panjang,Emisi Saham,Penerimaan Dari Utang Jangka Panjang Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,7833396101.000000,139480386822.000000,,-115749489725.000000,-13472971471.000000,-129222461196.000000,,-558950989.000000,,-1865578536.000000,-2424529525.000000,,,,7833396101.000000,-6281600887.000000,-5107658732.000000,,,,,,-1173942155.000000,-6281600887.000000,-693901060.000000,,,,,,,,205265111.000000,,-899166171.000000,,,,,,,-693901060.000000,,857894154.000000,4926979317.000000,5784873471.000000
12M 2009,-1465245695.000000,70769255620.000000,,-60237763559.000000,-12185646027.000000,-72423409586.000000,,-972488905.000000,,1161397176.000000,188908271.000000,,,,-1465245695.000000,-1393992700.000000,-1411242700.000000,,17250000.000000,,,,,-1393992700.000000,-2549510592.000000,236152770.000000,,,,,,,-88162889.000000,,-2697500473.000000,,,,,,,-2549510592.000000,,-5408748987.000000,5784873471.000000,376124484.000000
12M 2010,1021251873.000000,13848861247.000000,,-6546584761.000000,-5697284046.000000,-12243868807.000000,,-22033776.000000,,-561706791.000000,-583740567.000000,,,,1021251873.000000,-893321337.000000,-960321337.000000,,67000000.000000,,,,,-893321337.000000,-112122480.000000,-80426666.000000,,,,,,,-31695814.000000,,,,,,,,,-112122480.000000,,15808056.000000,376124484.000000,391932540.000000
12M 2011,-32592671.000000,6666030167.000000,,2833193732.000000,-5084270660.000000,-2251076928.000000,,-64051113.000000,,-4383494797.000000,-4447545910.000000,,,,-32592671.000000,97959000.000000,-117041000.000000,,215000000.000000,,,,,97959000.000000,-55216478.000000,-55216478.000000,,,,,,,,,,,,,,,,-55216478.000000,,10149851.000000,391932540.000000,402082391.000000
12M 2012,-213330476.000000,5565457435.000000,,3925905328.000000,-5213908077.000000,-1288002749.000000,,-24189866.000000,,-4466595296.000000,-4490785162.000000,,,,-213330476.000000,-80344750.000000,-80344750.000000,,,,,,,-80344750.000000,,,,,,,,,,,,,,,,,,,,-293675226.000000,402082391.000000,108407165.000000
12M 2013,-3436266946.000000,292200094.000000,,-86370160.000000,-2078385506.000000,-2164755666.000000,,-6197887.000000,,-1557513487.000000,-1563711374.000000,,,,-3436266946.000000,,,,,,,,,,3519845057.000000,-15322473.000000,,,,,,,,,,,,,,,3535167530.000000,3519845057.000000,,83578111.000000,108407165.000000,191985276.000000
12M 2014,-3312074808.000000,122848342.000000,,-89462500.000000,-1043193531.000000,-1132656031.000000,,,,-2302267119.000000,-2302267119.000000,,,,-3312074808.000000,,,,,,,,,,3166659834.000000,,,,,,,,,,,,,,,,3166659834.000000,3166659834.000000,,-145414974.000000,191985275.000000,46570301.000000
12M 2015,-5537417688.000000,99191329.000000,,-2330709315.000000,-1008288665.000000,-3338997980.000000,,,,-2297611037.000000,-2297611037.000000,,,,-5537417688.000000,,,,,,,,,,5712934975.000000,,,,,,,,,,,,,,,-21970254274.000000,27683189249.000000,5712934975.000000,,175517287.000000,46570300.000000,222087587.000000
12M 2016,-3196716844.000000,46841455.000000,,-79436323.000000,-1036542801.000000,-1115979124.000000,,,,-2127579175.000000,-2127579175.000000,,,,-3196716844.000000,-10891242.000000,-14185000.000000,,3293758.000000,,,,,-10891242.000000,3100852283.000000,,,,,,,,,,,,,,,-8083044056.000000,11183896339.000000,3100852283.000000,,-106755803.000000,222087587.000000,115331784.000000
12M 2017,97453804968.000000,673579105948.000000,,-592430098918.000000,,-592430098918.000000,,-214579666.000000,,,-214579666.000000,,16519377604.000000,,97453804968.000000,-12259357080.000000,-6256298809.000000,-160900000.000000,246841729.000000,,,-6089000000.000000,,-12259357080.000000,244215641966.000000,,234542319079.000000,,-638378622.000000,14133091010.000000,800000000.000000,,,,,,,-4621389501.000000,,,,244215641966.000000,,329410089854.000000,5315818130.000000,334725907984.000000
