Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Aset Real Estat,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Dalam Pelaksanaan,Persediaan,Aset Real Estat,Properti Investasi,Goodwill,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Surat Berharga Jangka Menengah,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Utang Dari Pihak Ketiga,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,5784873471.000000,262938661.000000,543695875.000000,24151795268.000000,,12839353876.000000,43582657151.000000,,19243872263.000000,,,,,,,,,,65145925.000000,8259707657.000000,27568725845.000000,71151382996.000000,,,52261082281.000000,48849998760.000000,103091520.000000,,,103091520.000000,1339066660.000000,1037465341.000000,,,830000000.000000,,101460000.000000,931460000.000000,,52261082281.000000,3744898807.000000,,1867500473.000000,,123885111.000000,1991385584.000000,875086307.000000,,,,878426916.000000,3744898807.000000,56005981088.000000,,85000000000.000000,20875054097.000000,-94399209286.000000,,,-94399209286.000000,148858060.000000,3520699037.000000,15145401908.000000,71151382996.000000,340000000.000000
12M 2009,,,376124484.000000,38626699.000000,49674287.000000,3847372171.000000,,505179274.000000,4816976915.000000,,10622219701.000000,,,,,,,,,,,1246709212.000000,11868928913.000000,16685905828.000000,,,29029730278.000000,24849049195.000000,116578777.000000,,,116578777.000000,3175832020.000000,726876955.000000,,,,80966664.000000,80426667.000000,161393331.000000,,29029730278.000000,1348414917.000000,,,155186107.000000,56755555.000000,211941662.000000,51462620.000000,,,,1085010635.000000,1348414917.000000,30378145195.000000,,85000000000.000000,20875054097.000000,-122873787321.000000,,,-122873787321.000000,-214205180.000000,3520699037.000000,-13692239367.000000,16685905828.000000,340000000.000000
12M 2010,,,391932540.000000,31094505.000000,60376531.000000,3343142532.000000,,1674279412.000000,5500825520.000000,,9072443591.000000,,,,,,,,,,,3164912006.000000,12237355597.000000,17738181117.000000,,,40782836428.000000,38162253150.000000,63220870.000000,,,63220870.000000,1573934472.000000,825612611.000000,,,,101059769.000000,56755556.000000,157815325.000000,,40782836428.000000,1479910088.000000,,,103397188.000000,,103397188.000000,183554592.000000,,,,1192958308.000000,1479910088.000000,42262746516.000000,,85000000000.000000,20875054097.000000,-133920318533.000000,,,-133920318533.000000,,3520699037.000000,-24524565399.000000,17738181117.000000,340000000.000000
12M 2011,,,402082391.000000,15522330.000000,102791315.000000,1900150596.000000,,1000912447.000000,3421459079.000000,,3752671246.000000,,,,,,,,,,908040142.000000,2401135000.000000,7061846388.000000,10483305467.000000,,,46489917832.000000,44296969043.000000,14736404.000000,,,14736404.000000,1153741675.000000,891503605.000000,,,,132967105.000000,,132967105.000000,,46489917832.000000,1628867832.000000,,,73028930.000000,,73028930.000000,6520108.000000,,,,1549318794.000000,1628867832.000000,48118785664.000000,,85000000000.000000,20875054097.000000,-146636722183.000000,,,-146636722183.000000,-394511148.000000,3520699037.000000,-37635480197.000000,10483305467.000000,340000000.000000
12M 2012,,,108407165.000000,1024138.000000,73071536.000000,176263089.000000,,824265865.000000,1183031793.000000,,2476859071.000000,,,,,,,,,,970848534.000000,2186135000.000000,5633842605.000000,6816874398.000000,,,54271936575.000000,51668818756.000000,11837701.000000,,,11837701.000000,1442001434.000000,1136978433.000000,,,,12300251.000000,,12300251.000000,,54271936575.000000,1967128499.000000,,,73028930.000000,,73028930.000000,6520108.000000,,,,1887579461.000000,1967128499.000000,56239065074.000000,,85000000000.000000,20875054097.000000,-158382580109.000000,,,-158382580109.000000,-435363700.000000,3520699037.000000,-49422190675.000000,6816874399.000000,340000000.000000
12M 2013,,,191985275.000000,,93236994.000000,20210015.000000,,643750440.000000,949182724.000000,,1224353730.000000,,,,,,,,,,1069432956.000000,1838055000.000000,4131841686.000000,5081024410.000000,,,55012992213.000000,51711596650.000000,,,,,2077781346.000000,1223614217.000000,,,,,,,,55012992213.000000,5167869699.000000,,,,,,6520108.000000,,,3535167530.000000,1626182061.000000,5167869699.000000,60180861912.000000,,85000000000.000000,24395753134.000000,-164031583781.000000,,,-164031583781.000000,-464006854.000000,,-55099837501.000000,5081024411.000000,340000000.000000
12M 2014,,,46570300.000000,,27104740.000000,647670.000000,,674443647.000000,748766357.000000,,582089111.000000,,,,,,,,,,1160976066.000000,4508055000.000000,6251120177.000000,6999886534.000000,,,58854303022.000000,51711596650.000000,3508316932.000000,,,3508316932.000000,2390985683.000000,1243403757.000000,,,,,,,,58854303022.000000,8012663695.000000,,,,,,6520108.000000,,,6701827367.000000,1304316220.000000,8012663695.000000,66866966717.000000,,85000000000.000000,24395753134.000000,-168784335202.000000,,,-168784335202.000000,-478498115.000000,,-59867080183.000000,6999886534.000000,340000000.000000
12M 2015,,,222087587.000000,,6528501.000000,335534.000000,,454084518.000000,683036140.000000,,320118905.000000,,,,,,,,,,1191650684.000000,24640254274.000000,26152023863.000000,26835060003.000000,,,53319874439.000000,49457123745.000000,622308137.000000,,,622308137.000000,1858143994.000000,1382298563.000000,,,,,,,,53319874439.000000,38267567321.000000,,,,,,6520108.000000,,,37187016616.000000,1074030597.000000,38267567321.000000,91587441760.000000,,85000000000.000000,24395753134.000000,-173649890969.000000,,,-173649890969.000000,-506119142.000000,7875219.000000,-64752381758.000000,26835060002.000000,340000000.000000
12M 2016,,,115331784.000000,84900.000000,,335534.000000,,512472245.000000,628224463.000000,,96366436.000000,,,,,,,,,,1273993827.000000,32723298330.000000,34093658593.000000,34721883056.000000,,,52840241506.000000,49413655522.000000,622308132.000000,,,622308132.000000,1539430785.000000,1264847067.000000,,,,,,,,52840241506.000000,49786769470.000000,,,,,,6520108.000000,,,48370912955.000000,1409336407.000000,49786769470.000000,102627010976.000000,,85000000000.000000,24395753134.000000,-176787808660.000000,,,-176787808660.000000,-515014368.000000,1941974.000000,-67905127920.000000,34721883056.000000,340000000.000000
12M 2017,,,334725907983.000000,15859342235.000000,511120632.000000,1033727262569.000000,,9491286818.000000,1394314920237.000000,,212473903043.000000,,,,,3563136385957.000000,,358057426027.000000,352571502870.000000,10944738.000000,934284117.000000,49995688113.000000,4537180134865.000000,5931495055102.000000,,,570129532121.000000,9169164725.000000,158430364571.000000,,,158430364571.000000,3205752636.000000,4451478011.000000,800000000.000000,,,,462794984.000000,462794984.000000,393609977194.000000,570129532121.000000,209700210470.000000,,,,511885289.000000,511885289.000000,6520108.000000,191001260627.000000,13868072500.000000,,4312471946.000000,209700210470.000000,779829742591.000000,,4144600000000.000000,1801485473173.000000,-1237501329716.000000,,,-1237501329716.000000,410764581456.000000,32316587597.000000,5151665312510.000000,5931495055101.000000,40936000000.000000
