Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,1099620270000.000000,-1078155970000.000000,21464300000.000000,-17706636000.000000,-1078928000.000000,-16627708000.000000,,-17706636000.000000,3757664000.000000,-4334864000.000000,17433000.000000,-1839121000.000000,52323000.000000,395267000.000000,-2960766000.000000,-4334864000.000000,-577200000.000000,261706000.000000,-315494000.000000,5035958000.000000,4720464000.000000,-315494000.000000,-315174000.000000,-320000.000000,-315494000.000000,4720464000.000000,4720784000.000000,-320000.000000,,4720464000.000000
12M 2014,1230364713000.000000,-1208701425000.000000,21663288000.000000,-19760110000.000000,-1517747000.000000,-18242363000.000000,,-19760110000.000000,1903178000.000000,2031265000.000000,40486000.000000,-2717959000.000000,359434000.000000,-419674000.000000,4768978000.000000,2031265000.000000,3934443000.000000,-1275189000.000000,2659254000.000000,917507000.000000,3576761000.000000,2659254000.000000,2662995000.000000,-3741000.000000,2659254000.000000,3576761000.000000,3580410000.000000,-3649000.000000,,3576761000.000000
12M 2015,749146492000.000000,-730559426000.000000,18587066000.000000,-17242948000.000000,-17242948000.000000,,,-17242948000.000000,1344118000.000000,-927734000.000000,28643000.000000,-6041224000.000000,,,5084847000.000000,-927734000.000000,416384000.000000,-1591922000.000000,-1175538000.000000,1226955000.000000,51417000.000000,-1175538000.000000,-1179759000.000000,4221000.000000,-1175538000.000000,51417000.000000,47074000.000000,4343000.000000,,51417000.000000
12M 2016,1151605756000.000000,-1121597912000.000000,30007844000.000000,-19972512000.000000,-19972512000.000000,,,-19972512000.000000,10035332000.000000,-9758684000.000000,24149000.000000,-4306218000.000000,,,-5476615000.000000,-9758684000.000000,276648000.000000,239519000.000000,516167000.000000,-1444037000.000000,-927870000.000000,516167000.000000,515888000.000000,279000.000000,516167000.000000,-927870000.000000,-928004000.000000,134000.000000,,-927870000.000000
12M 2017,1932783905000.000000,-1888767962000.000000,44015943000.000000,-22377337000.000000,,,-22377337000.000000,-22377337000.000000,21638606000.000000,-5575217000.000000,38580000.000000,-5613797000.000000,,,,-5575217000.000000,16063389000.000000,-657133000.000000,15406256000.000000,-2568444000.000000,12837812000.000000,15406256000.000000,15424590000.000000,-18334000.000000,15406256000.000000,12837812000.000000,12856402000.000000,-18590000.000000,,12837812000.000000
12M 2018,3592798235000.000000,-3532801547000.000000,59996688000.000000,-32522134000.000000,,,-32522134000.000000,-32522134000.000000,27474554000.000000,-4551731000.000000,29433000.000000,-4581164000.000000,,,,-4551731000.000000,22922823000.000000,20675000.000000,22943498000.000000,-1340398000.000000,21603100000.000000,22943498000.000000,22949919000.000000,-6421000.000000,22943498000.000000,21603100000.000000,21609655000.000000,-6555000.000000,,21603100000.000000
12M 2019,2218385509000.000000,-2166718175000.000000,51667334000.000000,-40901734000.000000,,,-40901734000.000000,-40901734000.000000,10765600000.000000,-821467000.000000,44684000.000000,-866151000.000000,,,,-821467000.000000,9944133000.000000,-2589412000.000000,7354721000.000000,264594000.000000,7619315000.000000,7354721000.000000,7188641000.000000,166080000.000000,7354721000.000000,7619315000.000000,7453209000.000000,166106000.000000,,7619315000.000000
12M 2020,2044133000000.000000,-1997197000000.000000,46936000000.000000,-38887000000.000000,,,-38887000000.000000,-38887000000.000000,8049000000.000000,128000000.000000,134000000.000000,-6000000.000000,,,,128000000.000000,8177000000.000000,-1493000000.000000,6684000000.000000,-5595000000.000000,1089000000.000000,6684000000.000000,7231000000.000000,-547000000.000000,6684000000.000000,1089000000.000000,1636000000.000000,-547000000.000000,,1089000000.000000
12M 2021,3470467000000.000000,-3427956000000.000000,42511000000.000000,-25941000000.000000,,,-25941000000.000000,-25941000000.000000,16570000000.000000,692000000.000000,702000000.000000,-10000000.000000,,,,692000000.000000,17262000000.000000,183000000.000000,17445000000.000000,5213000000.000000,22658000000.000000,17445000000.000000,18813000000.000000,-1368000000.000000,17445000000.000000,22658000000.000000,24025000000.000000,-1367000000.000000,,22658000000.000000
12M 2022,4131540432000.000000,-4060257837000.000000,71282595000.000000,-22590510000.000000,,,-22590510000.000000,-22590510000.000000,48692085000.000000,-147336000.000000,3968000.000000,-151304000.000000,,,,-147336000.000000,48544749000.000000,-503530000.000000,48041219000.000000,2850389000.000000,50891608000.000000,48041219000.000000,48007050000.000000,34169000.000000,48041219000.000000,50891608000.000000,50857154000.000000,34454000.000000,,50891608000.000000
