Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Piutang Pihak Berelasi,Properti Investasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pihak Berelasi,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,19755514000.000000,1843675000.000000,148530055000.000000,,,148530055000.000000,3717201000.000000,,,3717201000.000000,,18107176000.000000,27988305000.000000,219941926000.000000,,4755783000.000000,7113975000.000000,,9530157000.000000,570965000.000000,21970880000.000000,241912806000.000000,,,173184454000.000000,,106306331000.000000,,106306331000.000000,,,1237359000.000000,1237359000.000000,20565220000.000000,171455000.000000,26511039000.000000,,16382169000.000000,,1374596000.000000,17756765000.000000,636285000.000000,173184454000.000000,9069209000.000000,,,,3444985000.000000,3444985000.000000,,5624224000.000000,9069209000.000000,182253663000.000000,,73503957000.000000,,-19752754000.000000,900000000.000000,-20652754000.000000,-19752754000.000000,112180000.000000,5795760000.000000,59659143000.000000,241912806000.000000,101533011.000000
12M 2014,,,5744755000.000000,,163445167000.000000,,,163445167000.000000,3589737000.000000,,,3589737000.000000,,16738946000.000000,30062655000.000000,219581260000.000000,,3480594000.000000,7421661000.000000,,14343585000.000000,52297000.000000,25298137000.000000,244879397000.000000,,,173276661000.000000,,111013915000.000000,,111013915000.000000,,,2962866000.000000,2962866000.000000,18876149000.000000,233486000.000000,14477972000.000000,,22416343000.000000,,2659645000.000000,25075988000.000000,636285000.000000,173276661000.000000,8366832000.000000,,2718619000.000000,,390611000.000000,3109230000.000000,,5257602000.000000,8366832000.000000,181643493000.000000,,73503957000.000000,,-17089759000.000000,900000000.000000,-17989759000.000000,-17089759000.000000,108531000.000000,6713175000.000000,63235904000.000000,244879397000.000000,101533011.000000
12M 2015,,,7870164000.000000,439000000.000000,27848317000.000000,,,27848317000.000000,5405535000.000000,,5405535000.000000,5405535000.000000,,22665145000.000000,7554701000.000000,71782862000.000000,,2972111000.000000,51047389000.000000,,15757855000.000000,3068188000.000000,72845543000.000000,144628405000.000000,,,70739218000.000000,,14576752000.000000,,14576752000.000000,,,2191245000.000000,2191245000.000000,5779585000.000000,737434000.000000,15212037000.000000,,31605880000.000000,,,31605880000.000000,636285000.000000,70739218000.000000,11856886000.000000,,2070038000.000000,,969552000.000000,3039590000.000000,,8817296000.000000,11856886000.000000,82596104000.000000,,73503957000.000000,,-18368962000.000000,900000000.000000,-19268962000.000000,-18368962000.000000,112787000.000000,6784519000.000000,62032301000.000000,144628405000.000000,507665057.000000
12M 2016,,,10535932000.000000,439000000.000000,15007989000.000000,,,15007989000.000000,4109001000.000000,,4109001000.000000,4109001000.000000,,21163233000.000000,7068775000.000000,58323930000.000000,,3591952000.000000,49772991000.000000,,24056278000.000000,873704000.000000,78294925000.000000,136618855000.000000,,,63472099000.000000,,9089939000.000000,,9089939000.000000,,,1172490000.000000,1172490000.000000,2245585000.000000,61386000.000000,14550524000.000000,,32832546000.000000,,2883344000.000000,35715890000.000000,636285000.000000,63472099000.000000,12042325000.000000,,3305941000.000000,,1363071000.000000,4669012000.000000,,7373313000.000000,12042325000.000000,75514424000.000000,,73503957000.000000,,-17853074000.000000,900000000.000000,-18753074000.000000,-17853074000.000000,112921000.000000,5340627000.000000,61104431000.000000,136618855000.000000,507665056.000000
12M 2017,,,20746931000.000000,439000000.000000,154582741000.000000,,,154582741000.000000,3552521000.000000,,3552521000.000000,3552521000.000000,50936404000.000000,37760806000.000000,9138991000.000000,277157394000.000000,,3966111000.000000,161192000.000000,,22603493000.000000,1320513000.000000,28051309000.000000,305208703000.000000,,,213515571000.000000,,153314921000.000000,,153314921000.000000,,,583730000.000000,583730000.000000,1699782000.000000,111327000.000000,11415698000.000000,,42922683000.000000,,2831145000.000000,45753828000.000000,636285000.000000,213515571000.000000,13202255000.000000,,2159982000.000000,,2355992000.000000,4515974000.000000,,8686281000.000000,13202255000.000000,226717826000.000000,,73503957000.000000,,-2428484000.000000,900000000.000000,-3328484000.000000,-2428484000.000000,4479702000.000000,2935702000.000000,78490877000.000000,305208703000.000000,507665055.000000
12M 2018,,,88950095000.000000,439000000.000000,478422117000.000000,,,478422117000.000000,3418832000.000000,,3418832000.000000,3418832000.000000,8486017000.000000,33013581000.000000,10129645000.000000,622859287000.000000,,3840483000.000000,161192000.000000,,20228835000.000000,1878498000.000000,26109008000.000000,648968295000.000000,,,536128557000.000000,,483557985000.000000,,483557985000.000000,,,2772478000.000000,2772478000.000000,1929782000.000000,1382063000.000000,2052223000.000000,,40171773000.000000,,4262253000.000000,44434026000.000000,,536128557000.000000,12108255000.000000,,1649614000.000000,,1929298000.000000,3578912000.000000,,8529343000.000000,12108255000.000000,548236812000.000000,,73503957000.000000,,21157720000.000000,1536285000.000000,19621435000.000000,21157720000.000000,4474502000.000000,1595304000.000000,100731483000.000000,648968295000.000000,507665055.000000
12M 2019,,,284097327000.000000,,273956123000.000000,,,273956123000.000000,3419637000.000000,,3419637000.000000,3419637000.000000,,19744395000.000000,5045975000.000000,586263457000.000000,,1437737000.000000,,,16739396000.000000,384024000.000000,18561157000.000000,604824614000.000000,,,498178849000.000000,,489549583000.000000,,489549583000.000000,,,677315000.000000,677315000.000000,3109782000.000000,654162000.000000,3080193000.000000,,,114893000.000000,992921000.000000,1107814000.000000,,498178849000.000000,1853402000.000000,,,191489000.000000,1395680000.000000,1587169000.000000,,266233000.000000,1853402000.000000,500032251000.000000,,73503957000.000000,,24835096000.000000,1536285000.000000,23298811000.000000,24835096000.000000,5122981000.000000,1330329000.000000,104792363000.000000,604824614000.000000,507665055.000000
12M 2020,,,181131000000.000000,,216330000000.000000,,,216330000000.000000,3297000000.000000,,3297000000.000000,3297000000.000000,,5238000000.000000,1955000000.000000,407951000000.000000,,39000000.000000,,,9930000000.000000,711000000.000000,10680000000.000000,418631000000.000000,,,313064000000.000000,,307408000000.000000,,307408000000.000000,,,537000000.000000,537000000.000000,687000000.000000,195000000.000000,4008000000.000000,,,199000000.000000,30000000.000000,229000000.000000,,313064000000.000000,363000000.000000,,,238000000.000000,,238000000.000000,,125000000.000000,363000000.000000,313427000000.000000,,73504000000.000000,,32066000000.000000,1536000000.000000,30530000000.000000,32066000000.000000,3899000000.000000,-4265000000.000000,105204000000.000000,418631000000.000000,507665055.000000
12M 2021,,,248484000000.000000,,235738000000.000000,,,235738000000.000000,720000000.000000,,720000000.000000,720000000.000000,,1591000000.000000,1577000000.000000,488110000000.000000,,340000000.000000,,,10682000000.000000,261000000.000000,11283000000.000000,499393000000.000000,,,368953000000.000000,,362756000000.000000,,362756000000.000000,,,733000000.000000,733000000.000000,789000000.000000,90000000.000000,3907000000.000000,,,161000000.000000,154000000.000000,315000000.000000,363000000.000000,368953000000.000000,1617000000.000000,,,77000000.000000,,77000000.000000,,1540000000.000000,1617000000.000000,370570000000.000000,,73504000000.000000,,50878000000.000000,1536000000.000000,49342000000.000000,50878000000.000000,3493000000.000000,948000000.000000,128823000000.000000,499393000000.000000,507665055.000000
12M 2022,,,427980949000.000000,,194575472000.000000,,,194575472000.000000,518932000.000000,,518932000.000000,518932000.000000,,2330080000.000000,965006000.000000,626370439000.000000,,189249000.000000,,,11086794000.000000,1306319000.000000,12582362000.000000,638952801000.000000,,,454365258000.000000,,445572543000.000000,,445572543000.000000,,,156095000.000000,156095000.000000,2060695000.000000,820561000.000000,3957387000.000000,,,77198000.000000,205988000.000000,283186000.000000,1514791000.000000,454365258000.000000,816700000.000000,,,,,,,816700000.000000,816700000.000000,455181958000.000000,,73503957000.000000,,99569209000.000000,1536285000.000000,98032924000.000000,99569209000.000000,7583332000.000000,3114345000.000000,183770843000.000000,638952801000.000000,507665055.000000
