Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Bunga Pinjaman,Pembayaran Pajak Penghasilan,Penerimaan Pengembalian Pajak,Penerimaan Bunga,Pembayaran Surat Ketetapan Pajak,Penerimaan (Pembayaran) Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penurunan Deposito Yang Dibatasi Penggunaannya,Kepemilikan Non Pengendali,Penerimaan Dari Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Pihak Berelasi,Pembayaran Pinjaman Pihak Berelasi,Penerimaan (Pembayaran) Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Penurunan Cerukan Bank,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2013,-507543000.000000,1093838270000.000000,-1090529224000.000000,-1856554000.000000,-1977468000.000000,,17433000.000000,,,-507543000.000000,-3425701000.000000,-382244000.000000,,,84000000.000000,-3127457000.000000,-3425701000.000000,16332017000.000000,,,16332017000.000000,,,16332017000.000000,12398773000.000000,3565108000.000000,5189754000.000000,-1398121000.000000,,19755514000.000000
12M 2014,-18833943000.000000,1211710039000.000000,-1226300210000.000000,-2659998000.000000,-1558260000.000000,,40486000.000000,-66000000.000000,,-18833943000.000000,-3921254000.000000,1843675000.000000,,,359434000.000000,-6124363000.000000,-3921254000.000000,3534205000.000000,4028000000.000000,-493795000.000000,,,,3534205000.000000,-19220992000.000000,19755514000.000000,-8355000.000000,5218588000.000000,,5744755000.000000
12M 2015,-2880134000.000000,893766145000.000000,-894052694000.000000,-3489007000.000000,-1300495000.000000,2167274000.000000,28643000.000000,,,-2880134000.000000,-3758675000.000000,-439000000.000000,,,,-3319675000.000000,-3758675000.000000,-619110000.000000,206300000.000000,-825410000.000000,,,,-619110000.000000,-7257919000.000000,5744755000.000000,223262000.000000,9160066000.000000,,7870164000.000000
12M 2016,12555800000.000000,1170852379000.000000,-1154332747000.000000,-4306218000.000000,-1208230000.000000,1526467000.000000,24149000.000000,,,12555800000.000000,-9720095000.000000,,,,,-9720095000.000000,-9720095000.000000,-455157000.000000,780746000.000000,-1235903000.000000,,,,-455157000.000000,2380548000.000000,7870164000.000000,-495526000.000000,780746000.000000,,10535932000.000000
12M 2017,-3678215000.000000,1797628342000.000000,-1794450611000.000000,-5613797000.000000,-829593000.000000,-412556000.000000,,,,-3678215000.000000,3827762000.000000,,4385115000.000000,,,-557353000.000000,3827762000.000000,9937099000.000000,21083057000.000000,-11145958000.000000,,,,9937099000.000000,10086646000.000000,10535932000.000000,34217000.000000,90136000.000000,,20746931000.000000
12M 2018,71626223000.000000,3269268882000.000000,-3193090928000.000000,-4581164000.000000,,,29433000.000000,,,71626223000.000000,-452505000.000000,,1221000.000000,,452000000.000000,-905726000.000000,-452505000.000000,-533881000.000000,19950000000.000000,-20483881000.000000,,,,-533881000.000000,70639837000.000000,20746931000.000000,290725000.000000,-2727397000.000000,,88950096000.000000
12M 2019,233260999000.000000,2423144075000.000000,-2189061609000.000000,-866151000.000000,,,44684000.000000,,,233260999000.000000,3918499000.000000,,,,8451649000.000000,-4533150000.000000,3918499000.000000,-41859685000.000000,,-41821387000.000000,,,-38298000.000000,-41859685000.000000,195319813000.000000,88950095000.000000,-172581000.000000,,,284097327000.000000
12M 2020,-106773000000.000000,2096147000000.000000,-2203048000000.000000,-6000000.000000,,,134000000.000000,,,-106773000000.000000,2586000000.000000,,,,3200000000.000000,-614000000.000000,2586000000.000000,-131000000.000000,,,,,-131000000.000000,-131000000.000000,-104318000000.000000,284097000000.000000,1352000000.000000,,,181131000000.000000
12M 2021,67117000000.000000,3453416000000.000000,-3386991000000.000000,-10000000.000000,,,702000000.000000,,,67117000000.000000,-171000000.000000,,,,1202000000.000000,-1373000000.000000,-171000000.000000,-131000000.000000,,,,,-131000000.000000,-131000000.000000,66815000000.000000,181131000000.000000,538000000.000000,,,248484000000.000000
12M 2022,177714193000.000000,4165569656000.000000,-3987708127000.000000,-151304000.000000,,,3968000.000000,,,177714193000.000000,-1334850000.000000,,,,,-1334850000.000000,-1334850000.000000,-160812000.000000,,,,,-160812000.000000,-160812000.000000,176218531000.000000,248483874000.000000,3278544000.000000,,,427980949000.000000
12M 2023,-110585111000.000000,2086439945000.000000,-2197099935000.000000,-1317872000.000000,,,1392751000.000000,,,-110585111000.000000,-365443000.000000,,,,90000000.000000,-455443000.000000,-365443000.000000,-122198000.000000,,,,,-122198000.000000,-122198000.000000,-111072752000.000000,427980949000.000000,-799759000.000000,,,316108438000.000000
12M 2024,-276637791000.000000,37187431000.000000,-319488876000.000000,-187784000.000000,,,5851438000.000000,,,-276637791000.000000,-785486000.000000,,,,,-785486000.000000,-785486000.000000,-60000000.000000,,,,,-60000000.000000,-60000000.000000,-277483277000.000000,316108438000.000000,-693814000.000000,,,37931347000.000000
