Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Dari Pendapatan Bunga,Pengembalian Pajak,Penerimaan Restitusi Pajak,Pendapatan Sewa,Pendapatan Jasa Lainnya,Pembayaran Kas Kepada :,Pemasok Dan Kontraktor,Karyawan,Total Pembayaran Kas Kepada :,Pembayaran Untuk :,Royalti,Beban Penjualan Dan Umum Dan Administrasi,Pembayaran Pajak Penghasilan,Beban Operasional Lainnya,Biaya Keuangan,Lain-Lain Neto,Total Pembayaran Untuk :,Pajak Pertambahan Nilai,Piutang Lain-Lain,Administrasi Dan Provisi Bank,Setoran Jaminan,Pembayaran Beban Lain-Lain - Bersih,Uang Jaminan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penempatan Deposito Berjangka,Penurunan (Peningkatan) Uang Muka Jangka Panjang,Hasil Penjualan Aset Tetap,Penurunan (Peningkatan) Aset Tidak Lancar Lainnya,Penurunan (Peningkatan) Piutang Kepada Pihak Pihak Berelasi,Penambahan Aset Eksplorasi Dan Evaluasi,Perolehan Aset Tetap,"Perolehan Entitas Anak, Setelah Dikurangi Kas Yang Diperoleh",Penurunan (Peningkatan) Uang Muka Investasi,Kelebihan Pembayaran Tanah,Penurunan (Peningkatan) Aset Keuangan Tidak Lancar Lainnya,Penambahan Aset Tidak Berwujud,Pembayaran Uang Muka Investas,Penurunan (Peningkatan) Investasi Jangka Pendek,Penurunan (Peningkatan) Investasi Jangka Panjang,Penambahan Properti Pertambangan,Penerimaan Piutang Lain-Lain,Penambahan Properti Investasi,Peningkatan Biaya Pegupasan Tanah Yang Ditangguhkan,Perolehan Aset Dalam Pengerjaan,Peningkatan (Penurunan) Aset Pajak Tangguhan,Perolehan Entitas Anak,Penjualan Investasi Properti,Penerimaan Dividen,Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Peningkatan (Penurunan) Utang Kepada Pihak-Pihak Berelasi,Peningkatan Piutang Pihak Berelasi,Penurunan Hutang Bank,Peningkatan (Penurunan) Hutang Afiliasi,Penurunan / Peningkatan Piutang Lain-Lain,Pinjaman Bank,Saham Treasuri,Penurunan Hutang Jangka Panjang,Pembayaran Uang Muka Investasi Dalam Saham,Pembayaran Hutang Pembelian Aset Tetap,Pembayaran Dividen Kas,Pembayaran Untuk:,Utang Sewa Pembiayaan,Utang Bank,Utang Pembiayaan Konsumen,Total Pembayaran Untuk:,Penerimaan Setoran Modal Dari Kepentingan Nonpengendali,Penerimaan Dari Penjualan (Pembelian) Saham Treasuri,Peningkatan Modal Disetor,Penurunan Penggabungan Entitas,Penurunan Hutang Pemegang Saham,Penerimaan Dari Pihak Berelasi,Penerimaan Hasil Lelang Perkara,Pembayaran Utang Pihak Berelasi,Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Dampak Penyesuaian Saldo Awal Kas Dan Setara Kas Entitas Anak Yang Diakuisisi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,54422366817.000000,322289966372.000000,,,70615509.000000,,7932380317.000000,,-200994621910.000000,-13324350980.000000,-214318972890.000000,,,-60419666246.000000,-2594354144.000000,,-1386580652.000000,844974754.000000,-63555626288.000000,-12614726864.000000,-806125713.000000,-577240636.000000,7117500000.000000,9168277010.000000,-283680000.000000,54422366817.000000,-4983085739.000000,,,3928675727.000000,,,-6017514225.000000,-2894247241.000000,,,,,,,,,,,,,,,,,,,,-4983085739.000000,-46598983795.000000,-5918182218.000000,-10177646171.000000,-26280736583.000000,,,,,,,-177221036.000000,,,-3295385450.000000,,-749812337.000000,-4045197787.000000,,,,,,,,,,-46598983795.000000,2840297283.000000,,,1658757720.000000,4499055003.000000
12M 2009,26313353935.000000,423194699474.000000,,,86663302.000000,,7297160215.000000,,-266918346104.000000,-15151564649.000000,-282069910753.000000,,,-79480885014.000000,-18130699514.000000,,-1183449963.000000,-490107056.000000,-99285141547.000000,-19526834732.000000,-2426191767.000000,-420930742.000000,,-541159515.000000,5000000.000000,26313353935.000000,-2564743604.000000,,,6305264546.000000,,,-3021267432.000000,-5848740718.000000,,,,,,,,,,,,,,,,,,,,-2564743604.000000,-19551008643.000000,-9183304784.000000,-4506707126.000000,4043877504.000000,,,,,,,,-4787861500.000000,,-4035221413.000000,,-1081791324.000000,-5117012737.000000,,,,,,,,,,-19551008643.000000,4197601688.000000,,,4499055003.000000,8696656691.000000
12M 2010,175391612840.000000,876675540479.000000,,,51826208140.000000,4265613681.000000,4564012829.000000,,-448046862063.000000,-20631542245.000000,-468678404308.000000,,,-221135585466.000000,-34739311646.000000,,-745872543.000000,2246631260.000000,-254374138395.000000,-35061265336.000000,-726554492.000000,-512122025.000000,,-2665362733.000000,78085000.000000,175391612840.000000,-73641227638.000000,-42395740158.000000,,109927273.000000,,,-5736662027.000000,-22718752726.000000,,-3500000000.000000,,,,,,,,,,,,,,600000000.000000,,,,-73641227638.000000,-20759742179.000000,-1261427273.000000,2554237371.000000,-9927545104.000000,,,,,,,,-9527900000.000000,,-5467395334.000000,,-2602332822.000000,-8069728156.000000,,,,,,,12156370983.000000,,-6683750000.000000,-20759742179.000000,80990643023.000000,,,8696656691.000000,89687299714.000000
12M 2011,496251341657.000000,2156026691738.000000,11013426799.000000,,,,,,-993723383815.000000,-33260539220.000000,-1026983923035.000000,,-250720479607.000000,-210134497419.000000,-161594548302.000000,,-1950320430.000000,-19405008087.000000,-643804853845.000000,,,,,,,496251341657.000000,-49380008452.000000,,-37674826362.000000,422500000.000000,-7686803485.000000,12410115926.000000,-1566605869.000000,-31396128820.000000,,-22534000000.000000,,,,,38645740158.000000,,,,,,,,,,,,,-49380008452.000000,-103622127619.000000,-274615728.000000,,,,,,,,,,-95758990000.000000,,-4655587769.000000,,-2932934122.000000,-7588521891.000000,,,,,,,,,,-103622127619.000000,343249205586.000000,159347727.000000,,89687299714.000000,433095853027.000000
12M 2012,13625685.000000,213372524.000000,889770.000000,,,,,,-115710282.000000,-4782242.000000,-120492524.000000,,-27951487.000000,-27645193.000000,-20654219.000000,,-209567.000000,-3683619.000000,-80144085.000000,,,,,,,13625685.000000,-26595830.000000,,5960033.000000,318637.000000,255543.000000,11028.000000,-1806522.000000,-28765377.000000,-1537545.000000,-740833.000000,,-114864.000000,-80456.000000,,-80340.000000,,-15134.000000,,,,,,,,,,,-26595830.000000,-25644080.000000,-3859914.000000,,,,,,-2360587.000000,,,,-20070901.000000,,-608858.000000,-260654.000000,,-869512.000000,,,,,,,,,1516834.000000,-25644080.000000,-38614225.000000,-1492284.000000,,47760904.000000,7654395.000000
12M 2013,23124114.000000,204718100.000000,160760.000000,16105.000000,,,,,-112584912.000000,-5572763.000000,-118157675.000000,,-22851148.000000,-19521709.000000,-14254766.000000,,-125559.000000,-6859994.000000,-63613176.000000,,,,,,,23124114.000000,-7720689.000000,,-837790.000000,302929.000000,1436577.000000,,-1556026.000000,-6187362.000000,-929202.000000,,,9731.000000,,,40454.000000,,,,,,,,,,,,,-7720689.000000,-12130799.000000,,,,,,,-4823921.000000,,,,-6624642.000000,,-566783.000000,,-115453.000000,-682236.000000,,,,,,,,,,-12130799.000000,3272626.000000,-2349494.000000,,7654395.000000,8577527.000000
12M 2014,6875031.000000,140078058.000000,201668.000000,,7916075.000000,,,,-96185089.000000,-4368972.000000,-100554061.000000,,,-34737628.000000,-6029081.000000,,,,-40766709.000000,,,,,,,6875031.000000,-3613720.000000,,427769.000000,435667.000000,86347.000000,,-1196511.000000,-1155141.000000,,-208938.000000,,504399.000000,,,104750.000000,,-1319114.000000,,-1292948.000000,,,,,,,,,-3613720.000000,-8348206.000000,,,,,,,,,,,-7756968.000000,,-486738.000000,,-104500.000000,-591238.000000,,,,,,,,,,-8348206.000000,-5086895.000000,-841147.000000,,8577527.000000,2649485.000000
12M 2015,8742161.000000,105134142.000000,126572.000000,,11332558.000000,,,,-67527596.000000,-3907694.000000,-71435290.000000,,,,-3416710.000000,-32999111.000000,,,-36415821.000000,,,,,,,8742161.000000,-3056579.000000,,167022.000000,8829.000000,30007.000000,,-99399.000000,-157274.000000,,-213622.000000,,25597.000000,,,27833.000000,,-295062.000000,,-1654380.000000,,-194533.000000,,-701597.000000,,,,,-3056579.000000,-1176050.000000,,,,,448756.000000,,-392356.000000,,,,,,-526726.000000,,-32244.000000,-558970.000000,,,757131.000000,,,,,-1430611.000000,,-1176050.000000,4509532.000000,-489306.000000,-614915.000000,3311077.000000,6716388.000000
12M 2016,13655529.000000,93219646.000000,392220.000000,,12794366.000000,,,,-57941804.000000,-4241337.000000,-62183141.000000,,,,-3059664.000000,-27507898.000000,,,-30567562.000000,,,,,,,13655529.000000,-5611821.000000,,-42008.000000,84166.000000,-3811.000000,,-51326.000000,-204600.000000,,-115663.000000,,88729.000000,,,-1932915.000000,,-18290.000000,,-1137700.000000,,-2278403.000000,,,,,,,-5611821.000000,-1565172.000000,,,,,,291301.000000,,,,,-1446399.000000,,-359210.000000,,-39313.000000,-398523.000000,,,,,,,,-11551.000000,,-1565172.000000,6478536.000000,30680.000000,,6716388.000000,13225604.000000
12M 2017,20885144.000000,83239777.000000,565952.000000,,1091258.000000,,,,-39412448.000000,-4508915.000000,-43921363.000000,,,,,-20090480.000000,,,-20090480.000000,,,,,,,20885144.000000,-7588355.000000,,246553.000000,29500.000000,1581.000000,,-221653.000000,-5492811.000000,,-346475.000000,,-3536.000000,,,-936833.000000,,-69851.000000,,-794830.000000,,,,,,,,,-7588355.000000,-8138886.000000,,,,,,989420.000000,,,,,-5386421.000000,,-100095.000000,,-65765.000000,-165860.000000,,-3442903.000000,,,,,,-133122.000000,,-8138886.000000,5157903.000000,-372446.000000,,13225604.000000,18011061.000000
